,A,B,C
2014-01-31,178.59210240241464,46.56615907856134,177.4944984256549
2014-02-28,193.0376478216537,45.44980538328948,185.363365620008
2014-03-31,177.99585772322752,43.810161818583815,177.37416276008938
2014-04-30,208.3488462747036,44.32151113608332,182.2772529940213
2014-05-31,178.59210240241464,44.91166935822017,182.86576276779448
2014-06-30,193.0376478216537,44.02490864119196,174.90441309632538
2014-07-31,177.99585772322752,45.12249800821072,179.550510302305
2014-08-31,208.3488462747036,45.786227858470056,182.3079601623415
2014-09-30,178.59210240241464,67.18528082832573,182.3853589654121
2014-10-31,193.0376478216537,67.51641344376016,173.6226136427863
2014-11-30,177.99585772322752,66.82196604631031,177.379061459541
2014-12-31,208.3488462747036,67.49447970267484,174.67915910710542
2015-01-31,178.59210240241464,71.09109835360955,171.33438657025852
2015-02-28,193.0376478216537,71.51223573718335,176.9842983229842
2015-03-31,177.99585772322752,70.96631402318381,174.798390629238
2015-04-30,208.3488462747036,73.04198021192613,180.6971410103402
2015-05-31,178.59210240241464,79.5938186449851,169.36788197339564
2015-06-30,193.0376478216537,79.29742376440063,178.5362310122564
2015-07-31,177.99585772322752,79.71783480996508,181.8261194218504
2015-08-31,208.3488462747036,79.77785338095052,181.41019345122035
2015-09-30,178.59210240241464,83.07275986428144,176.65065324034006
2015-10-31,193.0376478216537,82.22486006515534,179.5968115463632
2015-11-30,177.99585772322752,82.88576735773356,178.66267452464126
2015-12-31,208.3488462747036,83.28024143690554,176.1452067131629
2016-01-31,178.59210240241464,85.1240237276269,176.8268406984487
2016-02-29,193.0376478216537,84.97382195158664,179.04166550081618
2016-03-31,177.99585772322752,86.36883100749763,180.14460843964605
2016-04-30,208.3488462747036,84.96903818770195,184.99972248699748
2016-05-31,178.59210240241464,86.0795577686397,179.1718069352438
2016-06-30,193.0376478216537,86.57365257046305,169.77295505163127
2016-07-31,177.99585772322752,86.58665049800533,177.38340817076102
2016-08-31,208.3488462747036,88.1444985627614,176.5243149185142
2016-09-30,178.59210240241464,87.7880244342287,174.61942441688308
2016-10-31,193.0376478216537,87.27237536006453,173.99411902486287
2016-11-30,177.99585772322752,87.76339721885037,176.4907575405271
2016-12-31,208.3488462747036,88.43044729321261,178.2618154760705
2017-01-31,178.59210240241464,87.97720763014163,177.870634061958
2017-02-28,193.0376478216537,87.79656260419895,181.36429394771147
2017-03-31,177.99585772322752,87.64297256904922,175.14513544035697
2017-04-30,208.3488462747036,87.86209005083471,181.01797137104813
2017-05-31,178.59210240241464,89.88913831808594,176.3445474949648
2017-06-30,193.0376478216537,88.78001245000594,176.8609703194506
2017-07-31,177.99585772322752,88.34000473739593,189.3212212291112
2017-08-31,208.3488462747036,89.59634885413216,184.2225995988844
2017-09-30,178.59210240241464,89.35953997377445,176.71301010019835
2017-10-31,193.0376478216537,87.78549816826286,183.52572581415887
2017-11-30,177.99585772322752,88.66395077313935,174.3499631787439
2017-12-31,208.3488462747036,87.767026907244,179.52148117941806
2018-01-31,178.59210240241464,89.77603187386863,179.2264203264042
2018-02-28,193.0376478216537,89.10840588948648,176.22789302451628
2018-03-31,177.99585772322752,90.36907204948324,180.05882969534585
2018-04-30,208.3488462747036,87.68157042924713,173.8333871719835
2018-05-31,178.59210240241464,89.08595792730735,170.05828753465894
2018-06-30,193.0376478216537,90.32833629734938,176.23249827884422
2018-07-31,177.99585772322752,89.61694605047131,177.70921786863215
2018-08-31,208.3488462747036,88.60112271249545,178.76156485248225
2018-09-30,178.59210240241464,89.64694602264737,184.4964558409956
2018-10-31,193.0376478216537,89.82447528070583,182.10719640106907
2018-11-30,177.99585772322752,89.72637356789892,182.8350934623041
2018-12-31,208.3488462747036,88.5065045263823,177.70901287947353
2019-01-31,178.59210240241464,90.14767775544446,185.2034695584122
2019-02-28,193.0376478216537,90.55260543489442,179.93235728643234
2019-03-31,177.99585772322752,88.02396027394263,179.16886680728783
2019-04-30,208.3488462747036,90.87538739898474,184.8207812095153
2019-05-31,178.59210240241464,90.65846788220388,175.90491085154102
2019-06-30,193.0376478216537,89.99718521373421,182.82887359159992
2019-07-31,177.99585772322752,88.37593891475177,175.79539190377687
2019-08-31,208.3488462747036,89.68455154093982,177.5361246947448
2019-09-30,178.59210240241464,91.81021751897782,177.16225280505833
