,Valor
2014-01-31,264.5424446113826
2014-02-28,224.52358113236545
2014-03-31,260.3441886032807
2014-04-30,259.0532062576907
2014-05-31,240.268286697994
2014-06-30,243.3103719393413
2014-07-31,254.8728350926676
2014-08-31,248.21104526032283
2014-09-30,243.684123768799
2014-10-31,215.6208124495976
2014-11-30,264.5424446113826
2014-12-31,224.52358113236545
2015-01-31,260.3441886032807
2015-02-28,259.0532062576907
2015-03-31,240.268286697994
2015-04-30,243.3103719393413
2015-05-31,254.8728350926676
2015-06-30,248.21104526032283
2015-07-31,243.684123768799
2015-08-31,215.6208124495976
2015-09-30,264.5424446113826
2015-10-31,224.52358113236545
2015-11-30,260.3441886032807
2015-12-31,259.0532062576907
2016-01-31,240.268286697994
2016-02-29,243.3103719393413
2016-03-31,254.8728350926676
2016-04-30,248.21104526032283
2016-05-31,243.684123768799
2016-06-30,215.6208124495976
2016-07-31,264.5424446113826
2016-08-31,224.52358113236545
2016-09-30,260.3441886032807
2016-10-31,259.0532062576907
2016-11-30,240.268286697994
2016-12-31,243.3103719393413
2017-01-31,254.8728350926676
2017-02-28,248.21104526032283
2017-03-31,243.684123768799
2017-04-30,215.6208124495976
2017-05-31,200.45820946013956
2017-06-30,200.65416572866243
2017-07-31,201.05720679976147
2017-08-31,201.28916396012383
2017-09-30,201.6384337656532
2017-10-31,201.82549365335677
2017-11-30,202.24949966189615
2017-12-31,202.64387990362528
2018-01-31,202.91931204671488
2018-02-28,203.28624360263169
2018-03-31,203.35623104953183
2018-04-30,203.73851134452696
2018-05-31,203.9082633694387
2018-06-30,204.4968222860384
2018-07-31,204.5604455068772
2018-08-31,204.8179501124655
2018-09-30,205.31665759289197
2018-10-31,205.5829327643576
2018-11-30,205.9235624636139
2018-12-31,206.28858526114308
2019-01-31,206.50915509519868
2019-02-28,206.66052420957925
2019-03-31,207.13141238257825
2019-04-30,207.38976688613903
2019-05-31,207.5844736360931
2019-06-30,207.8864586268949
2019-07-31,208.22057550211704
2019-08-31,208.46557096748705
2019-09-30,208.8571338162011
2019-10-31,209.02049900603117
2019-11-30,209.3536040334289
2019-12-31,209.83966147869836
2020-01-31,210.0733706928727
2020-02-29,210.4481155587971
2020-03-31,210.7803307945105
2020-04-30,211.04703353605296
2020-05-31,211.1952514360233
2020-06-30,211.55214897606007
2020-07-31,211.84039478402576
2020-08-31,212.2132047339768
2020-09-30,212.4389894326502
2020-10-31,212.6824174865356
2020-11-30,213.01921739034765
2020-12-31,213.41965098194
2021-01-31,213.53455994753548
2021-02-28,214.02713140188715
2021-03-31,214.10015813547085
2021-04-30,214.526154280707
2021-05-31,214.7859335593688
2021-06-30,215.063709760152
2021-07-31,215.5615895305726
2021-08-31,215.61594367005256
2021-09-30,215.9174149635844
2021-10-31,216.26866913777107
2021-11-30,216.71463271096783
2021-12-31,216.94254150509764
2022-01-31,217.32496578564889
2022-02-28,217.5314827687491
2022-03-31,217.909381181409
2022-04-30,218.24870547653293
2022-05-31,218.56290695483108
2022-06-30,218.66146111164983
2022-07-31,219.0542379588172
2022-08-31,219.24532037718737
2022-09-30,219.78988493595145
2022-10-31,220.08505219584677
2022-11-30,220.29605027820503
2022-12-31,220.45246206619288
2023-01-31,220.95846248788555
2023-02-28,221.14408531472864
2023-03-31,221.53303574738848
2023-04-30,221.86259161130465
2023-05-31,222.10135736382165
2023-06-30,222.27559631921088
2023-07-31,222.52741398465488
2023-08-31,222.98977547439856
2023-09-30,223.3081785241072
2023-10-31,223.67406868089776
2023-11-30,223.9038447949298
2023-12-31,224.26100451565677
2024-01-31,222.71008480099198
2024-02-29,225.39615787046716
2024-03-31,223.7609994668183
2024-04-30,223.11826639134097
2024-05-31,223.64236371216225
2024-06-30,224.38347328968172
2024-07-31,223.26183051950323
2024-08-31,222.9995096426884
2024-09-30,222.56094767704485
2024-10-31,223.29867405233867
2024-11-30,222.81621781982585
2024-12-31,222.57611629743576
2025-01-31,224.72616854824082
2025-02-28,223.2369640037528
2025-03-31,223.35438968872208
2025-04-30,223.10043824367955
2025-05-31,223.01921690359958
2025-06-30,223.53899274720933
2025-07-31,222.15466583441838
2025-08-31,224.72763854462423
2025-09-30,222.80309912390194
2025-10-31,222.58123490254337
2025-11-30,224.96180134618385
2025-12-31,224.108164811973
2026-01-31,222.6054688730648
2026-02-28,223.45708331444425
2026-03-31,222.99465513378158
2026-04-30,223.6442591700624
2026-05-31,222.48384862417657
2026-06-30,223.09251442625833
2026-07-31,223.81055616270115
2026-08-31,225.5656559816693
2026-09-30,222.49257009599313
2026-10-31,222.42114757696734
2026-11-30,224.69307815167463
2026-12-31,221.89913914684112
2027-01-31,222.86323941891732
2027-02-28,224.79719479355163
2027-03-31,222.36150206396664
2027-04-30,223.1919952040392
2027-05-31,222.70087518883523
2027-06-30,224.17228806573405
2027-07-31,223.09319765821445
2027-08-31,223.0632749555291
2027-09-30,223.18058087487998
2027-10-31,223.8971277724131
2027-11-30,221.48417047802891
2027-12-31,223.69833284292167
2028-01-31,223.34118336091595
2028-02-29,224.37441333359914
2028-03-31,223.91227336080328
2028-04-30,223.02710463746246
2028-05-31,223.40993358286744
2028-06-30,223.37999492920432
2028-07-31,222.98985252902906
2028-08-31,223.27551964334288
2028-09-30,223.86868458941422
2028-10-31,222.73471486696883
2028-11-30,222.7599126092362
2028-12-31,222.0693033265153
2029-01-31,223.90440678031285
2029-02-28,222.38569463846255
2029-03-31,224.25154732588956
2029-04-30,223.46422591647445
2029-05-31,223.91030597933582
2029-06-30,223.08342368545948
2029-07-31,225.40951518786022
2029-08-31,223.83958421169905
2029-09-30,222.18243560764853
2029-10-31,225.8916288405572
2029-11-30,222.74221387801575
2029-12-31,223.64403241849385
2030-01-31,223.56413100832773
2030-02-28,222.68093356214933
2030-03-31,222.54770465050305
2030-04-30,222.96358085214456
2030-05-31,220.97734523664022
2030-06-30,223.50284985181173
2030-07-31,223.50240871157382
2030-08-31,223.20534082429793
2030-09-30,222.17814288738987
2030-10-31,221.89951542463592
2030-11-30,222.59581056986136
2030-12-31,221.70248084321116
2031-01-31,224.01930695394756
2031-02-28,222.20240061492382
2031-03-31,223.38551874443735
2031-04-30,223.24790205699924
2031-05-31,223.3506024851824
2031-06-30,222.6417258966401
2031-07-31,223.95380044816017
2031-08-31,223.72756243733738
2031-09-30,224.29916824167313
2031-10-31,222.7694080870186
2031-11-30,224.6205618825059
2031-12-31,223.71626025695934
2032-01-31,224.7626907348812
2032-02-29,224.78773274751507
2032-03-31,223.78969344884476
2032-04-30,224.40612268839072
2032-05-31,225.96719982877275
2032-06-30,223.75081051997503
2032-07-31,223.3170915029549
2032-08-31,223.9717460090187
2032-09-30,222.81927993365656
2032-10-31,224.0999822693851
2032-11-30,223.08678464798288
2032-12-31,221.76620843033504
2033-01-31,223.71614212615373
2033-02-28,222.33300787274197
2033-03-31,223.93031291652107
2033-04-30,223.47243118642194
2033-05-31,223.0271900628717
2033-06-30,223.08730701352698
2033-07-31,223.12290404378513
2033-08-31,223.09768390053995
2033-09-30,222.8993782700629
2033-10-31,222.9971804808248
2033-11-30,223.58240596252438
2033-12-31,222.29366940005198
2034-01-31,223.23490048163796
2034-02-28,222.19349883159543
2034-03-31,221.1891779666644
2034-04-30,221.37218596274084
2034-05-31,223.5564084672402
2034-06-30,223.50296693299396
2034-07-31,224.4892860443129
2034-08-31,223.741315816446
2034-09-30,223.84953883987134
2034-10-31,225.81759505860043
2034-11-30,223.88514809151735
2034-12-31,223.30538852476366
2035-01-31,222.8184128479678
2035-02-28,222.70246569905305
2035-03-31,223.94570939864835
2035-04-30,223.628077433923
2035-05-31,222.67135951893246
2035-06-30,223.8216258802214
2035-07-31,224.1514313064979
2035-08-31,224.21179612296334
2035-09-30,222.86911476304374
2035-10-31,223.7306227746385
2035-11-30,221.66406152629668
2035-12-31,224.22368329603194
2036-01-31,223.61620998170554
2036-02-29,223.1891310227805
2036-03-31,224.55208317043008
2036-04-30,223.89158299151453
2036-05-31,223.09771294728137
2036-06-30,222.18877806046197
2036-07-31,222.1603917226592
2036-08-31,223.234809192093
2036-09-30,222.61784525534085
2036-10-31,223.7936887299616
2036-11-30,222.76283145731333
2036-12-31,225.01806262961668
2037-01-31,225.11035107901736
2037-02-28,222.49547823365452
2037-03-31,224.17104753903726
2037-04-30,222.82353329689664
2037-05-31,223.0592811330227
2037-06-30,223.10041318799523
2037-07-31,223.50043551258864
2037-08-31,223.48090523109227
2037-09-30,222.91879482454965
2037-10-31,223.54762623676606
2037-11-30,223.14840646691644
2037-12-31,222.6142038577688
2038-01-31,222.85071192943656
2038-02-28,223.44328475339256
2038-03-31,220.47524743774667
2038-04-30,221.9455743091882
2038-05-31,222.65068890885127
2038-06-30,223.54487075486713
2038-07-31,225.18532754212356
2038-08-31,223.48156316895253
2038-09-30,223.18514723485788
2038-10-31,223.03187302851612
2038-11-30,222.25652927296835
2038-12-31,223.27351022725162
