,Valor
2014-01-31,264.5424446113826
2014-02-28,224.52358113236545
2014-03-31,260.3441886032807
2014-04-30,259.0532062576907
2014-05-31,240.268286697994
2014-06-30,240.26185209841105
2014-07-31,243.3103719393413
2014-08-31,254.8728350926676
2014-09-30,248.21104526032283
2014-10-31,243.684123768799
2014-11-30,215.6208124495976
2014-12-31,264.5424446113826
2015-01-31,224.52358113236545
2015-02-28,260.3441886032807
2015-03-31,259.0532062576907
2015-04-30,240.268286697994
2015-05-31,240.2230702501642
2015-06-30,243.3103719393413
2015-07-31,254.8728350926676
2015-08-31,254.7725070687612
2015-09-30,248.21104526032283
2015-10-31,248.1694534448426
2015-11-30,243.684123768799
2015-12-31,243.62561276775145
2016-01-31,215.6208124495976
2016-02-29,264.5424446113826
2016-03-31,264.6924322040786
2016-04-30,224.52358113236545
2016-05-31,224.79295484638826
2016-06-30,260.3441886032807
2016-07-31,259.0532062576907
2016-08-31,258.9318156982193
2016-09-30,240.268286697994
2016-10-31,243.3103719393413
2016-11-30,243.41746558934446
2016-12-31,254.8728350926676
2017-01-31,255.10606318994235
2017-02-28,248.21104526032283
2017-03-31,243.684123768799
2017-04-30,215.6208124495976
2017-05-31,215.90931727593428
2017-06-30,264.5424446113826
2017-07-31,224.52358113236545
2017-08-31,260.3441886032807
2017-09-30,260.29989248109433
2017-10-31,259.0532062576907
2017-11-30,240.268286697994
2017-12-31,240.01722743923727
2018-01-31,243.3103719393413
2018-02-28,243.4224214333429
2018-03-31,254.8728350926676
2018-04-30,248.21104526032283
2018-05-31,248.23978346392443
2018-06-30,243.684123768799
2018-07-31,215.6208124495976
2018-08-31,215.6359223378647
2018-09-30,200.45820946013956
2018-10-31,200.65416572866243
2018-11-30,201.05720679976147
2018-12-31,201.28916396012383
2019-01-31,201.6384337656532
2019-02-28,201.6165361657454
2019-03-31,201.82549365335677
2019-04-30,202.24949966189615
2019-05-31,202.10434034633636
2019-06-30,202.64387990362528
2019-07-31,202.91931204671488
2019-08-31,203.28624360263169
2019-09-30,203.35623104953183
2019-10-31,203.59745438678362
2019-11-30,203.73851134452696
2019-12-31,203.9082633694387
2020-01-31,204.4968222860384
2020-02-29,204.5604455068772
2020-03-31,204.8179501124655
2020-04-30,205.31665759289197
2020-05-31,205.5829327643576
2020-06-30,205.5114851154804
2020-07-31,205.9235624636139
2020-08-31,205.74667368958856
2020-09-30,206.28858526114308
2020-10-31,206.50915509519868
2020-11-30,206.66052420957925
2020-12-31,207.13141238257825
2021-01-31,207.38976688613903
2021-02-28,207.5844736360931
2021-03-31,206.91525379675468
2021-04-30,207.8864586268949
2021-05-31,208.22057550211704
2021-06-30,208.46557096748705
2021-07-31,208.8571338162011
2021-08-31,209.02049900603117
2021-09-30,209.0918016090796
2021-10-31,209.3536040334289
2021-11-30,209.16317191436977
2021-12-31,209.83966147869836
2022-01-31,210.0733706928727
2022-02-28,210.4481155587971
2022-03-31,210.7803307945105
2022-04-30,211.04703353605296
2022-05-31,211.11403818158072
2022-06-30,211.1952514360233
2022-07-31,211.27021131361195
2022-08-31,211.55214897606007
2022-09-30,211.84039478402576
2022-10-31,212.2132047339768
2022-11-30,212.4389894326502
2022-12-31,211.79577963680205
2023-01-31,212.6824174865356
2023-02-28,212.69277492793196
2023-03-31,213.01921739034765
2023-04-30,213.41965098194
2023-05-31,213.53455994753548
2023-06-30,213.40760158078143
2023-07-31,214.02713140188715
2023-08-31,214.50413831727005
2023-09-30,214.10015813547085
2023-10-31,214.526154280707
2023-11-30,214.7859335593688
2023-12-31,215.063709760152
2024-01-31,215.08059885350931
2024-02-29,215.5615895305726
2024-03-31,216.05883908959237
2024-04-30,215.61594367005256
2024-05-31,215.78671624149064
2024-06-30,215.9174149635844
2024-07-31,215.97889070391716
2024-08-31,216.26866913777107
2024-09-30,216.71463271096783
2024-10-31,216.94254150509764
2024-11-30,217.32496578564889
2024-12-31,217.36939850616295
2025-01-31,217.5314827687491
2025-02-28,217.909381181409
2025-03-31,218.24870547653293
2025-04-30,217.9944894708548
2025-05-31,218.56290695483108
2025-06-30,218.66146111164983
2025-07-31,219.0542379588172
2025-08-31,219.24532037718737
2025-09-30,219.78988493595145
2025-10-31,220.08505219584677
2025-11-30,219.97435797613028
2025-12-31,220.29605027820503
2026-01-31,220.15151239395502
2026-02-28,220.45246206619288
2026-03-31,219.9734194381228
2026-04-30,220.95846248788555
2026-05-31,221.14408531472864
2026-06-30,221.53303574738848
2026-07-31,221.86259161130465
2026-08-31,222.0933949064857
2026-09-30,222.10135736382165
2026-10-31,222.5792657282905
2026-11-30,222.27559631921088
2026-12-31,222.17193654736363
2027-01-31,222.52741398465488
2027-02-28,222.39773431433403
2027-03-31,222.98977547439856
2027-04-30,223.3081785241072
2027-05-31,223.67406868089776
2027-06-30,223.52347352311446
2027-07-31,223.9038447949298
2027-08-31,224.26100451565677
