,Valor
2014-01-31,643.0215889885905
2014-02-28,635.199711432003
2014-03-31,691.5588602803662
2014-04-30,630.1675014571852
2014-05-31,638.837756586643
2014-06-30,638.8361479367472
2014-07-31,605.8236567977713
2014-08-31,625.7009430275469
2014-09-30,660.80581806399
2014-10-31,631.8926431750197
2014-11-30,646.7184057623989
2014-12-31,644.7053002381688
2015-01-31,628.63682527099
2015-02-28,673.1889663981854
2015-03-31,661.8249888864691
2015-04-30,674.4011859403693
2015-05-31,674.3898818284118
2015-06-30,675.150560243859
2015-07-31,672.3807953508099
2015-08-31,628.5516262322689
2015-09-30,628.5327083037504
2015-10-31,623.8778185956393
2015-11-30,623.8382378320645
2015-12-31,638.0548124622011
2016-01-31,638.0977898676601
2016-02-29,676.0949489424384
2016-03-31,657.9894533302324
2016-04-30,613.7526508829825
2016-05-31,613.7411114332082
2016-06-30,652.1038517977852
2016-07-31,643.0215889885905
2016-08-31,635.199711432003
2016-09-30,691.5588602803662
2016-10-31,630.1675014571852
2016-11-30,638.837756586643
2016-12-31,605.8236567977713
2017-01-31,605.8504302102721
2017-02-28,625.7009430275469
2017-03-31,625.7592500518656
2017-04-30,660.80581806399
2017-05-31,631.8926431750197
2017-06-30,646.7184057623989
2017-07-31,646.790531968983
2017-08-31,644.7053002381688
2017-09-30,628.63682527099
2017-10-31,673.1889663981854
2017-11-30,673.1778923676387
2017-12-31,661.8249888864691
2018-01-31,674.4011859403693
2018-02-28,674.33842112568
2018-03-31,675.150560243859
2018-04-30,675.1785726173594
2018-05-31,672.3807953508099
2018-06-30,628.5516262322689
2018-07-31,628.5588107831693
2018-08-31,623.8778185956393
2018-09-30,638.0548124622011
2018-10-31,676.0949489424384
2018-11-30,657.9894533302324
2018-12-31,613.7526508829825
2019-01-31,652.1038517977852
2019-02-28,643.0215889885905
2019-03-31,643.0253664606572
2019-04-30,635.199711432003
2019-05-31,635.106221464073
2019-06-30,691.5588602803662
2019-07-31,691.469904628559
2019-08-31,630.1675014571852
2019-09-30,638.837756586643
2019-10-31,605.8236567977713
2019-11-30,625.7009430275469
2019-12-31,660.80581806399
2020-01-31,631.8926431750197
2020-02-29,646.7184057623989
2020-03-31,644.7053002381688
2020-04-30,628.63682527099
2020-05-31,673.1889663981854
2020-06-30,661.8249888864691
2020-07-31,674.4011859403693
2020-08-31,675.150560243859
2020-09-30,675.139236341527
2020-10-31,672.3807953508099
2020-11-30,628.5516262322689
2020-12-31,623.8778185956393
2021-01-31,638.0548124622011
2021-02-28,676.0949489424384
2021-03-31,657.9894533302324
2021-04-30,613.7526508829825
2021-05-31,613.6583636558494
2021-06-30,652.1038517977852
2021-07-31,643.0215889885905
2021-08-31,635.199711432003
2021-09-30,691.5588602803662
2021-10-31,630.1675014571852
2021-11-30,630.1853271079473
2021-12-31,638.837756586643
2022-01-31,638.7901485568782
2022-02-28,605.8236567977713
2022-03-31,625.7009430275469
2022-04-30,660.80581806399
2022-05-31,631.8926431750197
2022-06-30,646.7184057623989
2022-07-31,646.7351569237809
2022-08-31,644.7053002381688
2022-09-30,644.724040207566
2022-10-31,628.63682527099
2022-11-30,673.1889663981854
2022-12-31,661.8249888864691
2023-01-31,674.4011859403693
2023-02-28,674.2403834914072
2023-03-31,675.150560243859
2023-04-30,675.1531496042081
2023-05-31,672.3807953508099
2023-06-30,628.5516262322689
2023-07-31,623.8778185956393
2023-08-31,623.8460790039508
2023-09-30,638.0548124622011
2023-10-31,676.0949489424384
2023-11-30,657.9894533302324
2023-12-31,613.7526508829825
2024-01-31,652.1038517977852
2024-02-29,652.2231035266309
2024-03-31,643.0215889885905
2024-04-30,635.199711432003
2024-05-31,691.5588602803662
2024-06-30,691.5778056913764
2024-07-31,630.1675014571852
2024-08-31,638.837756586643
2024-09-30,638.7890251652358
2024-10-31,605.8236567977713
2024-11-30,625.7009430275469
2024-12-31,660.80581806399
2025-01-31,631.8926431750197
2025-02-28,646.7184057623989
2025-03-31,646.7854744659161
2025-04-30,644.7053002381688
2025-05-31,628.63682527099
2025-06-30,628.7633931131611
2025-07-31,673.1889663981854
2025-08-31,661.8249888864691
2025-09-30,674.4011859403693
2025-10-31,675.150560243859
2025-11-30,672.3807953508099
2025-12-31,628.5516262322689
2026-01-31,623.8778185956393
2026-02-28,623.8362023239592
2026-03-31,638.0548124622011
2026-04-30,676.0949489424384
2026-05-31,676.0558304239032
2026-06-30,657.9894533302324
2026-07-31,657.8696926732149
2026-08-31,613.7526508829825
2026-09-30,652.1038517977852
