indice,A,B,C,D
2014-01-31,464.6097852711846,588,438.9088171386059,18.294324219021117
2014-02-28,467.93456758126456,582,428.5923990497869,16.387920006950637
2014-03-31,462.56161573409975,582,419.57761798046454,14.39895386928016
2014-04-30,453.34514051464555,582,411.8575845007067,13.5633463750234
2014-05-31,462.0552077473711,588,405.3209992849951,18.111720132351245
2014-06-30,456.1437072268972,585,399.9982587464011,22.776517576148905
2014-07-31,454.9989353682149,582,395.7479786714312,19.303181574619547
2014-08-31,450.7591813247834,582,392.78742228103783,14.559291291442598
2014-09-30,480.04589641083146,585,390.7124922922667,10.38813287911341
2014-10-31,489.76685967467586,585,390.3254582789924,14.624493626442568
2014-11-30,462.40091464619263,582,390.72127835511196,15.273901791360306
2014-12-31,450.60182523289404,582,392.583581894565,16.401582822614493
2015-01-31,453.1896118128881,594,395.6690480425043,27.197603091974955
2015-02-28,454.66899955581994,582,399.6068134437429,26.404354244959265
2015-03-31,458.71225668653483,588,405.3277208208334,30.93179226447155
2015-04-30,481.1269763193703,588,411.8180044088715,29.31605551543778
2015-05-31,471.7202500562689,582,419.43447372082517,22.592596444694273
2015-06-30,467.7919388078168,582,428.6244365333325,22.413701552021962
2015-07-31,456.35146113395484,582,438.7139282492056,37.035234893927495
2015-08-31,460.0641654109561,588,450.0824963783464,43.43234162808302
2015-09-30,452.4039849830089,585,462.753352006092,51.95195972460256
2015-10-31,459.92540128539736,582,476.6416066804439,49.397628134527366
2015-11-30,453.08348382778405,582,491.72879709409654,39.781895052438216
2015-12-31,463.7425708486203,585,507.65235661280144,39.74279211793363
2016-01-31,451.2528323143835,585,525.0618672410781,55.99721265988077
2016-02-29,520.48246760995,582,543.7809092738173,66.17798036969486
2016-03-31,454.92562401794106,582,563.8469753404407,69.80634330271813
2016-04-30,451.210332060559,594,584.5354597351811,65.54740692855248
2016-05-31,464.47158772063904,582,606.977256744237,60.56520991817225
2016-06-30,464.38170651534233,588,630.3856351355687,53.54594692217999
2016-07-31,452.90810854408574,588,654.7949365536608,76.2391208590524
2016-08-31,452.8273077195306,582,680.4969273406354,85.64782943007424
2016-09-30,451.70995596277487,582,707.695255565463,91.43988444734916
2016-10-31,474.90007013940044,582,735.8961985068215,83.74984697190716
2016-11-30,454.77648527411463,588,765.0788433530456,81.45913821650691
2016-12-31,454.75134549736333,585,796.0475274152997,70.26294796369321
2017-01-31,459.3667149363781,582,827.5982000360758,99.09036899338108
2017-02-28,475.7843187642603,582,860.5583141083077,101.08282417311469
2017-03-31,451.3397201391442,585,894.7347539185148,108.14466168658977
2017-04-30,457.64673066560454,585,930.0153730512416,111.37339530350285
2017-05-31,469.57966519623074,582,966.7725574105751,105.35825803467432
2017-06-30,450.56688202051754,582,1004.5769027236878,88.47522138744046
2017-07-31,455.4587079784376,594,1043.828075237729,112.66726392065456
2017-08-31,456.2306980904166,582,1083.939035583536,120.86352898502163
2017-09-30,488.64712598588255,588,1125.2197101210845,128.55667698442375
2017-10-31,475.1442016128092,588,1167.9865372348702,131.7574662976363
2017-11-30,455.6329151570932,582,1211.835545543559,127.47588963530598
2017-12-31,455.0903220561005,582,1256.6449215075322,99.14176099311314
2018-01-31,467.2597883512143,582,1302.7065833794566,130.77440899533562
2018-02-28,460.8709286817208,588,1350.4395030422024,145.3590698334828
2018-03-31,463.1799803279233,585,1398.6966527611316,143.44032088744876
2018-04-30,450.3714212023723,582,1448.7570587042612,154.9144804802341
2018-05-31,460.89725102059583,582,1499.5597240246107,150.84743239106677
2018-06-30,458.0304099531354,585,1551.912687858277,118.96786811968963
2018-07-31,484.75493450661804,585,1605.240441672687,159.48428896453257
2018-08-31,451.8132390474925,582,1659.7715042061025,171.656348460056
2018-09-30,456.16674534191,582,1715.7470001686406,165.55805646182915
2018-10-31,478.87306506439484,594,1772.5969650145478,184.44066084701353
2018-11-30,502.39180450776354,582,1830.8637360167543,181.47131358289258
2018-12-31,464.8491743131935,588,1890.1386386623785,143.14381419952664
2019-01-31,461.6890053485177,588,1950.6083509385471,182.35267580899426
2019-02-28,459.8106776108535,582,2012.678764695514,201.71802993910399
2019-03-31,476.4529803714603,582,2075.6128459098977,190.08561971974805
2019-04-30,483.0956992942903,582,2139.7230941209446,201.75088625922365
2019-05-31,459.021185289195,588,2205.0205799362575,202.19625541432876
2019-06-30,476.8142946006035,585,2271.6353199805258,162.4464101645868
2019-07-31,476.44823668669403,582,2339.5089164910705,202.20505183590427
2019-08-31,462.63440180754753,582,2408.6852409558155,226.38381599093452
2019-09-30,475.711484615685,585,2478.833617637292,213.36491987818917
2019-10-31,456.0171384490235,585,2550.4329616755704,225.1135642327758
2019-11-30,453.4422078280063,582,2622.9116992998916,219.48147620867115
2019-12-31,456.6454001726846,582,2696.477823734431,186.86451228993695
2020-01-31,452.78788918390046,594,2771.7651225248196,224.11163538101798
2020-02-29,451.674058831377,582,2848.0006180683845,248.74999766943932
2020-03-31,474.9546794985102,588,2925.2591041728056,242.9537222456279
2020-04-30,452.44497178226055,588,3003.717992751134,258.220012039048
2020-05-31,462.30297204093176,582,3083.8454268968635,247.4578162800242
2020-06-30,452.8167414043156,582,3164.6691662906605,207.47631833068067
2020-07-31,453.3573178802129,582,3246.8838038105896,253.44601592492913
2020-08-31,454.0178410215805,588,3330.2697345782085,274.52340951979136
2020-09-30,458.15329701855137,585,3414.9549834565105,269.9338683069061
2020-10-31,474.82252585158125,582,3500.8079797529826,281.7083698649842
2020-11-30,462.7164505302213,582,3587.602021936258,286.56798202707876
2020-12-31,454.92054540633177,585,3675.7265418488496,233.05690810545372
2021-01-31,477.2207140900807,585,3765.307539703391,280.8507581757023
2021-02-28,454.20889021725816,582,3855.9239430848347,305.62390886195953
2021-03-31,468.1501512799239,582,3947.674199678202,297.6621947054821
2021-04-30,462.60814814819514,594,4040.631909788815,308.0089719869892
2021-05-31,457.6329258826463,582,4134.601574985674,310.9342241904585
2021-06-30,455.0982474621745,588,4230.059688613543,261.5796510757817
2021-07-31,484.33442438909555,588,636.0,310.4192705728573
2021-08-31,451.51818928935825,582,645.0,343.12584780717935
2021-09-30,461.793273570276,582,639.0,330.20412650552487
2021-10-31,456.2793341929825,582,648.0,337.5468917503289
2021-11-30,461.41274405850066,588,642.0,334.81848896013935
2021-12-31,452.6543382581589,585,630.0,290.41155463297406
2022-01-31,460.23162687320007,582,636.0,344.90229345789606
2022-02-28,458.83516743918335,582,636.0,372.4507769525802
2022-03-31,463.316775319563,585,639.0,359.87821697396544
2022-04-30,486.22772142249744,585,645.0,375.2048667539766
2022-05-31,463.8698180663421,582,639.0,364.58401497959176
2022-06-30,456.61089003612005,582,633.0,312.8878314865675
2022-07-31,452.5386213306374,594,633.0,377.19013487916715
2022-08-31,455.74235263718515,582,639.0,403.5120518174475
2022-09-30,468.4634473565055,588,630.0,396.95963455686336
2022-10-31,473.4322320095479,588,633.0,414.80544336033813
2022-11-30,460.80335601854233,582,642.0,398.7697831162076
2022-12-31,458.5326252843535,582,624.0,341.99258279330377
2023-01-31,450.7489808484622,582,642.0,408.3388059268982
2023-02-28,453.0973334753056,588,642.0,439.27806123373955
2023-03-31,459.9503283757,585,648.0,433.49788398660473
2023-04-30,477.93530318058765,582,648.0,443.75715374726644
2023-05-31,457.18745680461154,582,627.0,434.53940220894344
2023-06-30,476.3681100543586,585,627.0,381.75703783297536
2023-07-31,471.4507994072691,585,639.0,442.4066406036908
2023-08-31,464.9953626671147,582,639.0,477.2523993071352
2023-09-30,483.1725492015835,582,645.0,467.2083346310247
2023-10-31,464.05597802306636,594,642.0,477.81189440503624
2023-11-30,450.3859760015713,582,642.0,465.5241854519136
2023-12-31,508.5399882046778,588,645.0,416.7847282662648
2024-01-31,460.4430177354916,588,636.0,478.9662814010465
2024-02-29,461.5564888225161,582,639.0,518.043920584466
2024-03-31,458.6349055749706,582,648.0,507.1366104582245
2024-04-30,451.5352392871772,582,624.0,515.2642671311455
2024-05-31,451.6155927468153,588,639.0,505.6810017728018
2024-06-30,454.495889681805,585,639.0,448.4153517594821
2024-07-31,451.9104293221239,582,627.0,518.8541550350875
2024-08-31,456.03046949580084,582,636.0,562.6749827717688
2024-09-30,468.48827930067955,585,633.0,550.4509187668475
2024-10-31,474.9770702433219,585,639.0,552.1237108079995
2024-11-30,506.2632023255213,582,633.0,547.3822879130275
2024-12-31,450.16842461092244,582,633.0,490.125266648639
2025-01-31,450.6649008551657,594,642.0,558.6532332034819
2025-02-28,456.6674060902845,582,636.0,605.4609904599487
2025-03-31,474.59626567802945,588,639.0,595.1264888643351
2025-04-30,461.3742168391153,588,639.0,594.0206205960518
2025-05-31,457.0879116642561,582,639.0,582.1286084685809
2025-06-30,477.7337085432554,582,639.0,537.9771136054611
2025-07-31,456.3810069279958,582,633.0,597.9138877808886
2025-08-31,458.6095613732603,588,639.0,651.0134315076821
2025-09-30,454.2625118926023,585,639.0,636.9698915634948
2025-10-31,456.9838715423193,582,639.0,641.2431540961803
2025-11-30,456.68267542815056,582,639.0,626.5193490019087
2025-12-31,452.0549564584625,585,633.0,578.0411825503603
2026-01-31,477.15145957968593,585,645.0,639.8723613973389
2026-02-28,452.0892417705695,582,642.0,703.3582891930397
2026-03-31,467.1087776568938,582,630.0,683.5715838934836
2026-04-30,453.81157713510146,594,630.0,691.6837819309931
2026-05-31,457.5975979208337,582,627.0,672.1911632683282
2026-06-30,454.394541519211,588,645.0,618.2293268937798
2026-07-31,453.62700224098035,588,636.0,687.1403529482582
2026-08-31,450.3966488602536,582,642.0,759.8436458193819
2026-09-30,451.6870114758824,582,642.0,734.1313014244644
2026-10-31,470.0438700832392,582,633.0,737.3234719648597
2026-11-30,468.0714178520582,588,633.0,722.7876724725173
2026-12-31,450.3212544890362,585,639.0,664.5316074272914
2027-01-31,471.5145540456508,582,630.0,741.7248249497409
2027-02-28,462.06485494653975,582,630.0,807.1875059406946
2027-03-31,477.0231355746715,585,642.0,782.2236592265443
2027-04-30,461.1194498506188,585,633.0,785.4761964957322
2027-05-31,457.4461032154586,582,636.0,774.3137317699562
2027-06-30,453.6613906845263,582,624.0,721.7671942091498
2027-07-31,451.6677307930042,594,630.0,790.7540791568156
2027-08-31,465.39144471616385,582,639.0,856.291253418372
2027-09-30,455.1937873164504,588,636.0,840.6610290645172
2027-10-31,451.7854984476501,588,630.0,842.1831043673974
2027-11-30,460.36237846461404,582,636.0,824.7342147755264
2027-12-31,459.72844566756567,582,636.0,769.0980635563208
2028-01-31,517.0596541297683,582,639.0,838.1777601833544
2028-02-29,450.01956421106104,588,648.0,919.6744462417224
2028-03-31,455.7574198988248,585,636.0,905.1943145645777
2028-04-30,475.78140086295355,582,645.0,901.6892772435397
2028-05-31,461.565588043361,582,642.0,880.0024850853895
2028-06-30,452.58232090018976,585,636.0,814.7692797758034
2028-07-31,459.88126827982524,585,624.0,901.5693239951042
2028-08-31,461.6385580063521,582,633.0,989.2775023465651
2028-09-30,467.02099149070943,582,639.0,969.117793047772
2028-10-31,455.5428404491756,594,645.0,962.2155069912434
2028-11-30,450.58192365466334,582,633.0,939.2162614538672
2028-12-31,458.5347446448842,588,642.0,870.4562432247446
