indice,Valor
2014-01-31,-132.2712223056913
2014-02-28,-112.26179056618273
2014-03-31,-130.17209430164036
2014-04-30,-129.52660312884535
2014-05-31,-120.134143348997
2014-06-30,-121.65518596967065
2014-07-31,-127.4364175463338
2014-08-31,-124.10552263016142
2014-09-30,-121.8420618843995
2014-10-31,-107.8104062247988
2014-11-30,-132.2712223056913
2014-12-31,-112.26179056618273
2015-01-31,-130.17209430164036
2015-02-28,-129.52660312884535
2015-03-31,-120.134143348997
2015-04-30,-121.65518596967065
2015-05-31,-127.4364175463338
2015-06-30,-124.10552263016142
2015-07-31,-121.8420618843995
2015-08-31,-107.8104062247988
2015-09-30,-132.2712223056913
2015-10-31,-112.26179056618273
2015-11-30,-130.17209430164036
2015-12-31,-129.52660312884535
2016-01-31,-120.134143348997
2016-02-29,-121.65518596967065
2016-03-31,-127.4364175463338
2016-04-30,-124.10552263016142
2016-05-31,-121.8420618843995
2016-06-30,-107.8104062247988
2016-07-31,-132.2712223056913
2016-08-31,-112.26179056618273
2016-09-30,-130.17209430164036
2016-10-31,-129.52660312884535
2016-11-30,-120.134143348997
2016-12-31,-121.65518596967065
2017-01-31,-127.4364175463338
2017-02-28,-124.10552263016142
2017-03-31,-121.8420618843995
2017-04-30,-107.8104062247988
2017-05-31,-100.22910473006978
2017-06-30,-100.32708286433122
2017-07-31,-100.52860339988074
2017-08-31,-100.64458198006191
2017-09-30,-100.8192168828266
2017-10-31,-100.91274682667839
2017-11-30,-101.12474983094808
2017-12-31,-101.32193995181264
2018-01-31,-101.45965602335744
2018-02-28,-101.64312180131584
2018-03-31,-101.67811552476591
2018-04-30,-101.86925567226348
2018-05-31,-101.95413168471936
2018-06-30,-102.2484111430192
2018-07-31,-102.2802227534386
2018-08-31,-102.40897505623275
2018-09-30,-102.65832879644599
2018-10-31,-102.7914663821788
2018-11-30,-102.96178123180695
2018-12-31,-103.14429263057154
2019-01-31,-103.25457754759934
2019-02-28,-103.33026210478963
2019-03-31,-103.56570619128912
2019-04-30,-103.69488344306951
2019-05-31,-103.79223681804655
2019-06-30,-103.94322931344745
2019-07-31,-104.11028775105852
2019-08-31,-104.23278548374353
2019-09-30,-104.42856690810055
2019-10-31,-104.51024950301559
2019-11-30,-104.67680201671445
2019-12-31,-104.91983073934918
2020-01-31,-105.03668534643634
2020-02-29,-105.22405777939855
2020-03-31,-105.39016539725525
2020-04-30,-105.52351676802648
2020-05-31,-105.59762571801166
2020-06-30,-105.77607448803003
2020-07-31,-105.92019739201288
2020-08-31,-106.1066023669884
2020-09-30,-106.2194947163251
2020-10-31,-106.3412087432678
2020-11-30,-106.50960869517382
2020-12-31,-106.70982549097
2021-01-31,-106.76727997376774
2021-02-28,-107.01356570094357
2021-03-31,-107.05007906773542
2021-04-30,-107.2630771403535
2021-05-31,-107.3929667796844
2021-06-30,-107.531854880076
2021-07-31,-107.7807947652863
2021-08-31,-107.80797183502628
2021-09-30,-107.9587074817922
2021-10-31,-108.13433456888554
2021-11-30,-108.35731635548392
2021-12-31,-108.47127075254882
2022-01-31,-108.66248289282444
2022-02-28,-108.76574138437455
2022-03-31,-108.9546905907045
2022-04-30,-109.12435273826647
2022-05-31,-109.28145347741554
2022-06-30,-109.33073055582491
2022-07-31,-109.5271189794086
2022-08-31,-109.62266018859368
2022-09-30,-109.89494246797572
2022-10-31,-110.04252609792339
2022-11-30,-110.14802513910251
2022-12-31,-110.22623103309644
2023-01-31,-110.47923124394278
2023-02-28,-110.57204265736432
2023-03-31,-110.76651787369424
2023-04-30,-110.93129580565233
2023-05-31,-111.05067868191082
2023-06-30,-111.13779815960544
2023-07-31,-111.26370699232744
2023-08-31,-111.49488773719928
2023-09-30,-111.6540892620536
2023-10-31,-111.83703434044888
2023-11-30,-111.9519223974649
2023-12-31,-112.13050225782838
