indice,Valor
2014-01-31,-1929.0647669657715
2014-02-28,-1905.5991342960092
2014-03-31,-2074.6765808410983
2014-04-30,-1890.5025043715555
2014-05-31,-1916.5132697599288
2014-06-30,-1817.4709703933138
2014-07-31,-1877.1028290826407
2014-08-31,-1982.4174541919701
2014-09-30,-1895.677929525059
2014-10-31,-1940.1552172871966
2014-11-30,-1934.1159007145063
2014-12-31,-1885.9104758129702
2015-01-31,-2019.566899194556
2015-02-28,-1985.4749666594073
2015-03-31,-2023.2035578211078
2015-04-30,-2025.451680731577
2015-05-31,-2017.1423860524296
2015-06-30,-1885.6548786968065
2015-07-31,-1871.6334557869177
2015-08-31,-1914.1644373866034
2015-09-30,-2028.284846827315
2015-10-31,-1973.9683599906973
2015-11-30,-1841.2579526489476
2015-12-31,-1956.3115553933555
2016-01-31,-1929.0647669657715
2016-02-29,-1905.5991342960092
2016-03-31,-2074.6765808410983
2016-04-30,-1890.5025043715555
2016-05-31,-1916.5132697599288
2016-06-30,-1817.4709703933138
2016-07-31,-1877.1028290826407
2016-08-31,-1982.4174541919701
2016-09-30,-1895.677929525059
2016-10-31,-1940.1552172871966
2016-11-30,-1934.1159007145063
2016-12-31,-1885.9104758129702
2017-01-31,-2019.566899194556
2017-02-28,-1985.4749666594073
2017-03-31,-2023.2035578211078
2017-04-30,-2025.451680731577
2017-05-31,-2017.1423860524296
2017-06-30,-1885.6548786968065
2017-07-31,-1871.6334557869177
2017-08-31,-1914.1644373866034
2017-09-30,-2028.284846827315
2017-10-31,-1973.9683599906973
2017-11-30,-1841.2579526489476
2017-12-31,-1956.3115553933555
2018-01-31,-1929.0647669657715
2018-02-28,-1905.5991342960092
2018-03-31,-2074.6765808410983
2018-04-30,-1890.5025043715555
2018-05-31,-1916.5132697599288
2018-06-30,-1817.4709703933138
2018-07-31,-1877.1028290826407
2018-08-31,-1982.4174541919701
2018-09-30,-1895.677929525059
2018-10-31,-1940.1552172871966
2018-11-30,-1934.1159007145063
2018-12-31,-1885.9104758129702
2019-01-31,-2019.566899194556
2019-02-28,-1985.4749666594073
2019-03-31,-2023.2035578211078
2019-04-30,-2025.451680731577
2019-05-31,-2017.1423860524296
2019-06-30,-1885.6548786968065
2019-07-31,-1871.6334557869177
2019-08-31,-1914.1644373866034
2019-09-30,-2028.284846827315
2019-10-31,-1973.9683599906973
2019-11-30,-1841.2579526489476
2019-12-31,-1956.3115553933555
2020-01-31,-1929.0647669657715
2020-02-29,-1905.5991342960092
2020-03-31,-2074.6765808410983
2020-04-30,-1890.5025043715555
2020-05-31,-1916.5132697599288
2020-06-30,-1817.4709703933138
2020-07-31,-1877.1028290826407
2020-08-31,-1982.4174541919701
2020-09-30,-1895.677929525059
2020-10-31,-1940.1552172871966
2020-11-30,-1934.1159007145063
2020-12-31,-1885.9104758129702
2021-01-31,-2019.566899194556
2021-02-28,-1985.4749666594073
2021-03-31,-2023.2035578211078
2021-04-30,-2025.451680731577
2021-05-31,-2017.1423860524296
2021-06-30,-1885.6548786968065
2021-07-31,-1871.6334557869177
2021-08-31,-1914.1644373866034
2021-09-30,-2028.284846827315
2021-10-31,-1973.9683599906973
2021-11-30,-1841.2579526489476
2021-12-31,-1956.3115553933555
2022-01-31,-1929.0647669657715
2022-02-28,-1905.5991342960092
2022-03-31,-2074.6765808410983
2022-04-30,-1890.5025043715555
2022-05-31,-1916.5132697599288
2022-06-30,-1817.4709703933138
2022-07-31,-1877.1028290826407
2022-08-31,-1982.4174541919701
2022-09-30,-1895.677929525059
2022-10-31,-1940.1552172871966
2022-11-30,-1934.1159007145063
2022-12-31,-1885.9104758129702
2023-01-31,-2019.566899194556
2023-02-28,-1985.4749666594073
2023-03-31,-2023.2035578211078
2023-04-30,-2025.451680731577
2023-05-31,-2017.1423860524296
2023-06-30,-1885.6548786968065
2023-07-31,-1871.6334557869177
2023-08-31,-1914.1644373866034
2023-09-30,-2028.284846827315
2023-10-31,-1973.9683599906973
2023-11-30,-1841.2579526489476
2023-12-31,-1956.3115553933555
