indice,Peso,Altura
2014-01-31,-160.0,-192.22436033619232
2014-02-28,-166.93147180559944,-206.7221684103851
2014-03-31,-170.9861228866811,-207.130568123506
2014-04-30,-173.86294361119892,-198.28821522907248
2014-05-31,-176.094379124341,-183.47587610447417
2014-06-30,-177.91759469228055,-185.627393642363
2014-07-31,-179.45910149055314,-190.86842408477844
2014-08-31,-180.79441541679836,-209.5295082184215
2014-09-30,-181.9722457733622,-210.4400896437085
2014-10-31,-183.02585092994047,-197.99241482693495
2014-11-30,-183.9789527279837,-194.11276574699596
2014-12-31,-184.84906649788,-205.84768564321664
2015-01-31,-185.64949357461535,-191.20574227603055
2015-02-28,-186.39057329615255,-194.29698922129208
2015-03-31,-187.08050201102208,-193.9580357818644
2015-04-30,-187.7258872223978,-207.02441814795537
2015-05-31,-188.33213344056216,-208.64422719551175
2015-06-30,-188.90371757896165,-201.0067508166495
2015-07-31,-189.4443897916644,-190.86222477651717
2015-08-31,-189.95732273553992,-197.9848829669488
2015-09-30,-190.44522437723424,-194.85745041043336
2015-10-31,-190.91042453358315,-212.06827203481313
2015-11-30,-191.3549421592915,-190.4006443453954
2015-12-31,-191.78053830347943,-206.10339252173344
2016-01-31,-192.188758248682,-188.05211476001293
2016-02-29,-192.5809653802148,-210.2375950288674
2016-03-31,-192.95836866004328,-200.0053586002032
2016-04-30,-193.32204510175208,-207.0355870069519
2016-05-31,-193.67295829986472,-203.88241013959168
2016-06-30,-194.01197381662152,-202.25031435175617
2016-07-31,-194.33987204485143,-211.3837871215022
2016-08-31,-194.65735902799727,-193.26429160305673
2016-09-30,-194.9650756146648,-212.253877056978
2016-10-31,-195.2636052461616,-194.41519511256328
2016-11-30,-195.55348061489417,-184.90758849086265
2016-12-31,-195.83518938456112,-208.03431248363017
2017-01-31,-196.10917912644223,-185.62672654240444
2017-02-28,-196.37586159726385,-215.96220707819833
2017-03-31,-196.63561646129648,-195.53461102288313
2017-04-30,-196.88879454113936,-197.7514956882534
2017-05-31,-197.13572066704307,-185.05200682828408
2017-06-30,-197.37669618283368,-193.93299125586333
2017-07-31,-197.61200115693563,-201.85194584577167
2017-08-31,-197.8418963391826,-194.61992572082073
2017-09-30,-198.0666248977032,-194.41334275270663
2017-10-31,-198.28641396489095,-190.85914130113628
2017-11-30,-198.50147601710057,-209.14273174110303
2017-12-31,-198.71201010907888,-204.76952868971233
2018-01-31,-198.91820298110628,-199.28958184853016
2018-02-28,-199.12023005428145,-193.9511260580886
2018-03-31,-199.3182563272433,-194.3871737418154
2018-04-30,-199.51243718581432,-194.6149925719181
2018-05-31,-199.7029191355212,-194.80134355067713
2018-06-30,-199.88984046564272,-194.93620036395345
2018-07-31,-200.0733318523247,-202.44111848974887
2018-08-31,-200.25351690735152,-193.67944911849108
2018-09-30,-200.4305126783455,-193.85978306019953
2018-10-31,-200.6044301054642,-185.0703430074607
2018-11-30,-200.7753744390572,-201.94609818846436
2018-12-31,-200.94344562222105,-202.43968161651512
2019-01-31,-201.1087386417331,-188.4087938560424
2019-02-28,-201.27134385045096,-181.93507509488072
2019-03-31,-201.4313472639153,-195.8364289334426
2019-04-30,-201.58883083359672,-203.87800115810631
2019-05-31,-201.74387269895635,-198.94523443643033
2019-06-30,-201.89654742026423,-213.67888738123824
2019-07-31,-202.04692619390968,-195.01629856724952
2019-08-31,-202.19507705176107,-189.05468428305937
2019-09-30,-202.34106504597256,-197.54393431213816
2019-10-31,-202.4849524204936,-194.12018392100268
2019-11-30,-202.62679877041316,-204.90613921284472
2019-12-31,-202.76666119016056,-220.47161031671808
2020-01-31,-202.9045944114839,-199.84989751147887
2020-02-29,-203.04065093204167,-210.12257535965364
2020-03-31,-203.1748811353631,-198.82477928914287
2020-04-30,-203.30733340286332,-201.15560741288215
2020-05-31,-203.43805421853685,-202.91004746364564
2020-06-30,-203.56708826689592,-201.17156234126543
2020-07-31,-203.69447852467025,-208.21176425437687
2020-08-31,-203.8202663467388,-188.4539203796039
2020-09-30,-203.9444915467244,-119.14707627673062
2020-10-31,-204.06719247264255,-119.87013592526066
2020-11-30,-204.18840607796596,-119.8080195632754
2020-12-31,-204.30816798843313,-120.37479220620486
2021-01-31,-204.42651256490316,-144.20629778866453
2021-02-28,-204.54347296253508,-144.08633783888925
2021-03-31,-204.65908118654585,-148.91404913646588
2021-04-30,-204.77336814478207,-149.03997990693452
2021-05-31,-204.8863636973214,-151.48427099740672
2021-06-30,-204.99809670330265,-149.925808315612
2021-07-31,-205.10859506516852,-151.32750017422754
2021-08-31,-205.2178857704904,-150.38076741749873
2021-09-30,-205.32599493153256,-150.16267458817688
2021-10-31,-205.43294782270004,-150.03528020423016
2021-11-30,-205.5387689160054,-149.7795687954286
2021-12-31,-205.6434819146784,-150.10492440202248
2022-01-31,-205.74710978503384,-149.61133261826745
2022-02-28,-205.84967478670572,-150.61001607312915
2022-03-31,-205.9511985013459,-151.2955535081035
2022-04-30,-206.05170185988092,-150.7175262179861
2022-05-31,-206.1512051684126,-151.75432329434622
2022-06-30,-206.24972813284273,-149.58267259893032
2022-07-31,-206.34728988229637,-151.29986518539891
2022-08-31,-206.44390899141368,-148.59767569630333
2022-09-30,-206.53960350157524,-151.17354202115928
2022-10-31,-206.63439094112067,-148.60865079044106
2022-11-30,-206.72828834461905,-150.20545957750696
2022-12-31,-206.8213122712422,-150.020033321242
2023-01-31,-206.91347882229144,-149.56991972054766
2023-02-28,-207.00480365792416,-150.30797558158508
2023-03-31,-207.09530201312336,-148.75611298695705
2023-04-30,-207.18498871295097,-149.96707355818904
2023-05-31,-207.27387818712344,-149.37765862947978
2023-06-30,-207.36198448394495,-150.179260452519
2023-07-31,-207.44932128363251,-151.2811647567787
2023-08-31,-207.5359019110637,-151.09329257926092
2023-09-30,-207.62173934797755,-151.34157393596487
2023-10-31,-207.70684624465665,-152.63211406475247
2023-11-30,-207.79123493111527,-150.42429145960983
2023-12-31,-207.8749174278205,-151.3729130869556
