,Valor
2014-01-31,264.5424446113826
2014-02-28,224.52358113236545
2014-03-31,260.3441886032807
2014-04-30,259.0532062576907
2014-05-31,240.268286697994
2014-06-30,243.3103719393413
2014-07-31,254.8728350926676
2014-08-31,248.21104526032283
2014-09-30,243.684123768799
2014-10-31,215.6208124495976
2014-11-30,264.5424446113826
2014-12-31,224.52358113236545
2015-01-31,260.3441886032807
2015-02-28,259.0532062576907
2015-03-31,240.268286697994
2015-04-30,243.3103719393413
2015-05-31,254.8728350926676
2015-06-30,248.21104526032283
2015-07-31,243.684123768799
2015-08-31,215.6208124495976
2015-09-30,264.5424446113826
2015-10-31,224.52358113236545
2015-11-30,260.3441886032807
2015-12-31,259.0532062576907
2016-01-31,240.268286697994
2016-02-29,243.3103719393413
2016-03-31,254.8728350926676
2016-04-30,248.21104526032283
2016-05-31,243.684123768799
2016-06-30,215.6208124495976
2016-07-31,264.5424446113826
2016-08-31,224.52358113236545
2016-09-30,260.3441886032807
2016-10-31,259.0532062576907
2016-11-30,240.268286697994
2016-12-31,243.3103719393413
2017-01-31,254.8728350926676
2017-02-28,248.21104526032283
2017-03-31,243.684123768799
2017-04-30,215.6208124495976
2017-05-31,200.45820946013956
2017-06-30,200.65416572866243
2017-07-31,201.05720679976147
2017-08-31,201.28916396012383
2017-09-30,201.6384337656532
2017-10-31,201.82549365335677
2017-11-30,202.24949966189615
2017-12-31,202.64387990362528
2018-01-31,202.91931204671488
2018-02-28,203.28624360263169
2018-03-31,203.35623104953183
2018-04-30,203.73851134452696
2018-05-31,203.9082633694387
2018-06-30,204.4968222860384
2018-07-31,204.5604455068772
2018-08-31,204.8179501124655
2018-09-30,205.31665759289197
2018-10-31,205.5829327643576
2018-11-30,205.9235624636139
2018-12-31,206.28858526114308
2019-01-31,206.50915509519868
2019-02-28,206.66052420957925
2019-03-31,207.13141238257825
2019-04-30,207.38976688613903
2019-05-31,207.5844736360931
2019-06-30,207.8864586268949
2019-07-31,208.22057550211704
2019-08-31,208.46557096748705
2019-09-30,208.8571338162011
2019-10-31,209.02049900603117
2019-11-30,209.3536040334289
2019-12-31,209.83966147869836
2020-01-31,210.0733706928727
2020-02-29,210.4481155587971
2020-03-31,210.7803307945105
2020-04-30,211.04703353605296
2020-05-31,211.1952514360233
2020-06-30,211.55214897606007
2020-07-31,211.84039478402576
2020-08-31,212.2132047339768
2020-09-30,212.4389894326502
2020-10-31,212.6824174865356
2020-11-30,213.01921739034765
2020-12-31,213.41965098194
2021-01-31,213.53455994753548
2021-02-28,214.02713140188715
2021-03-31,214.10015813547085
2021-04-30,214.526154280707
2021-05-31,214.7859335593688
2021-06-30,215.063709760152
2021-07-31,215.5615895305726
2021-08-31,215.61594367005256
2021-09-30,215.9174149635844
2021-10-31,216.26866913777107
2021-11-30,216.71463271096783
2021-12-31,216.94254150509764
2022-01-31,217.32496578564889
2022-02-28,217.5314827687491
2022-03-31,217.909381181409
2022-04-30,218.24870547653293
2022-05-31,218.56290695483108
2022-06-30,218.66146111164983
2022-07-31,219.0542379588172
2022-08-31,219.24532037718737
2022-09-30,219.78988493595145
2022-10-31,220.08505219584677
2022-11-30,220.29605027820503
2022-12-31,220.45246206619288
2023-01-31,220.95846248788555
2023-02-28,221.14408531472864
2023-03-31,221.53303574738848
2023-04-30,221.86259161130465
2023-05-31,222.10135736382165
2023-06-30,222.27559631921088
2023-07-31,222.52741398465488
2023-08-31,222.98977547439856
2023-09-30,223.3081785241072
2023-10-31,223.67406868089776
2023-11-30,223.9038447949298
2023-12-31,224.26100451565677
2024-01-31,277.7820792196321
2024-02-29,239.52671319233778
2024-03-31,138.56722788252873
2024-04-30,146.8346250825085
2024-05-31,277.5938068410554
2024-06-30,215.44114314485174
2024-07-31,201.39180142845944
2024-08-31,247.7241514739806
2024-09-30,361.0906755713414
2024-10-31,236.08115826380384
2024-11-30,201.45002460087412
2024-12-31,157.52259997182665
2025-01-31,238.50574586565003
2025-02-28,228.33548876065882
2025-03-31,309.3657480487284
2025-04-30,240.08503998771025
2025-05-31,232.57749752273818
2025-06-30,124.14128122434492
2025-07-31,223.38739147399465
2025-08-31,210.22987979627442
2025-09-30,163.00308483207527
2025-10-31,138.68073606429869
2025-11-30,291.78619559904064
2025-12-31,290.4960545749919
2026-01-31,317.04644747351637
2026-02-28,85.11617082753992
2026-03-31,231.92963743687258
2026-04-30,289.06710388134064
2026-05-31,297.1977130866213
2026-06-30,177.3610527535836
2026-07-31,309.78688534494
2026-08-31,221.33564141787107
2026-09-30,190.10377551617256
2026-10-31,256.30288659555
2026-11-30,352.5287205572771
2026-12-31,377.5544425359922
2027-01-31,284.35416078944246
2027-02-28,143.47504056455756
2027-03-31,148.8732840668979
2027-04-30,94.5158310338857
2027-05-31,218.6967172436448
2027-06-30,319.7787140822678
2027-07-31,283.16773866636083
2027-08-31,278.8603428463643
2027-09-30,193.40770822981506
2027-10-31,268.44475027567086
2027-11-30,341.13588278142703
2027-12-31,151.72732666588314
2028-01-31,259.63320428193526
2028-02-29,323.7232068467452
2028-03-31,282.1730285909507
2028-04-30,369.62027360530954
2028-05-31,184.90569160657654
2028-06-30,204.73786801163993
2028-07-31,275.2102087074731
2028-08-31,373.1797160162645
2028-09-30,96.2085816350924
2028-10-31,390.7753143657737
2028-11-30,214.12019898949754
2028-12-31,247.8071346185882
2029-01-31,307.7402091764204
2029-02-28,330.3282664116
2029-03-31,374.64710237354836
2029-04-30,467.5843503662088
2029-05-31,235.676327185853
2029-06-30,234.04661518163593
2029-07-31,171.6518565610169
2029-08-31,220.638194562564
2029-09-30,315.760452821106
2029-10-31,160.15408057584358
2029-11-30,175.82597911824925
2029-12-31,152.52279783701186
2030-01-31,256.5510553478438
2030-02-28,98.9726686991013
2030-03-31,252.54777108235857
2030-04-30,259.6636582739615
2030-05-31,321.6905187287825
2030-06-30,227.53051124497466
2030-07-31,126.85430901523475
2030-08-31,241.27759140939253
2030-09-30,141.05029738173246
2030-10-31,198.37971619136528
2030-11-30,211.2000170373106
2030-12-31,309.87851745961234
2031-01-31,247.88128952968518
2031-02-28,233.5629762568745
2031-03-31,409.5851463152051
2031-04-30,171.0942585054854
2031-05-31,434.6259362245771
2031-06-30,288.1225551712911
2031-07-31,190.89490052037982
2031-08-31,237.89022927861467
2031-09-30,215.93936483648062
2031-10-31,394.4493635604686
2031-11-30,286.2562926844092
2031-12-31,319.2971335995325
2032-01-31,204.84695265653858
2032-02-29,215.338010757583
2032-03-31,294.0814997707936
2032-04-30,383.3582565127563
2032-05-31,243.81186057874993
2032-06-30,281.7737713097481
2032-07-31,230.16686740526762
2032-08-31,359.1463418631427
2032-09-30,210.78337669300012
2032-10-31,325.88783432716014
2032-11-30,201.2004183820367
2032-12-31,184.39247183039717
2033-01-31,173.9605362377103
2033-02-28,252.48179897609398
2033-03-31,280.0439141153039
2033-04-30,218.22102173032096
2033-05-31,258.7989781434099
2033-06-30,187.51886958696235
2033-07-31,298.0912526757513
2033-08-31,269.79202585022665
2033-09-30,177.2441157857433
2033-10-31,226.126842847872
2033-11-30,455.1661431484506
2033-12-31,179.89001867818743
2034-01-31,274.788711655478
2034-02-28,133.88285120730498
2034-03-31,275.0176714896352
2034-04-30,222.97893110595035
2034-05-31,162.49531243081037
2034-06-30,222.38565464986013
2034-07-31,207.23311775946146
2034-08-31,303.6729491933173
2034-09-30,227.50162297082613
2034-10-31,157.8745911451109
2034-11-30,269.29316240110916
2034-12-31,184.4795332232476
2035-01-31,157.9047321764948
2035-02-28,257.71589341030347
2035-03-31,210.93503349823123
2035-04-30,198.33359878064567
2035-05-31,339.38253732014437
2035-06-30,231.5436637442951
2035-07-31,266.0485903216876
2035-08-31,363.2934840128393
2035-09-30,266.3088088234747
2035-10-31,227.265622132176
2035-11-30,239.99169808880237
2035-12-31,289.5765114690045
2036-01-31,253.0839437627912
2036-02-29,177.4558451610799
2036-03-31,173.52030886414911
2036-04-30,149.65944541189953
2036-05-31,164.25027185495685
2036-06-30,243.92684263582385
2036-07-31,198.7281942488871
2036-08-31,307.32032226258906
2036-09-30,298.68330457838596
2036-10-31,184.20726685914778
2036-11-30,198.9059707729283
2036-12-31,371.35574328569237
2037-01-31,121.04243655992643
2037-02-28,160.78411911405908
2037-03-31,115.74498637953492
2037-04-30,383.0911853898022
2037-05-31,286.8103737548385
2037-06-30,233.5366287375619
2037-07-31,155.22076781485615
2037-08-31,227.20352308453843
2037-09-30,313.5686175749208
2037-10-31,182.8175207091846
2037-11-30,293.0474613455173
2037-12-31,263.1748967904606
2038-01-31,132.59109931429634
2038-02-28,136.33180932405642
2038-03-31,271.1263582630914
2038-04-30,251.68486621281735
2038-05-31,124.00904036669026
2038-06-30,231.58469240088417
2038-07-31,354.0012392407991
2038-08-31,241.5430944060821
2038-09-30,212.05642929606128
2038-10-31,169.84422675427484
2038-11-30,259.7505969915565
2038-12-31,310.2354393122387
