,Valor
2014-01-31,264.5424446113826
2014-02-28,251.445236848545
2014-03-31,241.04489171891157
2014-04-30,233.1212640309429
2014-05-31,227.45420859309954
2014-06-30,223.82358021384206
2014-07-31,222.00923370163113
2014-08-31,221.79102386492718
2014-09-30,222.94880551219092
2014-10-31,225.26243345188277
2014-11-30,228.5117624924634
2014-12-31,232.47664744239333
2015-01-31,236.93694311013314
2015-02-28,241.67250430414344
2015-03-31,246.4631858328848
2015-04-30,251.0888425048178
2015-05-31,255.32932912840286
2015-06-30,258.9645005121007
2015-07-31,261.7825449202267
2015-08-31,263.72483969628473
2015-09-30,264.86720568308044
2015-10-31,265.29002802794105
2015-11-30,265.07369187819364
2015-12-31,264.2985823811654
2016-01-31,263.04508468418345
2016-02-29,261.39358393457513
2016-03-31,259.4244652796674
2016-04-30,257.21768665340505
2016-05-31,254.85029027058104
2016-06-30,252.3981004246747
2016-07-31,249.9369373316353
2016-08-31,247.54262120741225
2016-09-30,245.29097226795483
2016-10-31,243.2578107292124
2016-11-30,241.51895680713423
2016-12-31,240.1502133374361
2017-01-31,239.20431958587326
2017-02-28,238.6654845571954
2017-03-31,238.50524706587248
2017-04-30,238.69514592637444
2017-05-31,239.20671995317122
2017-06-30,240.01150796073276
2017-07-31,241.081048763529
2017-08-31,242.38688117603
2017-09-30,243.90007186957362
2017-10-31,245.57030118029954
2017-11-30,247.31757437416624
2017-12-31,249.05971086929918
2018-01-31,250.71453008382363
2018-02-28,252.19985143586507
2018-03-31,253.43349434354886
2018-04-30,254.3332782250005
2018-05-31,254.81702249834532
2018-06-30,254.81159854606938
2018-07-31,254.3557356388827
2018-08-31,253.5636070708944
2018-09-30,252.55079934685358
2018-10-31,251.43289897150927
2018-11-30,250.32549244961052
2018-12-31,249.34416628590648
2019-01-31,248.60450698514603
2019-02-28,248.22210105207836
2019-03-31,248.27140076026544
2019-04-30,248.6206545035935
2019-05-31,249.0736324254596
2019-06-30,249.43408274313143
2019-07-31,249.50575367387654
2019-08-31,249.09239343496262
2019-09-30,247.99775024365712
2019-10-31,246.02557231722784
2019-11-30,242.98045290186028
2019-12-31,238.84613137435673
2020-01-31,234.00604578973494
2020-02-29,228.89771605376524
2020-03-31,223.95866207221755
2020-04-30,219.626403750862
2020-05-31,216.3384609954686
2020-06-30,214.5323537118074
2020-07-31,214.64560180564848
2020-08-31,217.09637546875936
2020-09-30,221.8008553669177
2020-10-31,228.13939673529717
2020-11-30,235.46622888672462
2020-12-31,243.13558113402698
2021-01-31,250.50168279003094
2021-02-28,256.91876316756344
2021-03-31,261.7410515794512
2021-04-30,264.3227773385212
2021-05-31,264.10904514055267
2021-06-30,261.3359120885065
2021-07-31,256.64669163116866
2021-08-31,250.68806297224918
2021-09-30,244.10670531545802
2021-10-31,237.54929786450535
2021-11-30,231.66251982310126
2021-12-31,227.0930503949557
2022-01-31,224.48756592156718
2022-02-28,224.29548770086006
2022-03-31,226.23418918030717
2022-04-30,229.8512602716824
2022-05-31,234.6942908867595
2022-06-30,240.31087093731244
2022-07-31,246.24859033511518
2022-08-31,252.05503899194133
2022-09-30,257.2778068195649
2022-10-31,261.4671613666815
2022-11-30,264.38053994233826
2022-12-31,266.1265469792797
2023-01-31,266.8478028163305
2023-02-28,266.6869277923151
2023-03-31,265.78654224605776
2023-04-30,264.2892665163832
2023-05-31,262.33772094211577
2023-06-30,260.07452586207995
2023-07-31,257.6396566869835
2023-08-31,255.12931197381343
2023-09-30,252.60370408366862
2023-10-31,250.12197736319587
2023-11-30,247.74327615904207
2023-12-31,245.526744817854
2024-01-31,243.53152768627854
2024-02-29,241.8167691109625
2024-03-31,240.4416134385527
2024-04-30,239.45669557211517
2024-05-31,238.85895587768195
