,Valor
2014-01-31,643.0215889885905
2014-02-28,639.1106502102967
2014-03-31,635.199711432003
2014-04-30,663.3792858561847
2014-05-31,691.5588602803662
2014-06-30,660.8631808687757
2014-07-31,630.1675014571852
2014-08-31,634.5026290219141
2014-09-30,638.837756586643
2014-10-31,622.3307066922071
2014-11-30,605.8236567977713
2014-12-31,615.762299912659
2015-01-31,625.7009430275469
2015-02-28,643.2533805457686
2015-03-31,660.80581806399
2015-04-30,646.3492306195049
2015-05-31,631.8926431750197
2015-06-30,639.3055244687093
2015-07-31,646.7184057623989
2015-08-31,645.7118530002838
2015-09-30,644.7053002381688
2015-10-31,636.6710627545795
2015-11-30,628.63682527099
2015-12-31,650.9128958345877
2016-01-31,673.1889663981854
2016-02-29,667.5069776423272
2016-03-31,661.8249888864691
2016-04-30,668.1130874134192
2016-05-31,674.4011859403693
2016-06-30,674.7758730921141
2016-07-31,675.150560243859
2016-08-31,673.7656777973344
2016-09-30,672.3807953508099
2016-10-31,650.4662107915394
2016-11-30,628.5516262322689
2016-12-31,626.2147224139541
2017-01-31,623.8778185956393
2017-02-28,630.9663155289202
2017-03-31,638.0548124622011
2017-04-30,657.0748807023197
2017-05-31,676.0949489424384
2017-06-30,667.0422011363354
2017-07-31,657.9894533302324
2017-08-31,635.8710521066075
2017-09-30,613.7526508829825
2017-10-31,632.9282513403839
2017-11-30,652.1038517977852
2017-12-31,647.5627203931879
2018-01-31,643.0215889885905
2018-02-28,639.1106502102967
2018-03-31,635.199711432003
2018-04-30,663.3792858561847
2018-05-31,691.5588602803662
2018-06-30,660.8631808687757
2018-07-31,630.1675014571852
2018-08-31,634.5026290219141
2018-09-30,638.837756586643
2018-10-31,622.3307066922071
2018-11-30,605.8236567977713
2018-12-31,615.762299912659
2019-01-31,625.7009430275469
2019-02-28,643.2533805457686
2019-03-31,660.80581806399
2019-04-30,646.3492306195049
2019-05-31,631.8926431750197
2019-06-30,639.3055244687093
2019-07-31,646.7184057623989
2019-08-31,645.7118530002838
2019-09-30,644.7053002381688
2019-10-31,636.6710627545795
2019-11-30,628.63682527099
2019-12-31,650.9128958345877
2020-01-31,673.1889663981854
2020-02-29,667.5069776423272
2020-03-31,661.8249888864691
2020-04-30,668.1130874134192
2020-05-31,674.4011859403693
2020-06-30,674.7758730921141
2020-07-31,675.150560243859
2020-08-31,673.7656777973344
2020-09-30,672.3807953508099
2020-10-31,650.4662107915394
2020-11-30,628.5516262322689
2020-12-31,626.2147224139541
2021-01-31,623.8778185956393
2021-02-28,630.9663155289202
2021-03-31,638.0548124622011
2021-04-30,657.0748807023197
2021-05-31,676.0949489424384
2021-06-30,667.0422011363354
2021-07-31,657.9894533302324
2021-08-31,635.8710521066075
2021-09-30,613.7526508829825
2021-10-31,632.9282513403839
2021-11-30,652.1038517977852
2021-12-31,647.5627203931879
2022-01-31,643.0215889885905
2022-02-28,639.1106502102967
2022-03-31,635.199711432003
2022-04-30,663.3792858561847
2022-05-31,691.5588602803662
2022-06-30,660.8631808687757
2022-07-31,630.1675014571852
2022-08-31,634.5026290219141
2022-09-30,638.837756586643
2022-10-31,622.3307066922071
2022-11-30,605.8236567977713
2022-12-31,615.762299912659
2023-01-31,625.7009430275469
2023-02-28,643.2533805457686
2023-03-31,660.80581806399
2023-04-30,646.3492306195049
2023-05-31,631.8926431750197
2023-06-30,639.3055244687093
