indice,A,B,C,D
2014-01-31,1.0,1.0,1.0,0.997757923126703
2014-02-28,1.0,1.0,1.0,0.9957755802721031
2014-03-31,1.0,1.0,1.0,0.9918346052241626
2014-04-30,1.0,1.0,1.0,0.9892401494601255
2014-05-31,1.0,1.0,1.0,0.9976175486396573
2014-06-30,1.0,1.0,1.0,0.9994958701994614
2014-07-31,1.0,1.0,1.0,0.9983971916225484
2014-08-31,1.0,1.0,1.0,0.9922562636239808
2014-09-30,1.0,1.0,1.0,0.9696079560769484
2014-10-31,1.0,1.0,1.0,0.9924214893461722
2014-11-30,1.0,1.0,1.0,0.9938875755180147
2014-12-31,1.0,1.0,1.0,0.9957946949618074
2015-01-31,1.0,1.0,1.0,0.9998844703364451
2015-02-28,1.0,1.0,1.0,0.9998495081936504
2015-03-31,1.0,1.0,1.0,0.9999667225543909
2015-04-30,1.0,1.0,1.0,0.9999429781213978
2015-05-31,1.0,1.0,1.0,0.9994640135149883
2015-06-30,1.0,1.0,1.0,0.9994310983092513
2015-07-31,1.0,1.0,1.0,0.9999956489033842
2015-08-31,1.0,1.0,1.0,0.9999994841489238
2015-09-30,1.0,1.0,1.0,0.9999999698572057
2015-10-31,1.0,1.0,1.0,0.9999999293746092
2015-11-30,1.0,1.0,1.0,0.9999982582730307
2015-12-31,1.0,1.0,1.0,0.9999982354222603
2016-01-31,1.0,1.0,1.0,0.9999999921733994
2016-02-29,1.0,1.0,1.0,0.999999999737121
2016-03-31,1.0,1.0,1.0,0.9999999999215674
2016-04-30,1.0,1.0,1.0,0.9999999996756297
2016-05-31,1.0,1.0,1.0,0.9999999982927865
2016-06-30,1.0,1.0,1.0,0.9999999822813662
2016-07-31,1.0,1.0,1.0,0.9999999999908114
2016-08-31,1.0,1.0,1.0,0.9999999999996008
2016-09-30,1.0,1.0,1.0,0.999999999999942
2016-10-31,1.0,1.0,1.0,0.9999999999992484
2016-11-30,1.0,1.0,1.0,0.9999999999983873
2016-12-31,1.0,1.0,1.0,0.9999999999326408
2017-01-31,1.0,1.0,1.0,0.9999999999999956
2017-02-28,1.0,1.0,1.0,0.9999999999999978
2017-03-31,1.0,1.0,1.0,0.9999999999999998
2017-04-30,1.0,1.0,1.0,1.0
2017-05-31,1.0,1.0,1.0,0.9999999999999993
2017-06-30,1.0,1.0,1.0,0.9999999999998443
2017-07-31,1.0,1.0,1.0,1.0
2017-08-31,1.0,1.0,1.0,1.0
2017-09-30,1.0,1.0,1.0,1.0
2017-10-31,1.0,1.0,1.0,1.0
2017-11-30,1.0,1.0,1.0,1.0
2017-12-31,1.0,1.0,1.0,0.9999999999999956
2018-01-31,1.0,1.0,1.0,1.0
2018-02-28,1.0,1.0,1.0,1.0
2018-03-31,1.0,1.0,1.0,1.0
2018-04-30,1.0,1.0,1.0,1.0
2018-05-31,1.0,1.0,1.0,1.0
2018-06-30,1.0,1.0,1.0,1.0
2018-07-31,1.0,1.0,1.0,1.0
2018-08-31,1.0,1.0,1.0,1.0
2018-09-30,1.0,1.0,1.0,1.0
2018-10-31,1.0,1.0,1.0,1.0
2018-11-30,1.0,1.0,1.0,1.0
2018-12-31,1.0,1.0,1.0,1.0
2019-01-31,1.0,1.0,1.0,1.0
2019-02-28,1.0,1.0,1.0,1.0
2019-03-31,1.0,1.0,1.0,1.0
2019-04-30,1.0,1.0,1.0,1.0
2019-05-31,1.0,1.0,1.0,1.0
2019-06-30,1.0,1.0,1.0,1.0
2019-07-31,1.0,1.0,1.0,1.0
2019-08-31,1.0,1.0,1.0,1.0
2019-09-30,1.0,1.0,1.0,1.0
2019-10-31,1.0,1.0,1.0,1.0
2019-11-30,1.0,1.0,1.0,1.0
2019-12-31,1.0,1.0,1.0,1.0
2020-01-31,1.0,1.0,1.0,1.0
2020-02-29,1.0,1.0,1.0,1.0
2020-03-31,1.0,1.0,1.0,1.0
2020-04-30,1.0,1.0,1.0,1.0
2020-05-31,1.0,1.0,1.0,1.0
2020-06-30,1.0,1.0,1.0,1.0
2020-07-31,1.0,1.0,1.0,1.0
2020-08-31,1.0,1.0,1.0,1.0
2020-09-30,1.0,1.0,1.0,1.0
2020-10-31,1.0,1.0,1.0,1.0
2020-11-30,1.0,1.0,1.0,1.0
2020-12-31,1.0,1.0,1.0,1.0
2021-01-31,1.0,1.0,1.0,1.0
2021-02-28,1.0,1.0,1.0,1.0
2021-03-31,1.0,1.0,1.0,1.0
2021-04-30,1.0,1.0,1.0,1.0
2021-05-31,1.0,1.0,1.0,1.0
2021-06-30,1.0,1.0,1.0,1.0
2021-07-31,1.0,1.0,1.0,1.0
2021-08-31,1.0,1.0,1.0,1.0
2021-09-30,1.0,1.0,1.0,1.0
2021-10-31,1.0,1.0,1.0,1.0
2021-11-30,1.0,1.0,1.0,1.0
2021-12-31,1.0,1.0,1.0,1.0
2022-01-31,1.0,1.0,1.0,1.0
2022-02-28,1.0,1.0,1.0,1.0
2022-03-31,1.0,1.0,1.0,1.0
2022-04-30,1.0,1.0,1.0,1.0
2022-05-31,1.0,1.0,1.0,1.0
2022-06-30,1.0,1.0,1.0,1.0
2022-07-31,1.0,1.0,1.0,1.0
2022-08-31,1.0,1.0,1.0,1.0
2022-09-30,1.0,1.0,1.0,1.0
2022-10-31,1.0,1.0,1.0,1.0
2022-11-30,1.0,1.0,1.0,1.0
2022-12-31,1.0,1.0,1.0,1.0
2023-01-31,1.0,1.0,1.0,1.0
2023-02-28,1.0,1.0,1.0,1.0
2023-03-31,1.0,1.0,1.0,1.0
2023-04-30,1.0,1.0,1.0,1.0
2023-05-31,1.0,1.0,1.0,1.0
2023-06-30,1.0,1.0,1.0,1.0
2023-07-31,1.0,1.0,1.0,1.0
2023-08-31,1.0,1.0,1.0,1.0
2023-09-30,1.0,1.0,1.0,1.0
2023-10-31,1.0,1.0,1.0,1.0
2023-11-30,1.0,1.0,1.0,1.0
2023-12-31,1.0,1.0,1.0,1.0
2024-01-31,1.0,1.0,1.0,1.0
2024-02-29,1.0,1.0,1.0,1.0
2024-03-31,1.0,1.0,1.0,1.0
2024-04-30,1.0,1.0,1.0,1.0
2024-05-31,1.0,1.0,1.0,1.0
2024-06-30,1.0,1.0,1.0,1.0
2024-07-31,1.0,1.0,1.0,1.0
2024-08-31,1.0,1.0,1.0,1.0
2024-09-30,1.0,1.0,1.0,1.0
2024-10-31,1.0,1.0,1.0,1.0
2024-11-30,1.0,1.0,1.0,1.0
2024-12-31,1.0,1.0,1.0,1.0
2025-01-31,1.0,1.0,1.0,1.0
2025-02-28,1.0,1.0,1.0,1.0
2025-03-31,1.0,1.0,1.0,1.0
2025-04-30,1.0,1.0,1.0,1.0
2025-05-31,1.0,1.0,1.0,1.0
2025-06-30,1.0,1.0,1.0,1.0
2025-07-31,1.0,1.0,1.0,1.0
