,Valor
2014-01-31,248.73029031465364
2014-02-28,251.72403460184353
2014-03-31,245.45111643733742
2014-04-30,250.16612459250317
2014-05-31,248.80964168123114
2014-06-30,246.3677377338903
2014-07-31,249.51985986954176
2014-08-31,249.8027215877771
2014-09-30,249.27915447349739
2014-10-31,250.39073548312788
2014-11-30,247.96294306899574
2014-12-31,188.38666727440418
2015-01-31,249.09762457921653
2015-02-28,249.33335347490515
2015-03-31,251.6288304428986
2015-04-30,250.0389394505425
2015-05-31,249.95551156931276
2015-06-30,248.88964926332523
2015-07-31,250.06384448260155
2015-08-31,250.71482855124634
2015-09-30,249.7184331978597
2015-10-31,250.41553533821758
2015-11-30,250.80145067625074
2015-12-31,248.94727536312115
2016-01-31,247.6787503319628
2016-02-29,248.62611356391875
2016-03-31,247.79695081463524
2016-04-30,249.5653073249068
2016-05-31,249.51287253530302
2016-06-30,249.9065887716597
2016-07-31,251.05839502208937
2016-08-31,249.2797135243413
2016-09-30,250.77569164811928
2016-10-31,245.3123702592734
2016-11-30,249.77789856269615
2016-12-31,250.57016001080717
2017-01-31,188.20783996073234
2017-02-28,229.82422325392656
2017-03-31,248.25791290013152
2017-04-30,250.44877679775436
2017-05-31,250.0271187038045
2017-06-30,249.47624541791419
2017-07-31,248.37082904419006
2017-08-31,249.1344634936783
2017-09-30,250.25869236543852
2017-10-31,250.53412023092852
2017-11-30,250.32300906795408
2017-12-31,249.93237550078396
2018-01-31,247.4661921748138
2018-02-28,250.31399049941157
2018-03-31,247.90808507238035
2018-04-30,249.23790292489295
2018-05-31,219.25252068679885
2018-06-30,247.5345229734674
2018-07-31,248.11301921458505
2018-08-31,249.90938556989272
2018-09-30,248.95192095361364
2018-10-31,251.3273184518498
2018-11-30,246.83671961861296
2018-12-31,250.04140462814829
2019-01-31,248.28965192649835
2019-02-28,248.58874677047743
2019-03-31,251.32672380572757
2019-04-30,229.13905934380708
2019-05-31,249.62496425086607
2019-06-30,247.68437207208865
2019-07-31,250.6344340121084
2019-08-31,251.79123775813065
2019-09-30,250.06281970504338
2019-10-31,249.92019124953924
2019-11-30,249.90547728011188
2019-12-31,248.99163697358574
2020-01-31,249.75047206925987
2020-02-29,248.3759831468088
2020-03-31,248.6746367735717
2020-04-30,187.19065540265552
2020-05-31,229.13905934380708
2020-06-30,248.17357251031285
2020-07-31,248.50346736410654
2020-08-31,244.1342209379162
2020-09-30,248.44451282393197
2020-10-31,250.25031905673515
2020-11-30,248.4422371065644
2020-12-31,249.7837573121733
2021-01-31,249.08878174116214
2021-02-28,248.0085665961909
2021-03-31,242.72155957169196
2021-04-30,249.25863116456185
2021-05-31,249.7536906020255
2021-06-30,248.70565043054293
2021-07-31,249.9156071737695
2021-08-31,250.816071987324
2021-09-30,250.96412290607
2021-10-31,249.6612313606714
2021-11-30,247.19359637101928
2021-12-31,246.84561982724827
2022-01-31,237.63262507833966
2022-02-28,247.34142558990115
2022-03-31,248.77495405614457
2022-04-30,249.7542223591317
2022-05-31,250.77390606778496
2022-06-30,239.1374646434488
2022-07-31,250.28052248404165
2022-08-31,248.11301921458505
2022-09-30,248.4613422039933
2022-10-31,251.28792448735524
2022-11-30,248.55380621792676
2022-12-31,248.3693484745125
2023-01-31,243.00096311379747
2023-02-28,236.65400870233177
2023-03-31,249.5165143704856
2023-04-30,186.52915296418792
2023-05-31,249.4223938029264
2023-06-30,247.344337094682
2023-07-31,248.1451750500487
2023-08-31,230.7913341061322
2023-09-30,248.30852254368082
2023-10-31,242.6607938500888
2023-11-30,250.2030992189018
2023-12-31,229.12082907595368
2024-01-31,251.34880606941792
2024-02-29,250.40223613209827
2024-03-31,249.89400552152517
2024-04-30,246.33009800584455
2024-05-31,242.50266089780112
2024-06-30,248.96605252995533
2024-07-31,230.5834673748306
2024-08-31,250.8476143396564
2024-09-30,250.1611185588714
2024-10-31,250.03136765194628
2024-11-30,250.02242884632398
2024-12-31,250.4875926679071
2025-01-31,248.88179772724442
2025-02-28,250.12748199257652
2025-03-31,247.27110556772936
2025-04-30,249.57035797517895
2025-05-31,249.32291841208774
2025-06-30,249.3547684160968
2025-07-31,248.4422371065644
2025-08-31,247.77887291569547
2025-09-30,252.84689717002527
2025-10-31,249.30383748800705
2025-11-30,249.09072757335196
2025-12-31,251.23319853055438
2026-01-31,247.57053508647687
2026-02-28,187.3648067144251
2026-03-31,250.05587390769227
2026-04-30,249.01711978749995
2026-05-31,186.78039741724052
2026-06-30,248.89230990569462
2026-07-31,250.58611258945263
2026-08-31,249.83276622027307
2026-09-30,249.70854055721554
2026-10-31,249.75753022987868
2026-11-30,250.44089706014478
2026-12-31,229.43741365887732
2027-01-31,248.26665205186612
2027-02-28,250.32496800423863
2027-03-31,249.62305141835986
2027-04-30,249.53605341496308
2027-05-31,250.1723342039565
2027-06-30,251.03460409744645
2027-07-31,250.53795465640928
2027-08-31,250.2205407396124
2027-09-30,251.00723172987117
2027-10-31,250.41337959216656
2027-11-30,251.49474793271983
2027-12-31,251.53312146213685
2028-01-31,246.8187776156717
2028-02-29,187.65423024330417
2028-03-31,248.29592592520282
2028-04-30,241.7200690257706
2028-05-31,250.01962563764314
2028-06-30,250.47418155906053
2028-07-31,249.14228733598284
2028-08-31,250.56958056074507
2028-09-30,249.74785768917593
2028-10-31,248.5652507995298
2028-11-30,250.44089706014478
2028-12-31,246.7885741883652
2029-01-31,186.73496850034337
2029-02-28,249.68734130515503
2029-03-31,249.17680494364052
2029-04-30,248.1517225697519
2029-05-31,251.55568737359673
2029-06-30,219.02063119521404
2029-07-31,245.71236200312953
2029-08-31,248.71851368512796
2029-09-30,252.24528061534153
2029-10-31,249.8445157459268
2029-11-30,250.41337959216656
2029-12-31,249.97533270865773
2030-01-31,249.42674061011934
2030-02-28,187.69948850410256
2030-03-31,248.89118794470727
2030-04-30,250.71656807366634
2030-05-31,248.01710903046546
2030-06-30,248.59116981918595
2030-07-31,244.58530239759835
2030-08-31,248.49141175367322
2030-09-30,238.9521336777549
2030-10-31,247.94013654125388
2030-11-30,250.0858709094611
2030-12-31,246.355797257453
2031-01-31,248.37315721139527
2031-02-28,248.07449763619053
2031-03-31,247.86603070980436
2031-04-30,249.18257079107786
2031-05-31,250.8611420653
2031-06-30,239.1735468028247
2031-07-31,249.96267911730018
2031-08-31,248.4417891922738
2031-09-30,249.6072873338993
2031-10-31,249.3121800798945
2031-11-30,250.02166753241573
2031-12-31,248.64048928703187
2032-01-31,247.66102331955318
2032-02-29,249.71804706236114
2032-03-31,249.34982295181715
2032-04-30,238.80350656151745
2032-05-31,248.18833362048377
2032-06-30,247.82855263191095
2032-07-31,251.1070857163037
