,A,B,C
2014-01-31,220.97038636184587,44.32151113608332,179.550510302305
2014-02-28,177.99585772322752,88.34000473739593,185.363365620008
2014-03-31,208.3488462747036,90.38030770332595,183.17005251752803
2014-04-30,177.99585772322752,90.8209674401547,182.10719640106907
2014-05-31,276.584447423966,84.97382195158664,179.06584580998705
2014-06-30,193.0376478216537,88.37593891475177,180.6971410103402
2014-07-31,193.0376478216537,86.58665049800533,182.8350934623041
2014-08-31,260.02163501936,89.88913831808594,179.27118296526095
2014-09-30,193.0376478216537,90.65846788220388,182.2772529940213
2014-10-31,178.59210240241464,89.4646242078087,179.5968115463632
2014-11-30,268.5877424832645,88.60112271249545,173.6226136427863
2014-12-31,178.59210240241464,46.56615907856134,182.73214893273783
2015-01-31,230.64768056845332,89.47554079830982,176.0519206816349
2015-02-28,178.59210240241464,89.14433318042433,183.52572581415887
2015-03-31,208.3488462747036,89.10840588948648,177.379061459541
2015-04-30,268.5877424832645,88.66395077313935,185.2034695584122
2015-05-31,208.3488462747036,91.49228913174603,174.67915910710542
2015-06-30,260.02163501936,90.36907204948324,182.10719640106907
2015-07-31,193.0376478216537,87.76339721885037,179.79758713014292
2015-08-31,263.82816221289886,89.80061367893478,176.35707175448908
2015-09-30,208.3488462747036,89.40462361942787,191.3406624396323
2015-10-31,193.0376478216537,89.95606771815298,174.67915910710542
2015-11-30,208.3488462747036,88.78001245000594,179.550510302305
2015-12-31,276.584447423966,79.71783480996508,184.4964558409956
2016-01-31,193.0376478216537,87.86209005083471,177.870634061958
2016-02-29,178.59210240241464,88.37593891475177,181.01797137104813
2016-03-31,208.3488462747036,85.1240237276269,178.6882446573339
2016-04-30,268.5877424832645,90.72580498971377,174.77874940653194
2016-05-31,263.82816221289886,89.77603187386863,176.22789302451628
2016-06-30,208.3488462747036,90.55260543489442,174.3499631787439
2016-07-31,276.584447423966,79.29742376440063,177.70921786863215
2016-08-31,193.0376478216537,46.56615907856134,184.5793166410752
2016-09-30,230.64768056845332,70.96631402318381,184.5793166410752
2016-10-31,177.99585772322752,89.80061367893478,177.379061459541
2016-11-30,263.82816221289886,90.06028897945983,183.17005251752803
2016-12-31,263.82816221289886,44.02490864119196,170.05828753465894
2017-01-31,193.0376478216537,89.75053721334749,171.33438657025852
2017-02-28,248.2335716013368,86.57365257046305,180.62147697438493
2017-03-31,268.5877424832645,90.10145352128464,179.27118296526095
2017-04-30,252.95824536719851,90.36907204948324,176.60898732386764
2017-05-31,208.3488462747036,88.66395077313935,175.43051524985742
2017-06-30,260.02163501936,89.82447528070583,174.798390629238
2017-07-31,193.0376478216537,67.51641344376016,177.4944984256549
2017-08-31,260.3192952480494,90.6375287581444,180.14814443963664
2017-09-30,177.99585772322752,88.37593891475177,179.1718069352438
2017-10-31,178.59210240241464,89.65378423747075,176.329464320579
2017-11-30,193.0376478216537,88.78001245000594,176.329464320579
2017-12-31,193.0376478216537,67.51641344376016,179.84136868293635
2018-01-31,208.3488462747036,90.01093283883354,182.3853589654121
2018-02-28,177.99585772322752,89.30040371787666,177.5361246947448
2018-03-31,193.0376478216537,89.71153693599315,170.05828753465894
2018-04-30,178.59210240241464,89.99462321966828,179.27118296526095
2018-05-31,220.97038636184587,90.55260543489442,174.61942441688308
2018-06-30,220.97038636184587,88.77658834609568,178.5362310122564
2018-07-31,208.3488462747036,89.89290820222627,177.6978137040581
2018-08-31,178.59210240241464,87.68157042924713,185.363365620008
2018-09-30,208.3488462747036,44.02490864119196,179.04166550081618
2018-10-31,178.59210240241464,67.49447970267484,180.406176908292
2018-11-30,193.0376478216537,89.82447528070583,175.79539190377687
2018-12-31,263.82816221289886,88.44258279892532,183.7378094137075
2019-01-31,252.95824536719851,87.76339721885037,174.7069478959852
2019-02-28,220.97038636184587,88.7770955487176,175.90491085154102
2019-03-31,208.3488462747036,90.40540316327105,185.99500246611635
2019-04-30,260.02163501936,90.32940253941288,179.16886680728783
2019-05-31,278.7882296110708,89.89290820222627,177.97703903010202
2019-06-30,263.82816221289886,89.76507680400968,176.4907575405271
2019-07-31,252.95824536719851,88.7770955487176,184.8207812095153
2019-08-31,178.59210240241464,46.56615907856134,181.62321553367917
2019-09-30,177.99585772322752,89.88913831808594,184.4964558409956
2019-10-31,177.99585772322752,82.88576735773356,179.27118296526095
2019-11-30,260.3192952480494,88.66395077313935,178.5362310122564
2019-12-31,276.584447423966,88.60112271249545,179.65712765785136
2020-01-31,177.99585772322752,67.49447970267484,182.3853589654121
2020-02-29,178.59210240241464,91.49228913174603,178.6882446573339
2020-03-31,208.3488462747036,89.99462321966828,180.14814443963664
2020-04-30,208.3488462747036,89.35953997377445,170.05828753465894
2020-05-31,208.3488462747036,84.97382195158664,173.09929669853508
2020-06-30,193.0376478216537,90.6375287581444,174.7069478959852
2020-07-31,178.59210240241464,90.14767775544446,183.7378094137075
2020-08-31,177.99585772322752,71.51223573718335,184.5793166410752
2020-09-30,193.0376478216537,71.09109835360955,180.6971410103402
2020-10-31,177.99585772322752,88.77658834609568,182.3079601623415
2020-11-30,193.0376478216537,90.9798928486194,182.9735063643521
2020-12-31,220.97038636184587,90.65846788220388,177.5361246947448
2021-01-31,177.99585772322752,87.68157042924713,184.606625154188
2021-02-28,193.0376478216537,89.85636183796582,177.870634061958
