indice,A,B,C
2014-01-31,578.5921024024146,446.5661590785613,577.4944984256549
2014-02-28,593.0376478216538,445.44980538328946,585.363365620008
2014-03-31,577.9958577232276,443.8101618185838,577.3741627600893
2014-04-30,608.3488462747036,444.3215111360833,582.2772529940213
2014-05-31,578.5921024024146,444.9116693582202,582.8657627677944
2014-06-30,593.0376478216538,444.024908641192,574.9044130963254
2014-07-31,577.9958577232276,445.1224980082107,579.550510302305
2014-08-31,608.3488462747036,445.78622785847006,582.3079601623415
2014-09-30,578.5921024024146,467.18528082832574,582.3853589654121
2014-10-31,593.0376478216538,467.51641344376014,573.6226136427863
2014-11-30,577.9958577232276,466.8219660463103,577.3790614595409
2014-12-31,608.3488462747036,467.4944797026748,574.6791591071054
2015-01-31,578.5921024024146,471.09109835360954,571.3343865702585
2015-02-28,593.0376478216538,471.51223573718335,576.9842983229842
2015-03-31,577.9958577232276,470.9663140231838,574.798390629238
2015-04-30,608.3488462747036,473.0419802119261,580.6971410103401
2015-05-31,578.5921024024146,479.5938186449851,569.3678819733957
2015-06-30,593.0376478216538,479.2974237644006,578.5362310122564
2015-07-31,577.9958577232276,479.7178348099651,581.8261194218504
2015-08-31,608.3488462747036,479.77785338095055,581.4101934512204
2015-09-30,578.5921024024146,483.07275986428147,576.65065324034
2015-10-31,593.0376478216538,482.2248600651553,579.5968115463631
2015-11-30,577.9958577232276,482.8857673577336,578.6626745246413
2015-12-31,608.3488462747036,483.28024143690556,576.1452067131629
2016-01-31,578.5921024024146,485.1240237276269,576.8268406984487
2016-02-29,593.0376478216538,484.9738219515866,579.0416655008162
2016-03-31,577.9958577232276,486.36883100749765,580.144608439646
2016-04-30,608.3488462747036,484.9690381877019,584.9997224869975
2016-05-31,578.5921024024146,486.0795577686397,579.1718069352438
2016-06-30,593.0376478216538,486.5736525704631,569.7729550516312
2016-07-31,577.9958577232276,486.5866504980053,577.383408170761
2016-08-31,608.3488462747036,488.1444985627614,576.5243149185142
2016-09-30,578.5921024024146,487.7880244342287,574.619424416883
2016-10-31,593.0376478216538,487.27237536006453,573.9941190248628
2016-11-30,577.9958577232276,487.7633972188504,576.490757540527
2016-12-31,608.3488462747036,488.43044729321264,578.2618154760705
2017-01-31,578.5921024024146,487.9772076301416,577.870634061958
2017-02-28,593.0376478216538,487.7965626041989,581.3642939477115
2017-03-31,577.9958577232276,487.6429725690492,575.145135440357
2017-04-30,608.3488462747036,487.8620900508347,581.0179713710481
2017-05-31,578.5921024024146,489.88913831808594,576.3445474949648
2017-06-30,593.0376478216538,488.7800124500059,576.8609703194506
2017-07-31,577.9958577232276,488.34000473739593,589.3212212291112
2017-08-31,608.3488462747036,489.59634885413215,584.2225995988844
2017-09-30,578.5921024024146,489.3595399737744,576.7130101001983
2017-10-31,593.0376478216538,487.78549816826285,583.5257258141589
2017-11-30,577.9958577232276,488.66395077313933,574.3499631787439
2017-12-31,608.3488462747036,487.76702690724403,579.5214811794181
2018-01-31,578.5921024024146,489.77603187386865,579.2264203264042
2018-02-28,593.0376478216538,489.10840588948645,576.2278930245163
2018-03-31,577.9958577232276,490.36907204948324,580.0588296953458
2018-04-30,608.3488462747036,487.68157042924713,573.8333871719835
2018-05-31,578.5921024024146,489.08595792730733,570.0582875346589
2018-06-30,593.0376478216538,490.3283362973494,576.2324982788442
2018-07-31,577.9958577232276,489.6169460504713,577.7092178686321
2018-08-31,608.3488462747036,488.60112271249545,578.7615648524823
2018-09-30,578.5921024024146,489.6469460226474,584.4964558409956
2018-10-31,593.0376478216538,489.8244752807058,582.1071964010691
2018-11-30,577.9958577232276,489.7263735678989,582.835093462304
2018-12-31,608.3488462747036,488.5065045263823,577.7090128794736
2019-01-31,578.5921024024146,490.1476777554445,585.2034695584122
2019-02-28,593.0376478216538,490.5526054348944,579.9323572864323
2019-03-31,577.9958577232276,488.02396027394263,579.1688668072878
2019-04-30,608.3488462747036,490.87538739898474,584.8207812095153
2019-05-31,578.5921024024146,490.65846788220387,575.904910851541
2019-06-30,593.0376478216538,489.9971852137342,582.8288735915999
2019-07-31,577.9958577232276,488.37593891475177,575.7953919037768
2019-08-31,608.3488462747036,489.6845515409398,577.5361246947448
2019-09-30,578.5921024024146,491.8102175189778,577.1622528050583
2019-10-31,593.0376478216538,489.5200163742313,572.9000010408172
2019-11-30,577.9958577232276,490.6375287581444,582.6140444346129
2019-12-31,608.3488462747036,489.99462321966826,581.6232155336792
2020-01-31,578.5921024024146,489.75053721334746,582.3687576135741
2020-02-29,593.0376478216538,489.8929082022263,576.6609887000741
2020-03-31,577.9958577232276,489.09335416059827,573.0992966985351
2020-04-30,608.3488462747036,488.402259747914,576.2206859696137
2020-05-31,578.5921024024146,489.71153693599314,576.3570717544891
2020-06-30,593.0376478216538,490.32940253941285,581.6057859970035
2020-07-31,577.9958577232276,490.72580498971377,585.8291335741468
2020-08-31,608.3488462747036,489.333053357534,575.6644060392596
2020-09-30,668.5877424832645,489.65378423747075,587.0165789565372
2020-10-31,660.02163501936,490.40540316327105,579.7862656061045
2020-11-30,620.9703863618458,489.71200060631384,580.6214769743849
2020-12-31,678.7882296110708,489.30040371787663,583.170052517528
2021-01-31,660.3192952480495,490.1014535212846,577.697813704058
2021-02-28,663.8281622128989,489.93464293572146,584.606625154188
2021-03-31,648.2335716013367,489.50482093655324,580.406176908292
2021-04-30,676.584447423966,488.98082716820954,584.5793166410751
2021-05-31,630.6476805684533,490.83609790232555,581.5033911089541
2021-06-30,652.9582453671985,489.0141780774167,583.3134831081763
2021-07-31,668.5877424832645,489.6369038458453,577.977039030102
2021-08-31,660.02163501936,489.4755407983098,582.973506364352
2021-09-30,620.9703863618458,488.79586009019596,578.6882446573339
2021-10-31,678.7882296110708,488.7922482921408,574.7069478959852
2021-11-30,660.3192952480495,490.9798928486194,581.8563250723153
2021-12-31,663.8281622128989,489.9426811390828,579.0030633210812
2022-01-31,648.2335716013367,490.120607639089,580.1481444396367
2022-02-28,676.584447423966,489.1443331804243,579.0658458099871
2022-03-31,630.6476805684533,490.1569166064544,577.4450063814925
2022-04-30,652.9582453671985,488.77658834609565,574.4661463674828
2022-05-31,668.5877424832645,488.9473349658049,579.7975871301429
2022-06-30,660.02163501936,490.38030770332597,579.8413686829364
2022-07-31,620.9703863618458,491.3424104242103,583.8784535277152
2022-08-31,678.7882296110708,490.0109328388335,576.6089873238676
2022-09-30,660.3192952480495,490.2723370006463,574.7787494065319
2022-10-31,663.8281622128989,488.7770955487176,579.6571276578513
2022-11-30,648.2335716013367,490.82096744015473,577.9202371339942
2022-12-31,676.584447423966,489.85636183796584,575.4305152498574
2023-01-31,630.6476805684533,488.4425827989253,576.4029800940743
2023-02-28,652.9582453671985,489.4646242078087,578.1935528061762
2023-03-31,668.5877424832645,490.8613200654013,582.7321489327378
2023-04-30,660.02163501936,489.7650768040097,585.562473630881
2023-05-31,620.9703863618458,489.1334043442607,578.5792271162234
2023-06-30,678.7882296110708,489.40462361942787,583.7378094137075
2023-07-31,660.3192952480495,491.492289131746,579.271182965261
2023-08-31,663.8281622128989,489.7737169407924,585.9950024661164
2023-09-30,648.2335716013367,489.8006136789348,576.0519206816349
2023-10-31,676.584447423966,490.1602164598298,591.3406624396323
2023-11-30,630.6476805684533,489.956067718153,577.9224127639307
2023-12-31,652.9582453671985,490.0602889794598,576.3294643205791
