indice,Valor
2014-01-01,189
2014-01-02,190
2014-01-03,191
2014-01-04,192
2014-01-05,194
2014-01-06,192
2014-01-07,196
2014-01-08,191
2014-01-09,190
2014-01-10,193
2014-01-11,188
2014-01-12,193
2014-01-13,193
2014-01-14,192
2014-01-15,192
2014-01-16,190
2014-01-17,189
2014-01-18,192
2014-01-19,195
2014-01-20,189
2014-01-21,194
2014-01-22,191
2014-01-23,190
2014-01-24,191
2014-01-25,195
2014-01-26,191
2014-01-27,190
2014-01-28,193
2014-01-29,193
2014-01-30,194
2014-01-31,195
2014-02-01,193
2014-02-02,198
2014-02-03,195
2014-02-04,194
2014-02-05,195
2014-02-06,189
2014-02-07,187
2014-02-08,198
2014-02-09,194
2014-02-10,190
2014-02-11,192
2014-02-12,190
2014-02-13,194
2014-02-14,192
2014-02-15,193
2014-02-16,187
2014-02-17,193
2014-02-18,196
2014-02-19,189
2014-02-20,195
2014-02-21,193
2014-02-22,199
2014-02-23,193
2014-02-24,197
2014-02-25,194
2014-02-26,194
2014-02-27,193
2014-02-28,190
2014-03-01,192
2014-03-02,192
2014-03-03,191
2014-03-04,194
2014-03-05,196
2014-03-06,193
2014-03-07,192
2014-03-08,193
2014-03-09,194
2014-03-10,189
2014-03-11,193
2014-03-12,192
2014-03-13,193
2014-03-14,191
2014-03-15,195
2014-03-16,195
2014-03-17,194
2014-03-18,193
2014-03-19,194
2014-03-20,194
2014-03-21,191
2014-03-22,193
2014-03-23,194
2014-03-24,192
2014-03-25,192
2014-03-26,191
2014-03-27,190
2014-03-28,193
2014-03-29,191
2014-03-30,193
2014-03-31,189
2014-04-01,194
2014-04-02,190
2014-04-03,190
2014-04-04,194
2014-04-05,196
2014-04-06,194
