indice,A,B
2014-01-31,172.46287381018465,56.02780533472399
2014-02-28,202.01955551614105,56.00231744008862
2014-03-31,214.1573943985569,56.10003842169555
2014-04-30,205.73926444967887,56.24553266755299
2014-05-31,172.46287381018465,56.00507068182076
2014-06-30,202.01955551614105,57.53769071519785
2014-07-31,214.1573943985569,57.32550068952774
2014-08-31,205.73926444967887,126.02234761666084
2014-09-30,172.46287381018465,87.57279081073423
2014-10-31,202.01955551614105,56.014434852811426
2014-11-30,214.1573943985569,56.031833012352855
2014-12-31,205.73926444967887,57.44485185940384
2015-01-31,172.46287381018465,56.34617189695462
2015-02-28,202.01955551614105,56.0024275090817
2015-03-31,214.1573943985569,56.01527915846888
2015-04-30,205.73926444967887,56.019815391772866
2015-05-31,172.46287381018465,56.07465000811403
2015-06-30,202.01955551614105,57.71926917045188
2015-07-31,214.1573943985569,63.39219824005126
2015-08-31,205.73926444967887,56.156292109177485
2015-09-30,172.46287381018465,56.34588887079365
2015-10-31,202.01955551614105,56.12757979739705
2015-11-30,214.1573943985569,56.288935225656815
2015-12-31,205.73926444967887,56.19386545954637
2016-01-31,172.46287381018465,56.284875932069426
2016-02-29,202.01955551614105,56.80806766023807
2016-03-31,214.1573943985569,56.00888033006696
2016-04-30,205.73926444967887,56.005423765583075
2016-05-31,172.46287381018465,56.797819328410284
2016-06-30,202.01955551614105,57.46149643495578
2016-07-31,214.1573943985569,56.009530689737794
2016-08-31,205.73926444967887,58.773445453356054
2016-09-30,172.46287381018465,56.05349893454029
2016-10-31,202.01955551614105,56.02428601863164
2016-11-30,214.1573943985569,57.526409342828586
2016-12-31,205.73926444967887,56.07472786625013
2017-01-31,172.46287381018465,58.206523068589604
2017-02-28,202.01955551614105,56.17750688348482
2017-03-31,214.1573943985569,60.52015545439852
2017-04-30,205.73926444967887,57.21348498874304
2017-05-31,172.46287381018465,56.70891674866975
2017-06-30,202.01955551614105,56.026213521692426
2017-07-31,214.1573943985569,56.105320613303334
2017-08-31,205.73926444967887,57.1879605587186
2017-09-30,172.46287381018465,56.037817795214224
2017-10-31,202.01955551614105,56.07598608249333
2017-11-30,214.1573943985569,86.59557493239876
2017-12-31,205.73926444967887,56.057453443578254
2018-01-31,172.46287381018465,56.01764483258647
2018-02-28,202.01955551614105,56.0459379780586
2018-03-31,214.1573943985569,70.5166893138982
2018-04-30,205.73926444967887,56.32792150744841
