indice,A,B,C,D,E
2014-01-31,146.23195077077588,177.0,57.33990672037276,162.85361345773262,249.93598471258397
2014-02-28,142.913825016635,159.0,63.52203949652772,163.22344550368268,249.96629152628236
2014-03-31,139.90106806135995,165.0,58.02461264131227,163.28905496019584,250.71708482639468
2014-04-30,137.21439961757676,150.0,65.96451106821702,163.75781117408658,249.04566542735918
2014-05-31,135.0879916877681,174.0,65.56866057813166,163.05718876289046,249.64997351659017
2014-06-30,133.2870927184828,168.0,67.57517806948522,160.51046393869717,249.42894395400097
2014-07-31,131.8259649666106,177.0,71.4604741007841,162.7293933427241,398.45198646114295
2014-08-31,130.8298368645949,159.0,69.07930949479542,160.60675591860817,399.64225611080167
2014-09-30,130.30047926947157,165.0,72.62018357330876,162.63164806883591,399.2673283369211
2014-10-31,130.11507036556247,150.0,75.8203970340222,161.80173866880102,429.93368544587986
2014-11-30,130.30502071486097,174.0,75.8134143617288,163.3446539506313,429.51516751061433
2014-12-31,130.9124776552486,168.0,69.33924671794053,161.44378930833315,429.1215496268274
2015-01-31,131.83333301739458,177.0,71.13951444427815,162.50810288109298,495.7471285484915
2015-02-28,133.3332631309512,159.0,76.98985623513165,163.77208974142465,495.3631478221444
2015-03-31,135.00634554007902,165.0,75.3291805259716,160.17770113981183,495.11526511640557
2015-04-30,137.3192065010593,150.0,83.9206516520286,162.158052639031,521.592764059095
2015-05-31,139.94109930393915,174.0,84.63411055938052,160.26825464585684,520.9613425351921
2015-06-30,142.91692104200322,168.0,77.12033526186775,160.26012806665906,520.5378617505596
2015-07-31,146.33493622668016,177.0,89.61712049445036,160.93895261986626,552.463928420386
2015-08-31,150.12588348801347,159.0,89.99090970573779,160.35257251218036,552.1029521795906
2015-09-30,154.2038759692286,165.0,82.15428669442717,160.42584661710677,553.0470706864118
2015-10-31,158.93577443723282,150.0,90.47803975991972,162.75171518304342,568.1434994085773
2015-11-30,163.94082855670052,174.0,87.82397530281126,161.94257412484086,567.7990750894952
2015-12-31,169.25979379418223,168.0,88.5225378701185,163.59028674024265,569.3152616725941
2016-01-31,175.03745090817483,177.0,91.61321831237994,162.55059749343334,584.0769120889054
2016-02-29,181.29561096721255,159.0,89.90580073645117,162.16031740362374,584.2586552780575
2016-03-31,187.94662003898958,165.0,104.83030904916394,160.42646710888533,585.5909485235288
2016-04-30,194.94684149877568,150.0,93.34595860397297,163.61695676961756,594.4549465882789
2016-05-31,202.26981923929432,174.0,96.10614210912433,161.74926264384695,594.7130267648793
2016-06-30,210.09894073404007,168.0,103.65879124609909,162.02201679767234,594.3300848942117
2016-07-31,218.26138009751196,177.0,102.42103929127592,162.0025335820242,603.253423488681
2016-08-31,226.80428839420284,159.0,102.07348934413285,163.55984108189764,602.9024104553986
2016-09-30,235.88609744776795,165.0,113.31843178818036,160.54477396794462,602.3382042175181
2016-10-31,245.31103176767022,150.0,115.15329140698495,160.89394534925165,609.0664527699572
2016-11-30,255.08080183568543,174.0,117.31648449766979,163.10446984870728,608.3629592208507
2016-12-31,265.2897828333652,168.0,123.4197122635181,163.34875794583235,607.6338991388362
2017-01-31,275.9225902176804,177.0,118.80438846828861,162.20570688768606,613.8637486727627
2017-02-28,286.8199087442964,159.0,115.12553364113607,162.58296110163033,612.1835688392449
2017-03-31,298.32499384265475,165.0,123.53996174689749,161.39463193700914,612.390456660344
2017-04-30,310.03296665783773,150.0,118.40887888044428,163.9255500025058,616.7023573506151
2017-05-31,322.22532469281083,174.0,130.94528377469248,161.10552363328486,615.2481534559441
2017-06-30,334.8995258092935,168.0,122.83431518068318,162.95776110444513,615.245696226141
2017-07-31,347.8980108200759,177.0,141.43303821703597,163.99359846894137,619.2519871321418
2017-08-31,361.32244552874477,159.0,143.45898117120188,160.58143665996784,617.719538614197
2017-09-30,375.0740830626429,165.0,134.6579541580423,163.84962614168137,618.1038561268635
2017-10-31,389.3044162611908,150.0,139.80118046469062,162.5687718783825,620.7759895316754
2017-11-30,403.88763598352017,174.0,148.19674930044948,161.47810330027227,618.7266320315094
2017-12-31,418.8896392784727,168.0,137.15443095762208,163.5355509292336,618.5075992195025
2018-01-31,434.3373142317885,177.0,160.6822557539613,162.4854889896518,621.5408177323297
2018-02-28,450.1002612506165,159.0,162.70387851240616,161.09655672859628,620.4475350275613
2018-03-31,80.47700918506943,165.0,163.56430273535926,163.79677969157927,621.8341328115062
2018-04-30,80.06567427220845,150.0,157.7630865717029,163.24064469573565,622.6326800209016
2018-05-31,79.54438441765885,174.0,157.0495820870702,161.2488637704442,621.4616561653474
2018-06-30,111.46319431797903,168.0,173.44390857946064,161.97743384964983,622.2980941194312
2018-07-31,113.12377088928427,177.0,164.87062935726925,163.4870143850587,623.6401471483144
2018-08-31,111.51724647717758,159.0,160.11393911702126,163.2588473645066,622.0266404946218
2018-09-30,123.20454445634238,165.0,166.85549947890502,160.60199365521174,623.0104216167668
2018-10-31,125.6591630689175,150.0,183.52906535965445,160.64635867730317,623.7017454002763
2018-11-30,125.07043875953138,174.0,177.84020336476826,160.3177975987426,622.5632519509875
2018-12-31,129.1248548177317,168.0,196.22466969545266,161.24557718998327,623.4208720494664
2019-01-31,129.95098573515145,177.0,184.33131293761954,161.9763675678447,623.6422925500262
2019-02-28,129.62349482156293,159.0,186.17917500578804,161.92103936856049,622.6043923093082
2019-03-31,132.63657747443193,165.0,205.5452901843012,160.5754215162243,623.7761572968044
