indice,A,B,C,D
2014-01-31,196,200.33110161790796,83.90885762441151,185.97926558898695
2014-02-28,194,200.8685388251962,86.43490876190685,180.14119225057905
2014-03-31,197,201.02561634820879,85.19881300072015,197.72499666373616
2014-04-30,194,201.4909952093295,84.52909106284679,181.49161832561853
2014-05-31,194,201.55323271705927,84.95413663471743,182.24354168614764
2014-06-30,195,202.0439088807845,85.80761125969418,186.49312247545498
2014-07-31,194,202.2409002624053,83.94563987838157,182.91371221438362
2014-08-31,196,202.61657852266302,84.57090046175038,180.87704921134593
2014-09-30,196,202.78661136007068,127.52804539625251,183.85628919140794
2014-10-31,194,203.26222603060086,130.23294222180755,181.4805262152853
2014-11-30,197,203.43401410200008,125.40040177716541,182.44970596350848
2014-12-31,194,203.69796454600822,125.92450944351107,184.3441380821951
2015-01-31,194,204.09939686856876,149.00067801017042,180.3445582913971
2015-02-28,195,204.4909475604967,151.13744932216966,181.00369870843568
2015-03-31,194,204.74714517354835,145.86475568546265,186.40459853661423
2015-04-30,196,204.82839947953985,148.17851022049734,184.83458956188875
2015-05-31,196,205.24370414595543,160.993891623478,184.6021610189187
2015-06-30,194,205.40980552100226,161.18104710560706,181.1703469518271
2015-07-31,197,205.74037090712076,158.42830625893592,180.45250490562645
2015-08-31,194,206.20298023902473,158.73897861709378,183.50619250229624
2015-09-30,194,206.5232327882679,163.8273740681933,193.70782179706234
2015-10-31,195,206.6613769737839,166.31081135747922,180.03486532265248
2015-11-30,194,206.99701395638613,163.7551615620906,183.9018969633919
2015-12-31,196,207.45697503247854,164.2365417420091,181.0251577961891
2016-01-31,196,207.63552918133428,167.1758561721428,194.79054317816957
2016-02-29,194,207.94024408862924,169.58283572158993,180.47881156658707
2016-03-31,197,208.18230796717353,166.0473403446081,186.3893691515522
2016-04-30,194,208.54621739092613,165.8045756279004,180.9064626648316
2016-05-31,194,208.9356561947901,166.7731803514788,182.78202249955936
2016-06-30,195,209.1995849672204,168.75342231421868,189.80264173490178
2016-07-31,194,209.36771134095721,165.0342909295481,181.11851714026284
2016-08-31,196,209.70881001289737,167.64432442601444,186.68841780334841
2016-09-30,196,210.0522506165744,169.04204696126308,187.64245618142235
2016-10-31,194,210.2612453957967,168.9232061609013,180.6109788594997
2016-11-30,197,210.5883039704965,166.4779027838447,184.4140781115144
2016-12-31,194,210.87932572847757,168.74292965018728,180.74521814112933
2017-01-31,194,211.3812430411994,168.2209623658604,202.36503796993023
2017-02-28,195,211.68044912694455,167.54018525126008,180.18731779743615
2017-03-31,194,211.99538562556026,167.5995623383864,182.98452868720932
2017-04-30,196,212.12383698323558,168.52061193710048,182.82215847197932
2017-05-31,196,212.39354830971902,168.92788326597102,180.46440269897457
2017-06-30,194,212.7116289274499,168.11133204750726,180.45232040648563
2017-07-31,197,212.96563819853662,168.68138195643482,181.37081515901372
2017-08-31,194,213.30938915903675,167.99538768964058,182.98069739443193
2017-09-30,194,213.5564095150609,168.08368790830357,183.23723064689463
2017-10-31,195,213.83527311384952,167.13315037395242,180.27991531280526
2017-11-30,194,214.24899255651803,168.97927447544689,180.56289557001088
2017-12-31,196,214.5186046370081,168.68645754404153,183.64797528194202
2018-01-31,196,214.77587606946742,168.27145786223048,180.44929945674653
2018-02-28,194,215.1528490702498,167.3383094723532,181.21074682839915
2018-03-31,197,215.52498181258255,170.23979229115102,183.68462659371068
2018-04-30,194,215.69925618283463,169.93549270967424,183.44003744640045
2018-05-31,194,216.02890360064467,171.13819726118322,189.10378909509333
2018-06-30,195,216.41041441154405,167.73361475513005,180.169174812478
2018-07-31,194,216.59900904788196,169.89275849276473,183.33011519602644
2018-08-31,196,216.9564127441001,171.28643266260804,184.02134697040296
2018-09-30,196,217.39368845118585,171.6076052659436,181.05159505154896
2018-10-31,194,217.58579334621842,170.21562057265163,186.17577204068363
2018-11-30,197,217.8834115323266,168.94742489496107,184.51265965593336
2018-12-31,194,218.06248430347486,171.65436131098326,180.66073555421963
2019-01-31,194,230.4768017746372,173.31762069549865,190.62435030499543
2019-02-28,195,224.712983421716,169.86684042301067,180.81921831119075
2019-03-31,194,242.40692855467069,168.60841350998777,187.89585061711009
2019-04-30,196,284.4118380096783,173.9978559485009,182.3346585610378
2019-05-31,196,258.8307110971984,170.8577667075807,181.88538768015817
2019-06-30,194,244.9152930135975,170.31322337371094,181.31349630908076
2019-07-31,197,250.3964430355402,168.35394416687456,181.94642511995156
2019-08-31,194,261.9624895708528,173.72312890355047,180.81096873587205
2019-09-30,194,305.9366115469062,170.28141434602307,184.61938026780606
2019-10-31,195,272.834623635703,168.81469979336367,180.7544064110251
2019-11-30,194,256.024747150168,168.1072096548198,180.25355782808884
2019-12-31,196,253.2846902455228,173.59521627487402,192.8301525192658
2020-01-31,196,254.01217247630618,168.65227124632793,180.45605601602892
2020-02-29,194,275.9351412109341,168.39397609451794,180.86340566600202
2020-03-31,197,220.35091994578534,167.7265855301389,182.9774600148191
2020-04-30,194,230.4768017746372,169.76258130670772,180.1749149226909
2020-05-31,194,224.712983421716,168.09555080289792,193.3464007801931
2020-06-30,195,242.40692855467069,166.93048240271085,182.4189235343855
2020-07-31,194,284.4118380096783,166.45367140354062,182.3768298909867
2020-08-31,196,258.8307110971984,169.20825186156364,184.32427191902286
2020-09-30,196,244.9152930135975,166.37079768706428,180.91505347828522
2020-10-31,194,250.3964430355402,167.18426241537094,181.8834998252437
2020-11-30,197,261.9624895708528,167.5775269421199,182.0955442723717
2020-12-31,194,305.9366115469062,169.25057583791295,182.3051797309868
2021-01-31,194,272.834623635703,166.2170069561433,185.78969841680689
2021-02-28,195,256.024747150168,167.22830727347252,183.00544982849692
2021-03-31,194,253.2846902455228,167.4372620346711,193.83291297459044
2021-04-30,196,254.01217247630618,170.81009310585324,184.50518858257635
2021-05-31,196,275.9351412109341,165.8987349739432,184.37355975870872
2021-06-30,194,220.35091994578534,167.3287729321929,180.7220676885196
2021-07-31,197,230.4768017746372,168.57606479367112,189.75660530925026
2021-08-31,194,224.712983421716,169.67417363544578,181.51150312230084
2021-09-30,194,242.40692855467069,165.76846708166727,180.5470112493181
2021-10-31,195,284.4118380096783,166.48800318013008,180.36807761499142
2021-11-30,194,258.8307110971984,168.28166024760543,180.60127166178893
2021-12-31,196,244.9152930135975,170.24597079666506,186.34925313310632
2022-01-31,196,250.3964430355402,165.8313535456499,181.186483859243
2022-02-28,194,261.9624895708528,165.301052861574,196.06296146168938
2022-03-31,197,305.9366115469062,168.1341435743687,182.15326806349088
2022-04-30,194,272.834623635703,170.46237309390418,185.08200305287772
2022-05-31,194,256.024747150168,166.57124546083867,188.26776858595113
2022-06-30,195,253.2846902455228,167.2729134772707,189.4370878932637
2022-07-31,194,254.01217247630618,166.18134739318555,180.126739842478
2022-08-31,196,275.9351412109341,170.57164689497736,180.9551210389735
2022-09-30,196,220.35091994578534,167.8997177106661,180.39066947445298
2022-10-31,194,230.4768017746372,168.50999848913906,181.71135440944872
2022-11-30,197,224.712983421716,166.69508218850794,180.3080936093433
2022-12-31,194,242.40692855467069,170.2518734426946,191.6631085946052
2023-01-31,194,284.4118380096783,166.5239303757138,184.05037749525977
2023-02-28,195,258.8307110971984,169.6948902340599,182.1459959082865
2023-03-31,194,244.9152930135975,167.06690793751375,183.83197429510284
2023-04-30,196,250.3964430355402,171.1550917924912,180.519302821157
2023-05-31,196,261.9624895708528,165.62122683895396,182.4784865247567
2023-06-30,194,305.9366115469062,168.75569468433957,197.33033577638042
2023-07-31,197,272.834623635703,169.93768913132857,182.15914850580174
2023-08-31,194,256.024747150168,172.46804196403014,183.01180115126095
2023-09-30,194,253.2846902455228,165.33512718812918,181.10738203919036
2023-10-31,195,254.01217247630618,167.1501493900462,180.3460385988632
2023-11-30,194,275.9351412109341,172.1050504054496,180.97436740267443
2023-12-31,196,220.35091994578534,172.484250418313,180.1042954368307
