indice,A,B,C,Target
2014-01-31,200.5655061518796,183,249.33416631775572,-43.55917401303469
2014-02-28,200.74942238165212,184,250.3979463378664,-44.433588198605264
2014-03-31,201.17214036908075,183,251.03598639500356,-44.654359873081404
2014-04-30,201.25882070372296,183,250.0050433425918,-43.53673648602742
2014-05-31,201.58296388215973,184,249.2546363125367,-42.45673667276796
2014-06-30,202.02643350683937,186,250.76541085485505,-43.51323067430249
2014-07-31,202.3329616102357,182,398.5435852965733,-191.0066169992608
2014-08-31,202.66637619474304,182,400.64973339062607,-192.77935050880623
2014-09-30,202.720784590608,183,401.11246372907726,-193.18219298562786
2014-10-31,203.1950688845914,184,429.09009802177815,-220.68009337957776
2014-11-30,203.58947358298056,184,430.6647859439972,-221.86037660340762
2014-12-31,203.6933125756807,181,430.6626856009351,-221.7708759939886
2015-01-31,203.90887513404687,181,495.0430168020101,-285.93564463669736
2015-02-28,204.4754040232597,185,497.1389368104075,-287.44317696206946
2015-03-31,204.56358160969407,183,496.05512678544255,-286.28205902290705
2015-04-30,204.87101974985907,185,521.1805280370293,-311.0891524620919
2015-05-31,205.1659328057809,185,521.0304459215916,-310.64415729073244
2015-06-30,205.6082469786974,184,520.3228806166777,-309.4996978803713
2015-07-31,205.70080035902663,187,552.5882809941476,-341.6563720182663
2015-08-31,206.03408685886524,183,553.6109522354615,-342.3673792237548
2015-09-30,206.49194189782375,182,552.7614779950001,-341.06552941009954
2015-10-31,206.6285469134428,182,568.6711176690662,-356.83856406854665
2015-11-30,207.1752501417138,182,569.0467944945307,-356.66753766574004
2015-12-31,207.2398909476601,184,569.5446054865167,-357.0897787812477
2016-01-31,207.7717849611329,184,584.6865681803442,-371.6998474616023
2016-02-29,208.0812732612669,182,583.8659241838534,-370.5806442355097
2016-03-31,208.3790490816264,183,585.4937824798681,-371.90524724540023
2016-04-30,208.5158959996084,187,594.2802516889103,-380.53324707244735
2016-05-31,208.94635774221652,185,593.548027333469,-379.3813137661742
2016-06-30,209.14883822941172,182,594.0768859571976,-379.72404104070915
2016-07-31,209.34529694046523,184,601.957964354982,-387.39773165690775
2016-08-31,209.79978974394987,184,601.7117268357869,-386.697001334228
2016-09-30,210.0572699489398,181,602.9060207866447,-387.6502538064391
2016-10-31,210.48337096453224,184,607.8415354411874,-392.14322871904614
2016-11-30,210.6202016268364,183,608.3993734637319,-392.56968568405404
2016-12-31,210.9955977229432,182,609.1405151230431,-392.9409107130231
2017-01-31,211.3592487224001,184,612.1434088040029,-395.5692243239938
2017-02-28,211.5108798831385,186,613.337540603143,-396.60091404629134
2017-03-31,211.96390816296676,183,612.9988580753087,-395.8254637595005
2017-04-30,212.11472660896197,183,615.6447529308958,-398.32054016909245
2017-05-31,212.50368942205415,180,616.6272535521165,-398.93060727917214
2017-06-30,212.60823077030008,184,615.4319244457046,-397.6087579177955
2017-07-31,212.9094180465149,184,615.9121650197828,-397.78781121565896
2017-08-31,213.3343756875524,184,618.2871188463942,-399.73780740123277
2017-09-30,213.7739029948125,185,617.8782392079108,-398.88398038802006
2017-10-31,213.89307857571973,181,618.3729653742323,-399.28138976724676
2017-11-30,214.11810286862664,182,618.5379637014915,-399.2158541457881
2017-12-31,214.59024143864136,185,619.8643412930339,-400.05374402931426
2018-01-31,214.9047159892252,184,620.3363187072712,-400.216666960437
2018-02-28,215.21814125020003,181,621.3008150379393,-400.88417675647344
2018-03-31,215.37905896524128,182,621.8050495151559,-401.2219838628379
2018-04-30,215.8405059230835,183,619.9491082501004,-398.89911617417545
2018-05-31,216.16056594756603,182,621.7109377794643,-400.34636514482145
2018-06-30,216.25812967842367,180,622.7474628468941,-401.2963763175802
2018-07-31,216.6748824563407,184,621.3114559899196,-399.42163777596994
2018-08-31,216.95720539864556,184,622.3451988313097,-400.1730576750552
2018-09-30,217.13156136623584,182,622.5335573272474,-400.1979892739348
2018-10-31,217.6867536000768,183,622.4992612511094,-399.60302149819114
2018-11-30,217.9800398750102,182,622.9191754140066,-399.7351288519196
2018-12-31,218.09662179111905,182,623.5334986672498,-400.2328701890539
2019-01-31,218.55600468156388,185,622.737673870747,-398.96131336410485
2019-02-28,218.8190030804137,186,624.4655529084207,-400.4208031542938
2019-03-31,219.02456854676373,182,622.652025047176,-398.42344981333554
2019-04-30,219.42268766945787,183,624.2248031507521,-399.5926293284528
2019-05-31,219.6520585768748,185,625.1090810764897,-400.2366666745366
2019-06-30,220.036699056351,182,624.7062953539389,-399.4655896105111
2019-07-31,220.2968166472237,184,624.1826633979974,-398.67091099316474
2019-08-31,220.63781651538883,188,624.9320515881805,-399.05779310996166
2019-09-30,220.84125525798157,186,623.8934942071866,-397.8264922754918
2019-10-31,221.133580796135,181,625.0866979409496,-398.75462011354887
2019-11-30,221.59318882333903,183,624.5811835576233,-397.7785085814428
2019-12-31,221.68208533847337,180,625.3142888050666,-398.439246615703
2020-01-31,221.94640622775665,187,624.4420911373898,-397.26457629277854
2020-02-29,222.4972552302416,185,624.3010164996931,-396.58340544437317
2020-03-31,222.7988852255044,181,624.9289942577481,-396.93161200097785
