indice,A,B,C,Target
2014-01-31,200.5655061518796,183,249.33416631775572,952.8338387873911
2014-02-28,200.74942238165212,184,250.3979463378664,954.3453150573848
2014-03-31,201.17214036908075,183,251.03598639500356,956.844113159088
2014-04-30,201.25882070372296,183,250.0050433425918,954.8689073889066
2014-05-31,201.58296388215973,184,249.2546363125367,952.8922365072331
2014-06-30,202.02643350683937,186,250.76541085485505,954.7572552165494
2014-07-31,202.3329616102357,182,398.5435852965733,1253.8201322033824
2014-08-31,202.66637619474304,182,400.64973339062607,1258.3658429759953
2014-09-30,202.720784590608,183,401.11246372907726,1258.5457120487627
2014-10-31,203.1950688845914,184,429.09009802177815,1314.1752649281475
2014-11-30,203.58947358298056,184,430.6647859439972,1317.7190454709748
2014-12-31,203.6933125756807,181,430.6626856009351,1320.218683777551
2015-01-31,203.90887513404687,181,495.0430168020101,1449.194908738067
2015-02-28,204.4754040232597,185,497.1389368104075,1450.7532776440746
2015-03-31,204.56358160969407,183,496.05512678544255,1450.2738351805792
2015-04-30,204.87101974985907,185,521.1805280370293,1499.2320758239175
2015-05-31,205.1659328057809,185,521.0304459215916,1499.2268246489643
2015-06-30,205.6082469786974,184,520.3228806166777,1499.0540082120528
2015-07-31,205.70080035902663,187,552.5882809941476,1561.2773623473217
2015-08-31,206.03408685886524,183,553.6109522354615,1566.8559913297881
2015-09-30,206.49194189782375,182,552.7614779950001,1566.4148978878238
2015-10-31,206.6285469134428,182,568.6711176690662,1598.3707822515753
2015-11-30,207.1752501417138,182,569.0467944945307,1599.6688391307753
2015-12-31,207.2398909476601,184,569.5446054865167,1599.1291019206935
2016-01-31,207.7717849611329,184,584.6865681803442,1629.9449213218213
2016-02-29,208.0812732612669,182,583.8659241838534,1630.2131216289736
2016-03-31,208.3790490816264,183,585.4937824798681,1632.9666140413624
2016-04-30,208.5158959996084,187,594.2802516889103,1647.476399377429
2016-05-31,208.94635774221652,185,593.548027333469,1648.0424124091546
2016-06-30,209.14883822941172,182,594.0768859571976,1651.7026101438069
2016-07-31,209.34529694046523,184,601.957964354982,1666.0612256504292
2016-08-31,209.79978974394987,184,601.7117268357869,1666.0232434155237
2016-09-30,210.0572699489398,181,602.9060207866447,1671.0693115222293
2016-10-31,210.48337096453224,184,607.8415354411874,1678.966441846907
2016-11-30,210.6202016268364,183,608.3993734637319,1681.0189485543
2016-12-31,210.9955977229432,182,609.1405151230431,1683.6766279690294
2017-01-31,211.3592487224001,184,612.1434088040029,1688.4460663304058
2017-02-28,211.5108798831385,186,613.337540603143,1689.3859610894244
2017-03-31,211.96390816296676,183,612.9988580753087,1691.5616243135842
2017-04-30,212.11472660896197,183,615.6447529308958,1697.0042324707538
2017-05-31,212.50368942205415,180,616.6272535521165,1701.758196526287
2017-06-30,212.60823077030008,184,615.4319244457046,1696.272079661709
2017-07-31,212.9094180465149,184,615.9121650197828,1697.5337480860805
2017-08-31,213.3343756875524,184,618.2871188463942,1702.7086133803407
2017-09-30,213.7739029948125,185,617.8782392079108,1701.5303814106342
2017-10-31,213.89307857571973,181,618.3729653742323,1705.8390093241844
2017-11-30,214.11810286862664,182,618.5379637014915,1705.5940302716099
2017-12-31,214.59024143864136,185,619.8643412930339,1706.3189240247093
2018-01-31,214.9047159892252,184,620.3363187072712,1708.3773534037675
2018-02-28,215.21814125020003,181,621.3008150379393,1713.0197713260786
2018-03-31,215.37905896524128,182,621.8050495151559,1713.389157995553
2018-04-30,215.8405059230835,183,619.9491082501004,1709.3387224232843
2018-05-31,216.16056594756603,182,621.7109377794643,1713.9824415064945
2018-06-30,216.25812967842367,180,622.7474628468941,1717.7530553722117
2018-07-31,216.6748824563407,184,621.3114559899196,1712.0977944361798
2018-08-31,216.95720539864556,184,622.3451988313097,1714.447603061265
2018-09-30,217.13156136623584,182,622.5335573272474,1716.5986760207306
2018-10-31,217.6867536000768,183,622.4992612511094,1716.2852761022955
2018-11-30,217.9800398750102,182,622.9191754140066,1718.2183907030235
2018-12-31,218.09662179111905,182,623.5334986672498,1719.5636191256185
2019-01-31,218.55600468156388,185,622.737673870747,1716.0313524230578
2019-02-28,218.8190030804137,186,624.4655529084207,1718.9501088972552
2019-03-31,219.02456854676373,182,622.652025047176,1718.7286186411156
2019-04-30,219.42268766945787,183,624.2248031507521,1721.4722939709623
2019-05-31,219.6520585768748,185,625.1090810764897,1721.8702207298543
2019-06-30,220.036699056351,182,624.7062953539389,1723.8492897642288
2019-07-31,220.2968166472237,184,624.1826633979974,1721.4621434432186
2019-08-31,220.63781651538883,188,624.9320515881805,1720.1019196917498
2019-09-30,220.84125525798157,186,623.8934942071866,1719.8282436723548
2019-10-31,221.133580796135,181,625.0866979409496,1726.5069766780343
2019-11-30,221.59318882333903,183,624.5811835576233,1724.3555559385854
2019-12-31,221.68208533847337,180,625.3142888050666,1728.3106629486065
2020-01-31,221.94640622775665,187,624.4420911373898,1721.2305885025362
2020-02-29,222.4972552302416,185,624.3010164996931,1723.0992882296277
2020-03-31,222.7988852255044,181,624.9289942577481,1727.8568737410005
2020-04-30,222.8389732562383,185,624.108610072817,1723.0561934018724
2020-05-31,223.27952497958188,184,625.5335908311247,1727.1467066418313
2020-06-30,223.6031341989003,185,625.1826066740266,1725.9683475469535
2020-07-31,223.93065633600395,182,625.5249608218679,1729.3805779797399
2020-08-31,224.1578681241309,181,624.9171757625579,1729.1922196492467
2020-09-30,224.4290909191865,181,623.7395899034422,1727.1082707260707
2020-10-31,224.8311548875759,183,625.1109650861895,1728.6530850599547
2020-11-30,225.0745161136396,181,626.169021042563,1732.6125581987656
2020-12-31,225.4790584234567,184,624.9739669436848,1728.2269923108263
2021-01-31,225.64146441706237,185,625.6716686843589,1728.9848017857803
2021-02-28,226.0267073713333,184,624.4623098369727,1727.7513270452787
2021-03-31,226.2314024055374,182,624.3414184398753,1729.3142392852878
2021-04-30,226.55388706056493,187,624.8935161894822,1726.740919439529
2021-05-31,226.81189441823,181,624.8861133005059,1731.7841210192419
2021-06-30,227.0574459616191,187,625.4904874088974,1728.4384207794137
2021-07-31,227.53828671084767,185,625.1451389886892,1729.828564688226
2021-08-31,227.84630464662084,187,624.216719700112,1726.679744046845
2021-09-30,227.94290100757945,183,625.1190027994511,1731.7809066064815
2021-10-31,228.4625001893376,181,625.4702760536292,1734.603052296596
2021-11-30,228.54746627122765,183,625.0045344650728,1732.1565352013731
2021-12-31,228.9938563232651,182,625.3874070751109,1734.168670473487
2022-01-31,229.12809379237052,182,625.0313404668614,1733.590774726093
2022-02-28,229.42616963010383,185,624.1371146167294,1729.7003988635624
2022-03-31,229.77605413079945,183,625.8149445445212,1735.0059432198418
2022-04-30,230.09676849144307,185,624.8024369883865,1731.701642468216
2022-05-31,230.5547683034236,183,624.7320363834323,1733.618841070288
2022-06-30,230.82019887039988,185,626.2373542891834,1735.2949074487665
2022-07-31,231.15012138929063,186,624.5087184421174,1731.3675582735254
2022-08-31,231.2763640263651,188,624.4404528600093,1729.7572697463836
2022-09-30,231.57160612611727,184,624.3734226465031,1733.1184514191234
2022-10-31,231.92413513813784,184,624.0443257079874,1732.8127865541126
2022-11-30,232.28853294733844,183,624.6370773750665,1735.1626876974715
2022-12-31,232.5484450721121,185,625.0784954147684,1734.705435901649
2023-01-31,232.8704000569604,182,623.7672958834011,1734.8049918237625
2023-02-28,233.2578025790556,185,625.204604789091,1735.6670121572377
2023-03-31,233.44107681873652,184,624.5052406871895,1735.2515581931154
2023-04-30,233.83016922937009,181,624.848187147162,1738.726543523694
2023-05-31,233.9359693005491,182,625.5902835336759,1739.516536367901
2023-06-30,234.3164863512852,183,624.5895832175082,1737.0956527863018
2023-07-31,234.69250920702268,183,624.7290973455723,1737.7507038981673
2023-08-31,234.87618322981,183,626.7220185878167,1741.9202204054436
2023-09-30,235.1858441325015,183,624.1310252046723,1737.047894541846
2023-10-31,235.4097998859376,184,625.3158135571615,1738.8414270002604
2023-11-30,235.8197717452623,181,625.4753967545768,1741.9705652544158
2023-12-31,236.0968392512539,180,624.987704937245,1742.0722491257438
2024-01-31,236.45644250165287,183,625.1354187425176,1740.3272799866882
2024-02-29,236.84871454800404,180,626.5292009521373,1745.9071164522788
2024-03-31,237.13801136636064,184,624.4961641035472,1738.930339573455
2024-04-30,237.3082715247325,183,625.4573763391786,1741.8230242030897
2024-05-31,237.71123779484407,185,625.3647934630917,1740.4408247210274
