indice,Valor,Target
2014-01-31,689.2286157424619,-223699109003.84702
2014-02-28,603.8800024440446,-131666958878.86076
2014-03-31,630.0687886381888,-156101224506.83246
2014-04-30,666.1489621239783,-195148359717.97552
2014-05-31,659.0445362653679,-186937391946.20795
2014-06-30,599.6369695611121,-127996215447.23361
2014-07-31,639.1108587270969,-165279129768.46964
2014-08-31,657.5094962503102,-185197862192.55057
2014-09-30,662.2512292843593,-190610775563.86285
2014-10-31,671.5201031678824,-201533378607.81183
2014-11-30,650.0395763635945,-176905482972.83517
2014-12-31,632.214999073581,-158244174034.85724
2015-01-31,689.2286157424619,-223699109003.84702
2015-02-28,603.8800024440446,-131666958878.86076
2015-03-31,630.0687886381888,-156101224506.83246
2015-04-30,666.1489621239783,-195148359717.97552
2015-05-31,659.0445362653679,-186937391946.20795
2015-06-30,599.6369695611121,-127996215447.23361
2015-07-31,639.1108587270969,-165279129768.46964
2015-08-31,657.5094962503102,-185197862192.55057
2015-09-30,662.2512292843593,-190610775563.86285
2015-10-31,671.5201031678824,-201533378607.81183
2015-11-30,650.0395763635945,-176905482972.83517
2015-12-31,632.214999073581,-158244174034.85724
2016-01-31,689.2286157424619,-223699109003.84702
2016-02-29,603.8800024440446,-131666958878.86076
2016-03-31,630.0687886381888,-156101224506.83246
2016-04-30,666.1489621239783,-195148359717.97552
2016-05-31,659.0445362653679,-186937391946.20795
2016-06-30,599.6369695611121,-127996215447.23361
2016-07-31,639.1108587270969,-165279129768.46964
2016-08-31,657.5094962503102,-185197862192.55057
2016-09-30,662.2512292843593,-190610775563.86285
2016-10-31,671.5201031678824,-201533378607.81183
2016-11-30,650.0395763635945,-176905482972.83517
2016-12-31,632.214999073581,-158244174034.85724
2017-01-31,689.2286157424619,-223699109003.84702
2017-02-28,603.8800024440446,-131666958878.86076
2017-03-31,630.0687886381888,-156101224506.83246
2017-04-30,666.1489621239783,-195148359717.97552
2017-05-31,659.0445362653679,-186937391946.20795
2017-06-30,599.6369695611121,-127996215447.23361
2017-07-31,639.1108587270969,-165279129768.46964
2017-08-31,657.5094962503102,-185197862192.55057
2017-09-30,662.2512292843593,-190610775563.86285
2017-10-31,671.5201031678824,-201533378607.81183
2017-11-30,650.0395763635945,-176905482972.83517
2017-12-31,632.214999073581,-158244174034.85724
2018-01-31,689.2286157424619,-223699109003.84702
2018-02-28,603.8800024440446,-131666958878.86076
2018-03-31,630.0687886381888,-156101224506.83246
2018-04-30,666.1489621239783,-195148359717.97552
2018-05-31,659.0445362653679,-186937391946.20795
2018-06-30,599.6369695611121,-127996215447.23361
2018-07-31,639.1108587270969,-165279129768.46964
2018-08-31,657.5094962503102,-185197862192.55057
2018-09-30,662.2512292843593,-190610775563.86285
2018-10-31,671.5201031678824,-201533378607.81183
2018-11-30,650.0395763635945,-176905482972.83517
2018-12-31,632.214999073581,-158244174034.85724
2019-01-31,689.2286157424619,-223699109003.84702
2019-02-28,603.8800024440446,-131666958878.86076
2019-03-31,630.0687886381888,-156101224506.83246
2019-04-30,666.1489621239783,-195148359717.97552
2019-05-31,659.0445362653679,-186937391946.20795
2019-06-30,599.6369695611121,-127996215447.23361
2019-07-31,639.1108587270969,-165279129768.46964
2019-08-31,657.5094962503102,-185197862192.55057
2019-09-30,662.2512292843593,-190610775563.86285
2019-10-31,671.5201031678824,-201533378607.81183
2019-11-30,650.0395763635945,-176905482972.83517
2019-12-31,632.214999073581,-158244174034.85724
2020-01-31,689.2286157424619,-223699109003.84702
2020-02-29,603.8800024440446,-131666958878.86076
2020-03-31,630.0687886381888,-156101224506.83246
2020-04-30,666.1489621239783,-195148359717.97552
2020-05-31,659.0445362653679,-186937391946.20795
2020-06-30,599.6369695611121,-127996215447.23361
2020-07-31,639.1108587270969,-165279129768.46964
2020-08-31,657.5094962503102,-185197862192.55057
2020-09-30,662.2512292843593,-190610775563.86285
2020-10-31,671.5201031678824,-201533378607.81183
2020-11-30,650.0395763635945,-176905482972.83517
2020-12-31,632.214999073581,-158244174034.85724
2021-01-31,689.2286157424619,-223699109003.84702
2021-02-28,603.8800024440446,-131666958878.86076
2021-03-31,630.0687886381888,-156101224506.83246
2021-04-30,666.1489621239783,-195148359717.97552
2021-05-31,659.0445362653679,-186937391946.20795
2021-06-30,599.6369695611121,-127996215447.23361
2021-07-31,639.1108587270969,-165279129768.46964
2021-08-31,657.5094962503102,-185197862192.55057
2021-09-30,662.2512292843593,-190610775563.86285
2021-10-31,671.5201031678824,-201533378607.81183
2021-11-30,650.0395763635945,-176905482972.83517
2021-12-31,632.214999073581,-158244174034.85724
