indice,Valor
2014-01-01,146.25065871381992
2014-01-02,142.8124975374208
2014-01-03,139.85181091889328
2014-01-04,137.2078252373975
2014-01-05,135.03875495630462
2014-01-06,133.3358920563319
2014-01-07,131.91753154134435
2014-01-08,130.9153668785017
2014-01-09,130.3454363834677
2014-01-10,130.0945773465964
2014-01-11,130.3234677787849
2014-01-12,130.82268947122986
2014-01-13,131.9257885472157
2014-01-14,133.22288776847867
2014-01-15,135.11941492011016
2014-01-16,137.26755491809215
2014-01-17,139.82047786108967
2014-01-18,142.94911274820026
2014-01-19,146.3108733932791
2014-01-20,150.0865505361611
2014-01-21,154.20825516195495
2014-01-22,158.8909264383012
2014-01-23,163.89047933637127
2014-01-24,169.33774512447147
2014-01-25,175.14667308368547
2014-01-26,181.2162210751262
2014-01-27,187.9429507022054
2014-01-28,194.9215093053599
2014-01-29,202.2166081774184
2014-01-30,210.04351059380232
2014-01-31,218.33153554790988
2014-02-01,226.94503715659218
2014-02-02,235.80180640740772
2014-02-03,245.30611150035884
2014-02-04,255.0586237828171
2014-02-05,265.30944646663255
2014-02-06,275.860501096367
2014-02-07,286.8478484728525
2014-02-08,298.30066071637134
2014-02-09,310.14831907404306
2014-02-10,213.0
2014-02-11,209.0
2014-02-12,211.0
2014-02-13,210.0
2014-02-14,209.0
2014-02-15,213.0
2014-02-16,214.0
2014-02-17,214.0
2014-02-18,215.0
2014-02-19,214.0
2014-02-20,210.0
2014-02-21,216.0
2014-02-22,211.0
2014-02-23,211.0
2014-02-24,211.0
2014-02-25,208.0
2014-02-26,213.0
2014-02-27,208.0
2014-02-28,209.0
2014-03-01,211.0
2014-03-02,213.0
2014-03-03,213.0
2014-03-04,212.0
2014-03-05,214.0
2014-03-06,212.0
2014-03-07,212.0
2014-03-08,212.0
2014-03-09,211.0
2014-03-10,213.0
2014-03-11,214.0
2014-03-12,216.0
2014-03-13,213.0
2014-03-14,209.0
2014-03-15,211.0
2014-03-16,213.0
2014-03-17,212.0
2014-03-18,215.0
2014-03-19,212.0
2014-03-20,213.0
2014-03-21,213.0
2014-03-22,212.0
2014-03-23,210.0
2014-03-24,210.0
2014-03-25,212.0
2014-03-26,212.0
2014-03-27,214.0
2014-03-28,212.0
2014-03-29,217.0
2014-03-30,213.0
2014-03-31,210.0
2014-04-01,208.0
2014-04-02,211.0
2014-04-03,214.0
2014-04-04,213.0
2014-04-05,213.0
2014-04-06,208.0
