indice,Valor
2014-01-01,97
2014-01-02,97
2014-01-03,97
2014-01-04,98
2014-01-05,99
2014-01-06,99
2014-01-07,97
2014-01-08,99
2014-01-09,94
2014-01-10,95
2014-01-11,95
2014-01-12,96
2014-01-13,96
2014-01-14,101
2014-01-15,100
2014-01-16,100
2014-01-17,97
2014-01-18,96
2014-01-19,97
2014-01-20,95
2014-01-21,95
2014-01-22,95
2014-01-23,100
2014-01-24,94
2014-01-25,97
2014-01-26,100
2014-01-27,96
2014-01-28,99
2014-01-29,94
2014-01-30,101
2014-01-31,100
2014-02-01,99
2014-02-02,96
2014-02-03,97
2014-02-04,96
2014-02-05,97
2014-02-06,97
2014-02-07,94
2014-02-08,99
2014-02-09,98
2014-02-10,97
2014-02-11,97
2014-02-12,96
2014-02-13,96
2014-02-14,95
2014-02-15,96
2014-02-16,96
2014-02-17,101
2014-02-18,97
2014-02-19,95
2014-02-20,96
2014-02-21,96
2014-02-22,98
2014-02-23,95
2014-02-24,97
2014-02-25,100
2014-02-26,97
2014-02-27,101
2014-02-28,98
2014-03-01,99
2014-03-02,98
2014-03-03,100
2014-03-04,97
2014-03-05,99
2014-03-06,97
2014-03-07,100
2014-03-08,97
2014-03-09,96
2014-03-10,102
2014-03-11,98
2014-03-12,98
2014-03-13,98
2014-03-14,100
2014-03-15,98
2014-03-16,98
2014-03-17,96
2014-03-18,98
2014-03-19,95
2014-03-20,96
2014-03-21,94
2014-03-22,98
2014-03-23,96
2014-03-24,98
2014-03-25,98
2014-03-26,95
2014-03-27,97
2014-03-28,99
2014-03-29,97
2014-03-30,98
2014-03-31,95
2014-04-01,95
2014-04-02,99
2014-04-03,96
2014-04-04,98
2014-04-05,99
2014-04-06,98
