indice,Valor
2014-01-31,90
2014-02-28,96
2014-03-31,96
2014-04-30,91
2014-05-31,92
2014-06-30,94
2014-07-31,97
2014-08-31,93
2014-09-30,92
2014-10-31,94
2014-11-30,93
2014-12-31,98
2015-01-31,93
2015-02-28,92
2015-03-31,94
2015-04-30,93
2015-05-31,97
2015-06-30,95
2015-07-31,94
2015-08-31,93
2015-09-30,95
2015-10-31,93
2015-11-30,95
2015-12-31,96
2016-01-31,93
2016-02-29,97
2016-03-31,95
2016-04-30,94
2016-05-31,92
2016-06-30,97
2016-07-31,92
2016-08-31,94
2016-09-30,98
2016-10-31,94
2016-11-30,99
2016-12-31,93
2017-01-31,100
2017-02-28,96
2017-03-31,93
2017-04-30,96
2017-05-31,98
2017-06-30,95
2017-07-31,93
2017-08-31,95
2017-09-30,92
2017-10-31,91
2017-11-30,92
2017-12-31,95
2018-01-31,96
2018-02-28,93
2018-03-31,93
2018-04-30,94
2018-05-31,93
2018-06-30,92
2018-07-31,96
2018-08-31,96
2018-09-30,95
2018-10-31,91
2018-11-30,94
2018-12-31,94
2019-01-31,93
2019-02-28,94
2019-03-31,98
2019-04-30,95
2019-05-31,94
2019-06-30,94
2019-07-31,97
2019-08-31,93
2019-09-30,94
2019-10-31,97
2019-11-30,96
2019-12-31,97
2020-01-31,95
2020-02-29,94
2020-03-31,93
2020-04-30,94
2020-05-31,95
2020-06-30,94
2020-07-31,93
2020-08-31,97
2020-09-30,91
2020-10-31,95
2020-11-30,98
2020-12-31,95
2021-01-31,97
2021-02-28,96
2021-03-31,98
2021-04-30,95
2021-05-31,97
2021-06-30,95
2021-07-31,95
2021-08-31,96
2021-09-30,96
2021-10-31,91
2021-11-30,95
2021-12-31,93
2022-01-31,94
2022-02-28,93
2022-03-31,93
2022-04-30,92
2022-05-31,94
2022-06-30,93
2022-07-31,93
2022-08-31,93
2022-09-30,96
2022-10-31,93
2022-11-30,98
2022-12-31,100
2023-01-31,95
2023-02-28,93
2023-03-31,93
2023-04-30,96
2023-05-31,97
2023-06-30,92
2023-07-31,96
2023-08-31,93
2023-09-30,92
2023-10-31,94
2023-11-30,96
2023-12-31,96
