indice,A,B,C,D
2014-01-31,154.8699284237282,196,146.30293904620197,6.0981080730070385
2014-02-28,155.97818919375484,194,142.86413301659562,5.462640002316879
2014-03-31,154.18720524469992,194,139.8592059934882,4.799651289760053
2014-04-30,151.1150468382152,194,137.28586150023557,4.521115458341133
2014-05-31,154.01840258245704,196,135.10699976166504,6.037240044117082
2014-06-30,152.04790240896574,195,133.33275291546704,7.592172525382969
2014-07-31,151.66631178940497,194,131.91599289047707,6.434393858206516
2014-08-31,150.25306044159447,194,130.92914076034594,4.853097097147533
2014-09-30,160.01529880361048,195,130.23749743075555,3.46271095970447
2014-10-31,163.2556198915586,195,130.10848609299748,4.874831208814189
2014-11-30,154.13363821539755,194,130.24042611837066,5.091300597120102
2014-12-31,150.2006084109647,194,130.861193964855,5.467194274204831
2015-01-31,151.06320393762937,198,131.88968268083477,9.065867697324983
2015-02-28,151.5563331852733,194,133.2022711479143,8.801451414986422
2015-03-31,152.90408556217827,196,135.10924027361114,10.310597421490515
2015-04-30,160.37565877312343,196,137.2726681362905,9.772018505145928
2015-05-31,157.24008335208964,194,139.81149124027505,7.530865481564757
2015-06-30,155.93064626927227,194,142.8748121777775,7.471233850673988
2015-07-31,152.11715371131828,194,146.23797608306853,12.345078297975832
2015-08-31,153.35472180365204,196,150.02749879278213,14.477447209361006
2015-09-30,150.80132832766964,195,154.251117335364,17.317319908200854
2015-10-31,153.30846709513244,194,158.88053556014796,16.465876044842457
2015-11-30,151.02782794259468,194,163.9095990313655,13.260631684146073
2015-12-31,154.5808569495401,195,169.21745220426715,13.247597372644544
2016-01-31,150.41761077146117,195,175.02062241369273,18.665737553293592
2016-02-29,173.49415586998336,194,181.26030309127245,22.05932678989829
2016-03-31,151.64187467264702,194,187.9489917801469,23.268781100906043
2016-04-30,150.40344402018633,198,194.84515324506035,21.849135642850825
2016-05-31,154.82386257354634,194,202.325752248079,20.188403306057417
2016-06-30,154.79390217178081,196,210.12854504518955,17.848648974059998
2016-07-31,150.96936951469525,196,218.2649788512203,25.4130402863508
2016-08-31,150.9424359065102,194,226.8323091135451,28.54927647669141
2016-09-30,150.56998532092496,194,235.898418521821,30.47996148244972
2016-10-31,158.30002337980014,194,245.29873283560713,27.916615657302387
2016-11-30,151.5921617580382,196,255.0262811176819,27.15304607216897
2016-12-31,151.58378183245443,195,265.3491758050999,23.420982654564398
2017-01-31,153.12223831212603,194,275.86606667869194,33.03012299779369
2017-02-28,158.59477292142012,194,286.8527713694359,33.69427472437156
2017-03-31,150.44657337971475,195,298.24491797283827,36.04822056219659
