indice,A,B,C,D
2014-01-31,250.46037519905664,56.85638306826912,190.0,162.52575777288314
2014-02-28,249.9619957598856,58.67478493711628,190.0,162.43929695201626
2014-03-31,249.45861301755892,64.13047471903936,190.0,162.27837456369582
2014-04-30,249.5366247015843,63.68136575769002,190.0,161.70408250941583
2014-05-31,249.60386369193208,62.80494264139308,190.0,161.8786851466559
2014-06-30,250.60807099557152,64.20501885780058,190.0,162.43444520369889
2014-07-31,400.21653887089616,71.7179861269029,190.0,162.25581583753862
2014-08-31,398.8160235963777,65.86994208087948,190.0,160.1348900211496
2014-09-30,399.62521420906063,72.89848981777995,190.0,160.08303442879333
2014-10-31,429.9397961442422,76.29666858800157,190.0,163.48086232394417
2014-11-30,430.5011350920415,71.89910315562557,190.0,160.76416393754357
2014-12-31,431.4629346817191,71.20688398987419,190.0,162.2172763199037
2015-01-31,496.0159018700332,77.53642387003966,190.0,160.7460151776584
2015-02-28,495.61227804898147,74.91066709163927,190.0,163.54844367647215
2015-03-31,495.9895876165063,73.77663764921272,190.0,160.56580110241057
2015-04-30,521.5888733421925,75.28377073060969,190.0,162.8790374749922
2015-05-31,521.3947392592364,77.38842522984226,190.0,161.1631581085445
2015-06-30,521.4352572620479,89.12649929947767,190.0,161.76465209083008
2015-07-31,553.0675537453809,83.25608092192347,190.0,161.300642043589
2015-08-31,552.44981690943,90.6206396936346,190.0,163.9822794642605
2015-09-30,552.1676290842071,83.17939277534636,190.0,160.47026261578472
2015-10-31,569.0550586532811,91.84785362566662,190.0,161.93658013504626
2015-11-30,569.7889874540955,95.71851895391885,190.0,160.13574484270814
2015-12-31,570.3643475344525,86.35630224226136,190.0,161.56007278602974
2016-01-31,585.300585685676,98.92778659911295,190.0,161.9017875304577
2016-02-29,585.7559438540898,97.7481370889878,190.0,160.52284786340752
2016-03-31,586.420606083981,97.1775275918131,190.0,160.78328700467588
2016-04-30,594.6549479860685,102.82151101938929,190.0,162.39065388581304
2016-05-31,595.1309431342287,103.40957983791718,190.0,160.4778574702964
2016-06-30,594.8116480954994,104.0747454573489,190.0,163.26247056921872
2016-07-31,602.4558032025291,101.31599076221083,190.0,160.38010073505222
2016-08-31,604.7997800741844,110.15064089702986,190.0,161.8212878471621
2016-09-30,603.3191440899947,109.03536083938535,190.0,163.3445852712205
2016-10-31,608.7294140955657,120.11209945524725,190.0,162.68819414940978
2016-11-30,610.4938051060941,119.88237341512227,190.0,161.25601963293983
2016-12-31,609.1448522267392,117.50698544043024,190.0,160.89731896002573
2017-01-31,612.1524060675384,121.88071540603028,190.0,163.04470378662234
2017-02-28,614.1460013933724,116.63066978140736,190.0,160.526428986359
2017-03-31,613.3527949978517,114.69766972708548,190.0,161.89163087821422
2017-04-30,616.1551054879116,119.84756611055337,190.0,160.27649783189761
2017-05-31,616.6217441590537,136.91701767852018,190.0,163.05884295178555
2017-06-30,615.6495068773278,122.35544054091197,190.0,162.28497805757306
2017-07-31,618.2733263381303,127.7662234669305,190.0,163.09908629427463
2017-08-31,619.4956466624081,128.34054979851035,190.0,161.6081541090271
2017-09-30,618.4625141130767,144.2138804437345,190.0,160.95535048758296
2017-10-31,620.3357415229418,147.90501409855088,190.0,160.36369350348107
2017-11-30,621.3921224734097,133.41209860341402,190.0,160.67494836119562
2017-12-31,620.6825299229545,139.64275203112655,190.0,161.90373544231872
2018-01-31,621.3470183436243,139.13886775005005,190.0,160.55751022392883
2018-02-28,622.7629249892631,149.85119546423692,190.0,162.12696208723844
2018-03-31,621.2525793284742,148.85810876998826,190.0,160.98651826087848
2018-04-30,622.7351456549485,158.42023716145772,190.0,163.80641506831984
2018-05-31,623.064578475642,165.94968383566976,190.0,160.07165938987288
2018-06-30,622.8489483047531,174.58889013083186,190.0,161.69169711599565
2018-07-31,622.789686717713,162.98352134017748,190.0,161.65312511557693
2018-08-31,624.1100882502691,169.77817178147376,190.0,161.2729993891628
2018-09-30,623.5076425985017,165.36630330096622,190.0,163.44874272388626
2018-10-31,623.8624460936427,183.33965486352997,190.0,163.54845856341024
2018-11-30,623.9127378434079,171.511996850767,190.0,160.4956947857383
2018-12-31,623.5720388186832,177.4701130781842,190.0,162.19337464225302
2019-01-31,623.4300492322136,198.16880596768786,190.0,161.0662214534174
2019-02-28,624.133202625889,181.8561910664315,190.0,163.0845615495026
2019-03-31,623.8886509187328,196.90187220162835,190.0,160.56820784272475
2019-04-30,622.5783194011566,211.2879017994247,190.0,163.1336485433855
2019-05-31,624.1363795641698,206.6320718101011,190.0,161.7394652762184
2019-06-30,624.3298115703882,201.67663750619076,190.0,160.62466654053182
2019-07-31,190.09556407443029,209.84805086134344,190.0,163.56063449802292
2019-08-31,211.6967208127358,213.7556938657966,190.0,163.55513662312148
2019-09-30,196.30840455443575,205.587508312786,190.0,163.95534333100915
2019-10-31,206.89726369032445,235.29335814823582,190.0,163.48113350260815
2019-11-30,190.09556407443029,219.05466296129313,190.0,162.10738544076906
2019-12-31,211.6967208127358,247.2478638372443,190.0,161.5035315263172
2020-01-31,196.30840455443575,231.35199323859817,190.0,160.84611556528137
2020-02-29,206.89726369032445,229.2420105870204,190.0,160.40751270792651
2020-03-31,190.09556407443029,228.40786474299517,190.0,161.0717129197845
2020-04-30,211.6967208127358,268.1438861574097,190.0,161.1776367422538
2020-05-31,196.30840455443575,260.7213708472691,190.0,163.23033529021282
2020-06-30,206.89726369032445,273.6449915790392,190.0,162.13931902631128
2020-07-31,190.09556407443029,263.0627978336868,190.0,162.8285537239604
2020-08-31,211.6967208127358,259.4183049909797,190.0,162.92565754057966
2020-09-30,196.30840455443575,288.15716663886246,79.09754274966096,160.24612144250034
2020-10-31,206.89726369032445,277.49140569741684,80.28027081380296,163.59639235327109
2020-11-30,190.09556407443029,301.6620184628896,80.550178080882,162.57990482265436
2020-12-31,211.6967208127358,304.6136244361026,79.28918117437547,162.37909461873795
2021-01-31,196.30840455443575,317.16237030615474,80.71454513321292,161.74003032738545
2021-02-28,206.89726369032445,317.86590786755846,80.26413179567282,160.95275793645538
2021-03-31,190.09556407443029,298.77074962551546,124.44322606567356,160.37403806227434
2021-04-30,211.6967208127358,330.81611550009495,124.9198120352799,160.13494594075493
2021-05-31,196.30840455443575,329.0759532065239,122.8416085086516,160.80004735637388
2021-06-30,206.89726369032445,311.80642546286515,141.15362954251583,163.44090055331085
2021-07-31,190.09556407443029,317.85631040821715,142.15934409820187,161.25681195752986
2021-08-31,211.6967208127358,352.0161896205024,141.58159301018313,162.29159863231726
2021-09-30,196.30840455443575,322.4281199500702,153.1858065613718,161.03809663492302
2021-10-31,206.89726369032445,353.7426213551204,155.8037375235827,162.92052115362983
2021-11-30,190.09556407443029,359.32418579208695,153.8951605431767,160.7481538880082
2021-12-31,211.6967208127358,345.6495142529136,161.88501819445872,161.7496424924494
2022-01-31,196.30840455443575,389.2282807139335,163.15494102324075,161.91746693673863
2022-02-28,206.89726369032445,374.0218734869837,162.49324990942918,162.11161133822478
2022-03-31,190.09556407443029,401.57172467406536,168.12830662864224,162.41872795398916
2022-04-30,211.6967208127358,419.99356686386955,167.88237408485156,161.58941963283073
2022-05-31,196.30840455443575,409.70089936008566,166.98038943008538,160.9703490196733
2022-06-30,206.89726369032445,413.30689565255807,172.73062157656125,163.191293322239
2022-07-31,190.09556407443029,429.9059822099549,172.1478400069109,160.4346599294063
2022-08-31,211.6967208127358,441.6371681897109,171.29695564876616,163.73372275186188
2022-09-30,196.30840455443575,460.058922006305,175.58867339023925,162.93514053132705
2022-10-31,206.89726369032445,454.0224717663211,173.444370076121,161.15477426614035
2022-11-30,190.09556407443029,471.03440217796367,173.66909108791265,163.13607831005461
2022-12-31,211.6967208127358,444.58920760932114,177.8619917195757,160.83208594533284
2023-01-31,196.30840455443575,451.9448145402548,175.88652008399507,162.39442640014846
2023-02-28,206.89726369032445,442.2112953877911,174.76105729922878,161.59190786410778
2023-03-31,190.09556407443029,520.1600240315483,178.17251945404445,162.03432823276208
2023-04-30,211.6967208127358,458.52864323745985,176.00332356414864,163.27246452515385
2023-05-31,196.30840455443575,517.5148175869895,176.1400414847173,161.80876828617724
2023-06-30,206.89726369032445,548.8911435426102,177.66416778635144,161.91117498718538
2023-07-31,190.09556407443029,530.5314588110068,177.71529233357728,162.40901190496214
2023-08-31,211.6967208127358,498.648175686364,177.43188741207183,163.79192503561708
2023-09-30,196.30840455443575,573.9329773615018,176.30441800299778,161.99855829045626
