indice,A,B
2014-01-31,249.9646363766686,83.13085990488122
2014-02-28,249.8490935530181,86.08232834679613
2014-03-31,249.90610167987978,89.06535004075334
2014-04-30,250.88260494082837,92.03214660552986
2014-05-31,249.68656745842304,95.02101129094778
2014-06-30,250.28940564266105,98.00160144463959
2014-07-31,401.13080861789433,101.11787331506454
2014-08-31,398.5802693274665,104.03714419847314
2014-09-30,400.82291316444105,107.04049067357784
2014-10-31,430.8924778287528,110.14789872942049
2014-11-30,428.580464126689,113.14988686712938
2014-12-31,429.2606323601417,116.05297180663608
2015-01-31,496.5807048139279,119.0533878319475
2015-02-28,495.55590611428335,122.06138553930442
2015-03-31,495.14593400642866,125.08233483581584
2015-04-30,521.75676827736,128.11252277859433
2015-05-31,520.2869056408822,131.1286728077275
2015-06-30,520.4081909132268,134.12238989689078
2015-07-31,552.504657523601,137.01844096257327
2015-08-31,552.7275391407624,140.02620408894256
2015-09-30,551.5046423252134,143.01723171819816
2015-10-31,568.8973951406399,146.13300746605904
2015-11-30,569.0765139215847,149.10886527596955
2015-12-31,568.2254720882966,152.06883315738975
2016-01-31,584.4564672862489,155.12795378845863
2016-02-29,585.2455961028755,158.1357675379857
2016-03-31,584.0788167755412,161.14721013781244
2016-04-30,593.7478606837897,164.1459602575164
2016-05-31,595.1600925069918,167.10759549137555
2016-06-30,593.4975154676519,170.13649005889457
2016-07-31,601.767703672819,173.07442589571718
2016-08-31,603.4006428254938,176.06750507493518
2016-09-30,602.0733993694083,179.03078510115665
2016-10-31,607.7021661119684,182.12321100259882
2016-11-30,609.0000241957026,185.09400639845305
2016-12-31,607.8317926777286,188.1020555156605
2017-01-31,613.4299906813096,191.1209852965071
2017-02-28,613.0123370862965,194.0595701130662
2017-03-31,613.0708688268189,197.10140534207397
2017-04-30,616.255520344702,200.00065488227438
2017-05-31,616.5721967469557,203.10085386529533
2017-06-30,615.9627643553655,206.0135116569958
2017-07-31,618.5532667382672,209.10273228033245
2017-08-31,618.8187716844117,212.10324596044708
2017-09-30,619.5539049326443,215.04846951573302
2017-10-31,619.5056136531604,218.1252842228848
2017-11-30,620.6778526300282,221.11552782684583
2017-12-31,620.6437711963172,224.0057834981174
2018-01-31,622.0812991793729,227.05227855481655
2018-02-28,622.2727000046095,230.07751676201207
2018-03-31,623.0158560061207,233.14144681131285
2018-04-30,622.1677748666939,236.04226386005877
2018-05-31,622.3013264360799,239.1479870834086
2018-06-30,623.9300518212067,242.1422810219187
2018-07-31,623.0202996398874,245.0627014708178
2018-08-31,622.4825476355766,248.11095401166727
2018-09-30,623.7816643790844,251.06103500455993
2018-10-31,623.2828432919531,254.05247901403587
2018-11-30,622.8111075307185,257.049292257585
2018-12-31,623.825953606708,260.06869104223165
2019-01-31,624.6478470398478,263.1263570717358
2019-02-28,622.8523474277337,266.02692441169415
2019-03-31,624.6824741236888,269.0129827834954
2019-04-30,624.3906388138823,272.1116390237908
2019-05-31,623.4949563108946,275.0985174435097
2019-06-30,625.0024698528397,278.09293610282253
2019-07-31,624.0086973366638,281.0112744288522
2019-08-31,624.1883769505761,284.0518487335776
2019-09-30,624.9004943854044,287.01706606797273
2019-10-31,624.176581259506,290.073687887266
2019-11-30,623.4701423776025,293.0106883829929
2019-12-31,624.8908945688532,296.13554373335563
2020-01-31,623.4927772254839,299.1322364789911
2020-02-29,623.0508919260449,302.1140308738213
2020-03-31,625.1421530482385,305.05765529061387
2020-04-30,624.0431466127496,308.1024900936931
2020-05-31,623.5491449688265,311.13350910404034
2020-06-30,624.733560662818,314.0972287664357
2020-07-31,623.6023165030542,317.0222878707045
2020-08-31,623.6209127821111,320.1243216620204
2020-09-30,624.7236970759124,323.04283240273344
2020-10-31,625.3042515474434,326.08647327326713
2020-11-30,623.7076343081688,329.0975707143163
2020-12-31,624.7961624258535,332.0856125212456
2021-01-31,623.5831885999186,335.07568750559864
2021-02-28,624.5348308638015,338.0014529173934
2021-03-31,625.2513507849145,341.10669782150114
2021-04-30,623.5950438011702,344.13892900434564
2021-05-31,624.2733381300238,347.0830044790279
2021-06-30,624.7473760983737,350.0949967357915
2021-07-31,624.5821449788003,353.0829068565385
2021-08-31,623.3864843692013,356.0534636364177
2021-09-30,624.1037887897515,359.1365172708506
2021-10-31,624.2013986778941,362.11368970747657
2021-11-30,624.6238373467174,365.01095331291776
2021-12-31,623.3511268596395,368.0893196480641
2022-01-31,624.5829211160124,371.092112934849
2022-02-28,624.0196316438922,374.14961190467307
2022-03-31,624.2102236914518,377.05627811495606
2022-04-30,624.6389069097987,380.08759590953366
2022-05-31,623.5597937078221,383.10008963772503
2022-06-30,624.6212191638605,386.11840295090576
2022-07-31,624.5911353678649,389.06038277986437
2022-08-31,623.8462206079191,392.0446228524064
2022-09-30,625.7657635142317,395.10175305430727
2022-10-31,624.0189694074485,398.0101952413849
2022-11-30,625.0369099039532,401.04601052574446
2022-12-31,625.3374521337729,404.0919597058916
2023-01-31,622.4079325859822,407.104545894505
2023-02-28,624.5804259973264,410.09244513800587
2023-03-31,625.5853423645349,413.03837845464955
2023-04-30,623.9361923626194,416.08810686505575
2023-05-31,624.573887114191,419.01365075468163
2023-06-30,626.0182985218203,422.00789866481676
2023-07-31,623.7988917756408,425.047100786953
2023-08-31,624.3388227903874,428.0075426887565
2023-09-30,626.761687470284,431.05991809559515
2023-10-31,624.3470427481534,434.14305583912034
2023-11-30,625.0885244753464,437.063391195137
2023-12-31,625.8975514659745,440.025433284488
2024-01-31,146.28765332994317,443.0623910850551
2024-02-29,142.90543941296673,446.14745325015133
2024-03-31,139.83865015049435,449.1468956343625
2024-04-30,137.21536727191443,452.0329442026393
2024-05-31,135.14034261714008,455.124941045984
2024-06-30,133.31215209055864,458.0144086777044
2024-07-31,131.85411030749574,461.0003227308094
2024-08-31,130.93488972457908,464.06482236515967
2024-09-30,130.22651363579493,467.08906617434775
2024-10-31,130.0708672821936,470.1499257772831
2024-11-30,130.29264943986774,473.1228987400585
2024-12-31,130.9280730438925,476.0181407693727
2025-01-31,131.92132851908227,479.06200237008653
2025-02-28,133.32515640850883,482.02466497227596
2025-03-31,135.0495816570691,485.0408169530768
2025-04-30,137.31037125255497,488.13087135882705
2025-05-31,139.8039464959805,491.00960232884677
2025-06-30,142.8036209154068,494.0380911093438
2025-07-31,146.2247369223604,497.13900144577684
2025-08-31,150.1005642800263,500.0773192730348
2025-09-30,154.2474995184435,503.12657787883074
2025-10-31,158.88938207264312,506.1494079488409
2025-11-30,163.87096346563584,509.02358714239296
2025-12-31,169.26742425338188,512.0024018495544
2026-01-31,175.12456895758922,515.1002200963029
2026-02-28,181.27580174845926,518.1256909444877
2026-03-31,187.90139831313127,521.1324377416139
2026-04-30,194.87292166798292,524.0439753574964
2026-05-31,202.24934440778966,527.145078337141
2026-06-30,210.10953183094603,530.10563789327
2026-07-31,218.2212845388536,533.0010281893509
2026-08-31,226.91615970551769,536.0966599352229
2026-09-30,235.81564106533276,539.1269125123438
2026-10-31,245.31614868940406,542.1342407703243
2026-11-30,255.12876000392686,545.0433370886163
2026-12-31,265.2352545561228,548.0621647785284
2027-01-31,275.8991167595264,551.1479579242589
2027-02-28,286.88315468907706,554.1385828409705
2027-03-31,298.25703529548815,557.0896270882096
2027-04-30,310.12848324970537,560.0930813189765
2027-05-31,322.25288817198714,563.027594808026
2027-06-30,334.82496111753466,566.1100577294823
2027-07-31,347.8357770445817,569.0282332158117
2027-08-31,361.3019121673202,572.0483915950642
2027-09-30,375.0653499264023,575.0005436731612
2027-10-31,389.26472926354387,578.054320603059
2027-11-30,403.8064315821435,581.0259423903972
2027-12-31,418.87913949862406,584.1343390609042
2028-01-31,434.22747943423127,587.1070216545846
2028-02-29,450.0909361618687,590.0490613334186
2028-03-31,466.3120671863857,593.0415239245788
2028-04-30,482.8221535003825,596.0774394978692
2028-05-31,499.8139692128451,599.0180770724348
2028-06-30,517.2500821192873,602.0885540168
2028-07-31,535.084159570618,605.0976234810832
2028-08-31,553.3408308333095,608.0695760003571
2028-09-30,571.8896316482071,611.0595559459293
2028-10-31,590.8785039475516,614.0819826700932
2028-11-30,610.2508961631601,617.1463201878654
2028-12-31,630.0664700572862,620.0770234130223
