,Valor
2014-01-31,124.94203872499936
2014-02-28,125.44452763110456
2014-03-31,189.5108888189745
2014-04-30,209.83812783195745
2014-05-31,227.2735263338797
2014-06-30,227.27030903408823
2014-07-31,235.990218767666
2014-08-31,242.40198867862543
2014-09-30,243.5999375489695
2014-10-31,244.34957505966463
2014-11-30,245.866453197207
2014-12-31,247.5307470380304
2015-01-31,247.02480296957725
2015-02-28,247.70813387917568
2015-03-31,249.9869693461919
2015-04-30,249.78757470385085
2015-05-31,249.76496647993596
2015-06-30,248.74234878271517
2015-07-31,250.71947088727015
2015-08-31,250.3334867891552
2015-09-30,250.29565093211832
2015-10-31,250.63074102163012
2015-11-30,250.55157949448048
2015-12-31,250.97115229036012
2016-01-31,251.05710710127815
2016-02-29,249.1754445053719
2016-03-31,250.5293340807318
2016-04-30,251.5022817029408
2016-05-31,251.47920280339224
2016-06-30,252.6691075101633
2016-07-31,253.2019211615888
2016-08-31,251.07506960410063
2016-09-30,251.0361071177182
2016-10-31,252.14022245683333
2016-11-30,249.9580205377692
2016-12-31,249.54320591905852
2017-01-31,249.5967527440601
2017-02-28,250.3384453569317
2017-03-31,250.45505940556905
2017-04-30,251.4426877563008
2017-05-31,254.25110658374973
2017-06-30,252.95817859468255
2017-07-31,253.1024310078509
2017-08-31,251.3288069177038
2017-09-30,251.0014029530179
2017-10-31,251.0600848529858
2017-11-30,251.0379367918926
2017-12-31,250.76808821318016
2018-01-31,249.33136893251157
2018-02-28,249.2058393031332
2018-03-31,248.5822162209217
2018-04-30,248.6382409679225
2018-05-31,248.4399908556567
2018-06-30,248.5303735714536
2018-07-31,248.54474267325438
2018-08-31,247.5053881214252
2018-09-30,248.21404658422267
2018-10-31,249.11165696593645
2018-11-30,250.25820733306367
2018-12-31,250.48989060900448
2019-01-31,248.9209432786734
2019-02-28,248.33322016065512
2019-03-31,248.3407751047887
2019-04-30,248.8163979825953
2019-05-31,248.6294180467351
2019-06-30,250.36642176160896
2019-07-31,250.1885104579946
2019-08-31,251.72210909013685
2019-09-30,248.4035303199499
2019-10-31,248.0316547930005
2019-11-30,249.1572700214202
2019-12-31,247.99172382279963
2020-01-31,248.11626720337645
2020-02-29,247.9109637359343
2020-03-31,248.13931299734
2020-04-30,248.5070417652455
2020-05-31,249.3238641775613
2020-06-30,249.7888115153617
2020-07-31,249.4885668027553
2020-08-31,250.0376176823739
2020-09-30,250.01496987770975
2020-10-31,249.9772108277609
2020-11-30,247.84629366951395
2020-12-31,247.4499192838752
2021-01-31,248.3117213167042
2021-02-28,249.4391063639887
2021-03-31,248.9941525546232
2021-04-30,249.86432176268488
2021-05-31,249.67574730841858
2021-06-30,247.9510878828105
2021-07-31,247.2857965733071
2021-08-31,246.03449107078384
2021-09-30,247.31633193906023
2021-10-31,249.03818054361483
2021-11-30,249.07383184513904
2021-12-31,250.30542414849467
2022-01-31,250.21020808896512
2022-02-28,249.5942487193432
2022-03-31,247.8857677500948
2022-04-30,248.5002441960494
2022-05-31,250.7136652600625
2022-06-30,249.45290037571792
2022-07-31,249.4864026984818
2022-08-31,249.0428663470436
2022-09-30,249.08034628583792
2022-10-31,249.81031867589564
2022-11-30,250.78288851872452
2022-12-31,251.58980045520832
2023-01-31,251.81497312949637
2023-02-28,251.4933682315723
2023-03-31,249.7906520666149
2023-04-30,249.7958307873131
2023-05-31,246.76861611657128
2023-06-30,248.8661985435228
2023-07-31,250.6504294126099
2023-08-31,250.58695022923288
2023-09-30,250.2795963742992
2023-10-31,249.0366994857972
2023-11-30,248.2749505463596
2023-12-31,248.2414138923307
2024-01-31,248.02540936958215
2024-02-29,248.2639128272736
2024-03-31,247.51585937610577
2024-04-30,248.8349628789809
2024-05-31,251.74454038030697
2024-06-30,251.78243120232753
2024-07-31,251.82145372051977
2024-08-31,251.59336275846937
2024-09-30,251.49589991565495
2024-10-31,249.5728446948881
2024-11-30,249.5493606662818
2024-12-31,249.06590651638783
2025-01-31,248.9367831742065
2025-02-28,247.43409003332496
2025-03-31,247.56822744035924
2025-04-30,247.90758138005037
2025-05-31,249.95444937710056
2025-06-30,250.20758506144284
2025-07-31,251.18526348042957
2025-08-31,253.14826491621952
2025-09-30,251.81596764849888
2025-10-31,251.0735672717697
2025-11-30,249.7394335441533
2025-12-31,249.01510302793625
2026-01-31,247.82478645728955
2026-02-28,247.7415539139296
2026-03-31,248.600128027606
2026-04-30,250.5234272857094
2026-05-31,250.4451902486392
2026-06-30,249.21107910087903
2026-07-31,248.971557786844
2026-08-31,248.1292116967957
2026-09-30,246.8029064392692
