indice,A,B,C
2014-01-31,714.3684096096586,186.26463631424537,709.9779937026196
2014-02-28,772.1505912866148,181.79922153315792,741.453462480032
2014-03-31,711.9834308929101,175.24064727433526,709.4966510403575
2014-04-30,833.3953850988144,177.2860445443333,729.1090119760852
2014-05-31,714.3684096096586,179.6466774328807,731.4630510711779
2014-06-30,772.1505912866148,176.09963456476785,699.6176523853015
2014-07-31,711.9834308929101,180.48999203284288,718.20204120922
2014-08-31,833.3953850988144,183.14491143388022,729.231840649366
2014-09-30,714.3684096096586,268.7411233133029,729.5414358616484
2014-10-31,772.1505912866148,270.06565377504063,694.4904545711452
2014-11-30,711.9834308929101,267.28786418524123,709.516245838164
2014-12-31,833.3953850988144,269.97791881069935,698.7166364284217
2015-01-31,714.3684096096586,284.3643934144382,685.3375462810341
2015-02-28,772.1505912866148,286.0489429487334,707.9371932919368
2015-03-31,711.9834308929101,283.86525609273525,699.193562516952
2015-04-30,833.3953850988144,292.1679208477045,722.7885640413608
2015-05-31,714.3684096096586,318.3752745799404,677.4715278935826
2015-06-30,772.1505912866148,317.18969505760253,714.1449240490256
2015-07-31,711.9834308929101,318.87133923986033,727.3044776874016
2015-08-31,833.3953850988144,319.11141352380207,725.6407738048814
2015-09-30,714.3684096096586,332.29103945712575,706.6026129613603
2015-10-31,772.1505912866148,328.89944026062136,718.3872461854528
2015-11-30,711.9834308929101,331.5430694309342,714.650698098565
2015-12-31,833.3953850988144,333.12096574762217,704.5808268526516
2016-01-31,714.3684096096586,340.4960949105076,707.3073627937948
2016-02-29,772.1505912866148,339.8952878063466,716.1666620032647
2016-03-31,711.9834308929101,345.47532402999053,720.5784337585842
2016-04-30,833.3953850988144,339.8761527508078,739.9988899479899
2016-05-31,714.3684096096586,344.3182310745588,716.6872277409752
2016-06-30,772.1505912866148,346.2946102818522,679.0918202065251
2016-07-31,711.9834308929101,346.3466019920213,709.5336326830441
2016-08-31,833.3953850988144,352.5779942510456,706.0972596740568
2016-09-30,714.3684096096586,351.1520977369148,698.4776976675323
2016-10-31,772.1505912866148,349.0895014402581,695.9764760994515
2016-11-30,711.9834308929101,351.0535888754015,705.9630301621085
2016-12-31,833.3953850988144,353.72178917285044,713.047261904282
2017-01-31,714.3684096096586,351.90883052056654,711.482536247832
2017-02-28,772.1505912866148,351.1862504167958,725.4571757908459
2017-03-31,711.9834308929101,350.5718902761969,700.5805417614279
2017-04-30,833.3953850988144,351.44836020333884,724.0718854841925
2017-05-31,714.3684096096586,359.55655327234376,705.3781899798591
2017-06-30,772.1505912866148,355.12004980002376,707.4438812778023
2017-07-31,711.9834308929101,353.3600189495837,757.2848849164448
2017-08-31,833.3953850988144,358.38539541652864,736.8903983955375
2017-09-30,714.3684096096586,357.4381598950978,706.8520404007934
2017-10-31,772.1505912866148,351.14199267305145,734.1029032566355
2017-11-30,711.9834308929101,354.6558030925574,697.3998527149756
2017-12-31,833.3953850988144,351.068107628976,718.0859247176722
2018-01-31,714.3684096096586,359.10412749547453,716.9056813056168
2018-02-28,772.1505912866148,356.4336235579459,704.9115720980651
2018-03-31,711.9834308929101,361.47628819793294,720.2353187813834
2018-04-30,833.3953850988144,350.7262817169885,695.333548687934
2018-05-31,714.3684096096586,356.3438317092294,680.2331501386358
2018-06-30,772.1505912866148,361.3133451893975,704.9299931153769
2018-07-31,711.9834308929101,358.46778420188525,710.8368714745286
2018-08-31,833.3953850988144,354.4044908499818,715.046259409929
2018-09-30,714.3684096096586,358.5877840905895,737.9858233639824
2018-10-31,772.1505912866148,359.2979011228233,728.4287856042763
2018-11-30,711.9834308929101,358.90549427159567,731.3403738492163
2018-12-31,833.3953850988144,354.0260181055292,710.8360515178941
2019-01-31,714.3684096096586,360.59071102177785,740.8138782336488
2019-02-28,772.1505912866148,362.21042173957767,719.7294291457293
2019-03-31,711.9834308929101,352.09584109577054,716.6754672291513
2019-04-30,833.3953850988144,363.50154959593897,739.2831248380612
2019-05-31,714.3684096096586,362.6338715288155,703.6196434061641
2019-06-30,772.1505912866148,359.98874085493685,731.3154943663997
2019-07-31,711.9834308929101,353.5037556590071,703.1815676151075
2019-08-31,833.3953850988144,358.7382061637593,710.1444987789793
2019-09-30,714.3684096096586,367.2408700759113,708.6490112202333
2019-10-31,772.1505912866148,358.0800654969254,691.6000041632686
2019-11-30,711.9834308929101,362.5501150325776,730.4561777384516
2019-12-31,833.3953850988144,359.97849287867314,726.4928621347167
2020-01-31,714.3684096096586,359.00214885338994,729.4750304542963
2020-02-29,772.1505912866148,359.57163280890506,706.6439548002963
2020-03-31,711.9834308929101,356.373416642393,692.3971867941403
2020-04-30,833.3953850988144,353.60903899165606,704.8827438784547
2020-05-31,714.3684096096586,358.8461477439726,705.4282870179563
2020-06-30,772.1505912866148,361.31761015765153,726.4231439880142
2020-07-31,711.9834308929101,362.90321995885506,743.3165342965871
2020-08-31,833.3953850988144,357.33221343013605,702.6576241570381
2020-09-30,1074.350969933058,358.615136949883,748.0663158261488
2020-10-31,1040.08654007744,361.6216126530842,719.1450624244178
2020-11-30,883.8815454473835,358.84800242525546,722.4859078975397
2020-12-31,1115.1529184442832,357.20161487150665,732.6802100701121
2021-01-31,1041.2771809921976,360.40581408513856,710.7912548162324
2021-02-28,1055.3126488515954,359.73857174288577,738.426500616752
2021-03-31,992.9342864053472,358.01928374621303,721.624707633168
2021-04-30,1106.337789695864,355.92330867283823,738.3172665643008
2021-05-31,922.5907222738133,363.34439160930225,726.0135644358166
2021-06-30,1011.8329814687941,356.05671230966686,733.2539324327055
2021-07-31,1074.350969933058,358.54761538338124,711.9081561204081
2021-08-31,1040.08654007744,357.9021631932393,731.8940254574084
2021-09-30,883.8815454473835,355.1834403607839,714.7529786293356
2021-10-31,1115.1529184442832,355.16899316856336,698.8277915839408
2021-11-30,1041.2771809921976,363.9195713944776,727.4253002892611
2021-12-31,1055.3126488515954,359.77072455633123,716.0122532843249
2022-01-31,992.9342864053472,360.48243055635584,720.5925777585466
2022-02-28,1106.337789695864,356.5773327216973,716.2633832399482
2022-03-31,922.5907222738133,360.62766642581744,709.7800255259701
2022-04-30,1011.8329814687941,355.1063533843827,697.8645854699312
2022-05-31,1074.350969933058,355.7893398632194,719.1903485205717
2022-06-30,1040.08654007744,361.5212308133038,719.3654747317454
2022-07-31,883.8815454473835,365.36964169684114,735.5138141108612
2022-08-31,1115.1529184442832,360.04373135533416,706.4359492954706
2022-09-30,1041.2771809921976,361.0893480025851,699.1149976261278
2022-10-31,1055.3126488515954,355.1083821948704,718.6285106314054
2022-11-30,992.9342864053472,363.2838697606188,711.6809485359768
2022-12-31,1106.337789695864,359.4254473518633,701.7220609994297
2023-01-31,922.5907222738133,353.77033119570126,705.6119203762973
2023-02-28,1011.8329814687941,357.8584968312348,712.7742112247048
2023-03-31,1074.350969933058,363.4452802616051,730.9285957309513
2023-04-30,1040.08654007744,359.0603072160387,742.249894523524
2023-05-31,883.8815454473835,356.5336173770428,714.3169084648937
2023-06-30,1115.1529184442832,357.61849447771147,734.95123765483
2023-07-31,1041.2771809921976,365.96915652698414,717.0847318610438
2023-08-31,1055.3126488515954,359.0948677631696,743.9800098644654
2023-09-30,992.9342864053472,359.2024547157391,704.2076827265396
2023-10-31,1106.337789695864,360.6408658393192,765.3626497585292
2023-11-30,922.5907222738133,359.8242708726119,711.6896510557228
2023-12-31,1011.8329814687941,360.2411559178393,705.317857282316
