,A,B,C,D
2014-01-31,154.8688234687507,195.9445846247074,146.3076913097547,6.111047596515698
2014-02-28,155.9847815822024,194.23680410007086,142.90173462105832,5.427658582835488
2014-03-31,154.1694095879591,193.6020402223864,139.8962765873311,4.730531850508851
2014-04-30,151.14475415243618,194.33617748178756,137.2912997321121,4.780371449299091
2014-05-31,153.9816928054645,195.82693343330521,135.08678657894046,5.964368043460034
2014-06-30,152.08751705210003,195.1466061658809,133.28271965135514,7.175658755207588
2014-07-31,151.62623606103696,193.799507600171,131.87908147289514,6.933867321248184
2014-08-31,150.28560169588388,194.07735244675845,130.87585456709965,4.665674144690213
2014-09-30,160.00334423623622,195.08465843566285,130.2730214575077,3.4259862942499364
2014-10-31,163.2396363126527,195.11134713438005,130.0705646676583,5.014827636702423
2014-11-30,154.18815645624207,193.57427635314326,130.2684667210905,4.8970446951159
2014-12-31,150.02881128593768,194.39804887313508,130.8667101413434,5.625872642878541
2015-01-31,151.4672596041459,197.82516914017128,131.86527745195605,8.980406820288628
2015-02-28,151.00484670277294,194.0259388866459,133.26415117646746,8.847595273297475
2015-03-31,153.33511316956537,196.10411385132298,135.06331383841672,10.26189314761736
2015-04-30,160.16690726782096,195.70508832359275,137.2627479613429,9.854150015331983
2015-05-31,157.3291944557492,194.40492571245213,139.86243606878503,7.422236617745086
2015-06-30,155.8744844428641,193.69460818639928,142.8623606842822,7.562243133175726
2015-07-31,152.1664047057384,194.13290734090108,146.2625043313734,12.296261207189806
2015-08-31,153.30266318473346,195.9499788642669,150.06284953359778,14.478457799643799
2015-09-30,150.86233299286357,195.06086175968437,154.26337881449433,17.422615260996434
2015-10-31,153.22870006685045,193.8791025766222,158.8640746976021,16.194362329616187
2015-11-30,151.14329269380892,194.14572453808142,163.86491970646017,13.49174463451853
2015-12-31,154.4129274009272,194.92487807321024,169.26589636460764,13.442227626135157
2016-01-31,150.63306917957493,194.98844628036628,175.0669871955835,18.080273746551914
2016-02-29,173.2721392951877,194.02845136349111,181.2681747229268,22.624206705136423
2016-03-31,151.81623319964046,193.9943569976729,187.8694414701766,22.868816049700378
2016-04-30,150.30051909356519,197.9952332986609,194.870769960872,22.173734689748628
2016-05-31,154.87450557148222,193.98618963795593,202.27214271855206,19.950461157203872
2016-06-30,154.76141919660066,196.05764181252934,210.0735422667558,17.979838736514342
2016-07-31,151.0067614248432,195.91255629475023,218.2749511290223,25.338998679573905
2016-08-31,150.8901285034769,194.0721800059034,226.87635182889056,28.604854382011297
2016-09-30,150.63803402744412,193.95314958268324,235.8777268898997,30.425932244130962
2016-10-31,158.22501438950133,194.06962236875597,245.27905883558878,27.983508826646982
2016-11-30,151.6626333187084,195.8536374452709,255.08033018949678,27.06211635446597
2016-12-31,151.51970100283864,195.20319752853138,265.2815234751629,23.547435613263296
2017-01-31,153.18574375457266,193.79468103223752,275.882621216126,32.81458157487254
2017-02-28,158.5348574518671,194.19445859245602,286.8836059359253,34.07458545492734
2017-03-31,150.48531996219262,194.87814727964903,298.28446015809976,35.576772762722314
2017-04-30,152.54780832842178,194.97977690869806,310.0851664061884,37.486403345165535
2017-05-31,156.49051796968342,194.0816709307033,322.2857072037305,34.923826361819295
2017-06-30,150.24862131089256,193.96074372057916,334.8860650742648,29.626133941066467
2017-07-31,151.74999574864637,198.00484618635187,347.8862225413307,37.3585978489442
2017-08-31,152.14102385307362,193.97997671762295,361.286162128467,40.64247895542158
2017-09-30,162.85711822677627,196.11276545926017,375.0858663592128,42.39914205326255
2017-10-31,158.33361142501997,195.70989724730035,389.28531775710724,44.281153455617314
2017-11-30,151.97035089788926,194.39544278489066,403.8845088796376,42.295292966413534
2017-12-31,151.63621209422087,193.70106712627393,418.883472420086,33.10517170869552
2018-01-31,155.75075302177297,194.13437049810108,434.28225110568184,43.68716110682601
2018-02-28,153.66473936118848,195.9327849911357,450.0808876636553,48.2518601543884
2018-03-31,154.33442251346202,195.12903122580482,466.27942482123666,47.9690569306827
2018-04-30,150.19731257942942,193.7851028023908,482.8779053056554,51.61080670829144
2018-05-31,153.5423509368126,194.09151812925268,499.87637184414194,50.223365504941995
