,A,B,C,D
2014-01-31,156.42495423979818,194.60319183628164,298.194289486705,192.58863349271115
2014-02-28,153.70652534112315,194.33945582321584,342.2771879751295,189.23931923346197
2014-03-31,154.01908757611045,195.40548546464913,518.1703618556576,98.5000570725893
2014-04-30,150.6289018043868,194.108223777866,216.1372441455016,46.29158523843836
2014-05-31,151.24445679909468,194.89924659445884,144.5662707093463,90.7002680341098
2014-06-30,165.7485768423445,194.2653180276689,186.49579576168338,55.2285590682385
2014-07-31,159.95072890813657,193.77426992375183,451.43896880101215,208.34569997406135
2014-08-31,150.1488508699004,194.93329697356833,606.5997297606225,42.99345181569118
2014-09-30,152.55127743262392,194.92616142555937,279.1391939250881,146.74596370921063
2014-10-31,152.07464379098317,194.94104411258337,764.4892592990268,78.93678521170973
2014-11-30,153.78809746356248,194.58316466815035,171.14433821637496,45.79052182728048
2014-12-31,152.32507219433722,193.99133658973568,211.05920842811508,86.2382274655792
2015-01-31,155.4398564916237,196.53677249529028,214.00053362334398,74.79097749596492
2015-02-28,155.42263504071224,194.97208892233368,855.1231993094225,118.30617379643962
2015-03-31,154.53548906968683,195.02074418275805,674.1883536141039,227.56567664166624
2015-04-30,156.32141683409995,195.01451785301094,356.068094876955,62.09114399222108
2015-05-31,153.912853037748,194.17843145305284,793.7673084647604,117.65403330834198
2015-06-30,151.93340028997903,194.93285293177763,270.5879043058749,10.432232121940121
2015-07-31,156.41385043014748,194.631626612795,211.10892116402138,211.01388930196347
2015-08-31,151.08161243179936,194.95698936001185,169.43974719082448,150.93239076168277
2015-09-30,156.44665097408233,195.03130919245427,213.4988263273769,167.59322991231062
2015-10-31,150.81991530220907,196.19947331297146,280.4435493859572,259.96848305409276
2015-11-30,152.81057915989805,194.2949532961692,280.52233577209006,29.222794406211346
2015-12-31,151.98409117457015,195.0662082599327,211.08220289212207,232.9007718309602
2016-01-31,153.49964318944893,193.89257429289785,374.5351052082042,257.325971379096
2016-02-29,151.51092630684155,193.91612650921525,1125.3581127822977,75.9470458817994
2016-03-31,156.49753014618574,195.5168282943312,527.8672628492793,89.34953764222739
2016-04-30,161.77887049553578,194.11864753320845,268.13674483816214,119.6114891096434
2016-05-31,152.1291895487642,194.21806533362232,460.56637448105073,268.60734849080256
2016-06-30,153.7278880754602,194.506254748031,253.79692671911084,102.81999480620782
2016-07-31,155.32170823541668,195.81122676614837,794.0666232467137,124.64835269410733
2016-08-31,154.90950466714062,195.14613474603132,176.510356290623,156.10389808336473
2016-09-30,151.1881050306058,193.98989696136118,484.11843339771434,28.962181957621034
2016-10-31,152.93091549155275,194.20676496427302,453.3729362907941,147.64554011596698
2016-11-30,153.94462310256904,195.41150729381866,191.19715451568186,157.32239476131525
2016-12-31,155.50203578109324,195.4636350771088,347.63921213032074,133.4348058789271
2017-01-31,155.1825239095939,195.50749730047744,191.09270909982718,80.83337575348429
2017-02-28,153.92664605253367,194.05859237137798,171.54157667456198,198.90241572527538
2017-03-31,153.36400606659447,194.60535106322135,236.17427836866415,108.14672683663046
2017-04-30,157.0799171314962,193.8763285894973,171.53374658308127,192.29424234644802
2017-05-31,157.3873733021979,193.80052402585292,171.53347682648302,43.18193073962369
2017-06-30,160.49618669260744,195.38538032103546,634.223005101569,73.38057689019827
2017-07-31,151.47687099983784,194.07951168873086,214.00456521724598,167.7647209633801
2017-08-31,158.9623383786967,194.98651770230043,543.6950088528308,69.7484805272933
