indice,A,B,C,D
2015-08-31,153.35472180365204,196.0,150.02749879278213,14.477447209361006
2015-09-30,150.80132832766964,195.0,154.251117335364,17.317319908200854
2015-10-31,153.30846709513244,194.0,158.88053556014796,16.465876044842457
2015-11-30,151.02782794259468,194.0,163.9095990313655,13.260631684146071
2015-12-31,154.5808569495401,195.0,169.21745220426715,13.247597372644544
2016-01-31,150.41761077146117,195.0,175.0206224136927,18.665737553293592
2016-02-29,173.49415586998336,194.0,181.26030309127245,22.05932678989829
2016-03-31,151.64187467264702,194.0,187.9489917801469,23.268781100906043
2016-04-30,150.40344402018633,198.0,194.84515324506037,21.849135642850825
2016-05-31,154.82386257354634,194.0,202.325752248079,20.188403306057417
2016-06-30,154.7939021717808,196.0,210.12854504518955,17.848648974059998
2016-07-31,150.96936951469525,196.0,218.2649788512203,25.4130402863508
2016-08-31,150.9424359065102,194.0,226.8323091135451,28.54927647669141
2016-09-30,150.56998532092496,194.0,235.898418521821,30.47996148244972
2016-10-31,158.30002337980014,194.0,245.29873283560715,27.916615657302387
2016-11-30,151.5921617580382,196.0,255.0262811176819,27.15304607216897
2016-12-31,151.58378183245443,195.0,265.3491758050999,23.4209826545644
2017-01-31,153.12223831212603,194.0,275.86606667869194,33.03012299779369
2017-02-28,158.59477292142012,194.0,286.8527713694359,33.69427472437156
2017-03-31,150.44657337971475,195.0,298.24491797283827,36.04822056219659
2017-04-30,152.54891022186817,195.0,310.00512435041384,37.124465101167615
2017-05-31,156.52655506541024,194.0,322.2575191368584,35.11941934489144
2017-06-30,150.18896067350585,194.0,334.8589675745626,29.491740462480152
2017-07-31,151.81956932614585,198.0,347.9426917459097,37.55575464021819
2017-08-31,152.0768993634722,194.0,361.31301186117867,40.28784299500721
2017-09-30,162.88237532862752,196.0,375.0732367070282,42.85222566147458
2017-10-31,158.38140053760307,196.0,389.3288457449567,43.91915543254544
2017-11-30,151.87763838569774,194.0,403.94518184785295,42.491963211768656
2017-12-31,151.69677401870015,194.0,418.8816405025108,33.04725366437105
2018-01-31,155.7532627837381,194.0,434.2355277931522,43.59146966511187
2018-02-28,153.62364289390692,196.0,450.1465010140675,48.4530232778276
2018-03-31,154.39332677597443,195.0,466.2322175870439,47.81344029581626
2018-04-30,150.12380706745742,194.0,482.9190195680871,51.63816016007803
2018-05-31,153.63241700686527,194.0,499.8532413415369,50.28247746368892
2018-06-30,152.6768033177118,195.0,517.3042292860923,39.655956039896544
2018-07-31,161.58497816887268,195.0,535.080147224229,53.16142965484419
2018-08-31,150.60441301583083,194.0,553.2571680687008,57.21878282001867
2018-09-30,152.05558178063666,194.0,571.9156667228802,55.18601882060972
2018-10-31,159.62435502146494,198.0,590.8656550048493,61.48022028233784
2018-11-30,167.46393483592118,194.0,610.2879120055848,60.49043786096419
2018-12-31,154.9497247710645,196.0,630.0462128874595,47.71460473317555
2019-01-31,153.89633511617257,196.0,650.2027836461824,60.78422526966475
2019-02-28,153.2702258702845,194.0,670.8929215651714,67.23934331303467
2019-03-31,158.8176601238201,194.0,691.8709486366325,63.361873239916015
2019-04-30,161.03189976476344,194.0,713.2410313736482,67.25029541974122
2019-05-31,153.007061763065,196.0,735.0068599787526,67.39875180477625
2019-06-30,158.93809820020115,195.0,757.2117733268419,54.1488033881956
2019-07-31,158.8160788955647,194.0,779.8363054970235,67.40168394530143
2019-08-31,154.21146726918252,194.0,802.8950803186052,75.46127199697817
2019-09-30,158.570494871895,195.0,826.2778725457639,71.12163995939639
2019-10-31,152.00571281634117,195.0,850.1443205585234,75.0378547442586
2019-11-30,151.14740260933544,194.0,874.3038997666305,73.16049206955705
2019-12-31,152.21513339089486,194.0,898.8259412448103,62.28817076331232
2020-01-31,150.9292963946335,198.0,923.9217075082732,74.70387846033933
2020-02-29,150.558019610459,194.0,949.3335393561282,82.9166658898131
2020-03-31,158.3182264995034,196.0,975.0863680576018,80.98457408187596
2020-04-30,150.81499059408685,196.0,1001.2393309170446,86.07333734634933
