,Valor
2014-01-31,251.81596764849888
2014-02-28,251.07506960410063
2014-03-31,252.95817859468255
2014-04-30,235.990218767666
2014-05-31,248.600128027606
2014-06-30,248.33322016065512
2014-07-31,247.2857965733071
2014-08-31,209.83812783195745
2014-09-30,250.25820733306367
2014-10-31,251.82145372051977
2014-11-30,249.06590651638783
2014-12-31,250.2795963742992
2015-01-31,249.1572700214202
2015-02-28,249.33136893251157
2015-03-31,249.7906520666149
2015-04-30,248.9209432786734
2015-05-31,247.31633193906023
2015-06-30,249.21107910087903
2015-07-31,246.76861611657128
2015-08-31,248.2749505463596
2015-09-30,248.8163979825953
2015-10-31,251.58980045520832
2015-11-30,249.7906520666149
2015-12-31,248.2414138923307
2016-01-31,253.2019211615888
2016-02-29,248.33322016065512
2016-03-31,247.99172382279963
2016-04-30,252.95817859468255
2016-05-31,251.81596764849888
2016-06-30,251.74454038030697
2016-07-31,250.63074102163012
2016-08-31,249.78757470385085
2016-09-30,248.5303735714536
2016-10-31,249.7888115153617
2016-11-30,251.81497312949637
2016-12-31,254.25110658374973
2017-01-31,250.30542414849467
2017-02-28,249.9580205377692
2017-03-31,243.5999375489695
2017-04-30,249.3238641775613
2017-05-31,249.03818054361483
2017-06-30,250.76808821318016
2017-07-31,247.9109637359343
2017-08-31,251.0014029530179
2017-09-30,247.43409003332496
2017-10-31,247.31633193906023
2017-11-30,249.5728446948881
2017-12-31,254.25110658374973
2018-01-31,247.5307470380304
2018-02-28,248.5822162209217
2018-03-31,250.6504294126099
2018-04-30,252.6691075101633
2018-05-31,250.76808821318016
2018-06-30,250.30542414849467
2018-07-31,227.2735263338797
2018-08-31,248.600128027606
2018-09-30,249.06590651638783
2018-10-31,250.97115229036012
2018-11-30,251.72210909013685
2018-12-31,249.86432176268488
2019-01-31,247.82478645728955
2019-02-28,249.45290037571792
2019-03-31,249.3238641775613
2019-04-30,249.7906520666149
2019-05-31,250.3384453569317
2019-06-30,248.600128027606
2019-07-31,250.2795963742992
2019-08-31,247.90758138005037
2019-09-30,248.21404658422267
2019-10-31,250.2795963742992
2019-11-30,209.83812783195745
2019-12-31,249.7888115153617
2020-01-31,251.0735672717697
2020-02-29,248.1292116967957
2020-03-31,249.9869693461919
2020-04-30,248.5303735714536
2020-05-31,249.5728446948881
2020-06-30,250.97115229036012
2020-07-31,248.5070417652455
2020-08-31,248.13931299734
2020-09-30,248.33322016065512
2020-10-31,247.99172382279963
2020-11-30,247.02480296957725
2020-12-31,249.11165696593645
2021-01-31,249.5728446948881
2021-02-28,250.6504294126099
2021-03-31,250.25820733306367
2021-04-30,248.9367831742065
2021-05-31,251.58980045520832
2021-06-30,251.4426877563008
2021-07-31,248.33322016065512
2021-08-31,249.7394335441533
2021-09-30,242.40198867862543
2021-10-31,248.8163979825953
2021-11-30,249.21107910087903
2021-12-31,248.3117213167042
2022-01-31,253.2019211615888
2022-02-28,248.74234878271517
2022-03-31,250.6504294126099
2022-04-30,249.03818054361483
2022-05-31,250.97115229036012
2022-06-30,251.81596764849888
2022-07-31,247.99172382279963
2022-08-31,227.2735263338797
2022-09-30,250.36642176160896
2022-10-31,247.99172382279963
2022-11-30,248.9941525546232
2022-12-31,251.81497312949637
2023-01-31,250.76808821318016
2023-02-28,252.95817859468255
2023-03-31,248.11626720337645
2023-04-30,249.4885668027553
2023-05-31,249.11165696593645
2023-06-30,251.72210909013685
2023-07-31,249.4391063639887
2023-08-31,248.2749505463596
2023-09-30,248.74234878271517
2023-10-31,252.6691075101633
2023-11-30,247.5053881214252
2023-12-31,250.63074102163012
2024-01-31,248.33322016065512
2024-02-29,251.58980045520832
2024-03-31,248.600128027606
2024-04-30,250.63074102163012
2024-05-31,247.4499192838752
2024-06-30,248.8349628789809
2024-07-31,243.5999375489695
2024-08-31,125.44452763110456
2024-09-30,248.9941525546232
2024-10-31,247.43409003332496
2024-11-30,249.11165696593645
2024-12-31,249.0428663470436
2025-01-31,251.0014029530179
2025-02-28,250.7136652600625
2025-03-31,248.21404658422267
2025-04-30,252.14022245683333
2025-05-31,253.14826491621952
2025-06-30,247.99172382279963
2025-07-31,249.33136893251157
2025-08-31,247.70813387917568
2025-09-30,246.03449107078384
2025-10-31,251.4426877563008
2025-11-30,251.3288069177038
2025-12-31,248.11626720337645
2026-01-31,249.45290037571792
2026-02-28,249.0366994857972
2026-03-31,248.1292116967957
2026-04-30,253.2019211615888
2026-05-31,251.5022817029408
2026-06-30,251.0600848529858
2026-07-31,251.82145372051977
2026-08-31,247.70813387917568
2026-09-30,249.0428663470436
2026-10-31,249.33136893251157
2026-11-30,124.94203872499936
2026-12-31,251.0014029530179
2027-01-31,254.25110658374973
2027-02-28,246.76861611657128
2027-03-31,249.7394335441533
2027-04-30,209.83812783195745
2027-05-31,250.7136652600625
2027-06-30,253.2019211615888
2027-07-31,247.9109637359343
2027-08-31,248.5070417652455
2027-09-30,250.63074102163012
2027-10-31,249.45290037571792
2027-11-30,247.70813387917568
2027-12-31,251.82145372051977
2028-01-31,248.9941525546232
2028-02-29,249.78757470385085
2028-03-31,249.5728446948881
2028-04-30,247.31633193906023
2028-05-31,247.90758138005037
2028-06-30,253.2019211615888
2028-07-31,249.1572700214202
2028-08-31,248.33322016065512
2028-09-30,249.01510302793625
2028-10-31,209.83812783195745
2028-11-30,249.95444937710056
2028-12-31,254.25110658374973
2029-01-31,248.0316547930005
2029-02-28,243.5999375489695
2029-03-31,248.02540936958215
2029-04-30,249.7906520666149
2029-05-31,251.74454038030697
2029-06-30,247.5053881214252
2029-07-31,251.58980045520832
2029-08-31,252.6691075101633
2029-09-30,248.5002441960494
2029-10-31,248.5822162209217
2029-11-30,249.4885668027553
2029-12-31,253.2019211615888
2030-01-31,248.1292116967957
2030-02-28,249.7888115153617
2030-03-31,251.3288069177038
2030-04-30,251.81596764849888
2030-05-31,249.9869693461919
2030-06-30,248.11626720337645
2030-07-31,250.63074102163012
2030-08-31,250.76808821318016
2030-09-30,251.0361071177182
2030-10-31,249.4885668027553
2030-11-30,250.25820733306367
2030-12-31,248.74234878271517
2031-01-31,209.83812783195745
2031-02-28,251.5022817029408
2031-03-31,249.7888115153617
2031-04-30,235.990218767666
2031-05-31,248.8661985435228
2031-06-30,209.83812783195745
2031-07-31,248.3117213167042
2031-08-31,247.8857677500948
2031-09-30,125.44452763110456
2031-10-31,249.4885668027553
2031-11-30,251.3288069177038
2031-12-31,249.03818054361483
2032-01-31,250.5293340807318
2032-02-29,189.5108888189745
2032-03-31,250.36642176160896
2032-04-30,248.600128027606
2032-05-31,248.5822162209217
2032-06-30,249.9772108277609
2032-07-31,252.95817859468255
2032-08-31,248.0316547930005
2032-09-30,246.03449107078384
2032-10-31,248.5822162209217
2032-11-30,250.7136652600625
2032-12-31,248.33322016065512
2033-01-31,247.4499192838752
2033-02-28,247.2857965733071
