,Valor
2014-01-31,243.684123768799
2014-02-28,214.526154280707
2014-03-31,224.52358113236545
2014-04-30,208.22057550211704
2014-05-31,203.28624360263169
2014-06-30,204.5604455068772
2014-07-31,215.6208124495976
2014-08-31,243.684123768799
2014-09-30,264.5424446113826
2014-10-31,248.21104526032283
2014-11-30,243.684123768799
2014-12-31,203.28624360263169
2015-01-31,211.84039478402576
2015-02-28,223.3081785241072
2015-03-31,219.0542379588172
2015-04-30,207.8864586268949
2015-05-31,222.98977547439856
2015-06-30,259.0532062576907
2015-07-31,243.684123768799
2015-08-31,218.24870547653293
2015-09-30,243.684123768799
2015-10-31,201.28916396012383
2015-11-30,220.95846248788555
2015-12-31,254.8728350926676
2016-01-31,243.3103719393413
2016-02-29,206.50915509519868
2016-03-31,204.4968222860384
2016-04-30,200.45820946013956
2016-05-31,259.0532062576907
2016-06-30,214.02713140188715
2016-07-31,205.5829327643576
2016-08-31,202.24949966189615
2016-09-30,220.29605027820503
2016-10-31,217.32496578564889
2016-11-30,220.95846248788555
2016-12-31,260.3441886032807
2017-01-31,243.3103719393413
2017-02-28,203.73851134452696
2017-03-31,259.0532062576907
2017-04-30,220.95846248788555
2017-05-31,222.52741398465488
2017-06-30,224.52358113236545
2017-07-31,220.29605027820503
2017-08-31,211.04703353605296
2017-09-30,201.6384337656532
2017-10-31,240.268286697994
2017-11-30,211.55214897606007
2017-12-31,254.8728350926676
2018-01-31,211.84039478402576
2018-02-28,224.52358113236545
2018-03-31,208.22057550211704
2018-04-30,264.5424446113826
2018-05-31,207.13141238257825
2018-06-30,243.3103719393413
2018-07-31,201.05720679976147
2018-08-31,209.83966147869836
2018-09-30,243.3103719393413
2018-10-31,240.268286697994
2018-11-30,217.909381181409
2018-12-31,220.08505219584677
2019-01-31,264.5424446113826
2019-02-28,215.5615895305726
2019-03-31,216.94254150509764
2019-04-30,205.9235624636139
2019-05-31,213.01921739034765
2019-06-30,206.50915509519868
2019-07-31,240.268286697994
2019-08-31,209.02049900603117
2019-09-30,217.5314827687491
2019-10-31,224.26100451565677
2019-11-30,213.01921739034765
2019-12-31,218.66146111164983
2020-01-31,222.10135736382165
2020-02-29,254.8728350926676
2020-03-31,206.50915509519868
2020-04-30,248.21104526032283
2020-05-31,206.66052420957925
2020-06-30,203.73851134452696
2020-07-31,205.31665759289197
2020-08-31,243.684123768799
2020-09-30,200.65416572866243
2020-10-31,223.3081785241072
2020-11-30,218.56290695483108
2020-12-31,213.53455994753548
2021-01-31,264.5424446113826
2021-02-28,218.66146111164983
2021-03-31,215.063709760152
2021-04-30,207.8864586268949
2021-05-31,259.0532062576907
2021-06-30,248.21104526032283
2021-07-31,215.6208124495976
2021-08-31,215.61594367005256
2021-09-30,243.3103719393413
2021-10-31,260.3441886032807
2021-11-30,200.45820946013956
2021-12-31,213.01921739034765
2022-01-31,243.3103719393413
2022-02-28,215.6208124495976
2022-03-31,222.52741398465488
2022-04-30,200.45820946013956
2022-05-31,220.29605027820503
2022-06-30,248.21104526032283
2022-07-31,218.56290695483108
2022-08-31,221.53303574738848
2022-09-30,214.526154280707
2022-10-31,248.21104526032283
2022-11-30,222.52741398465488
2022-12-31,215.6208124495976
2023-01-31,224.52358113236545
2023-02-28,214.7859335593688
2023-03-31,207.13141238257825
2023-04-30,217.32496578564889
2023-05-31,221.86259161130465
2023-06-30,223.67406868089776
2023-07-31,248.21104526032283
2023-08-31,264.5424446113826
2023-09-30,200.45820946013956
2023-10-31,260.3441886032807
2023-11-30,203.28624360263169
2023-12-31,259.0532062576907
2024-01-31,240.268286697994
2024-02-29,205.9235624636139
2024-03-31,260.3441886032807
2024-04-30,215.6208124495976
2024-05-31,243.684123768799
2024-06-30,219.0542379588172
2024-07-31,254.8728350926676
2024-08-31,215.61594367005256
2024-09-30,221.14408531472864
2024-10-31,214.10015813547085
2024-11-30,240.268286697994
2024-12-31,224.52358113236545
2025-01-31,264.5424446113826
2025-02-28,254.8728350926676
2025-03-31,223.67406868089776
2025-04-30,210.7803307945105
2025-05-31,260.3441886032807
2025-06-30,208.22057550211704
