indice,Valor
2014-01-31,-94.0
2014-02-28,-94.34657359027997
2014-03-31,-94.54930614433405
2014-04-30,-94.69314718055995
2014-05-31,-94.80471895621704
2014-06-30,-94.89587973461403
2014-07-31,-94.97295507452766
2014-08-31,-95.03972077083992
2014-09-30,-95.09861228866811
2014-10-31,-95.15129254649702
2014-11-30,-95.19894763639918
2014-12-31,-95.242453324894
2015-01-31,-95.28247467873076
2015-02-28,-95.31952866480763
2015-03-31,-95.3540251005511
2015-04-30,-95.3862943611199
2015-05-31,-95.41660667202811
2015-06-30,-95.44518587894808
2015-07-31,-95.47221948958322
2015-08-31,-95.49786613677699
2015-09-30,-95.52226121886171
2015-10-31,-95.54552122667916
2015-11-30,-95.56774710796458
2015-12-31,-95.58902691517397
2016-01-31,-95.6094379124341
2016-02-29,-95.62904826901074
2016-03-31,-95.64791843300216
2016-04-30,-95.66610225508761
2016-05-31,-95.68364791499323
2016-06-30,-95.70059869083107
2016-07-31,-95.71699360224257
2016-08-31,-95.73286795139987
2016-09-30,-95.74825378073324
2016-10-31,-95.76318026230808
2016-11-30,-95.7776740307447
2016-12-31,-95.79175946922805
2017-01-31,-95.80545895632211
2017-02-28,-95.8187930798632
2017-03-31,-95.83178082306482
2017-04-30,-95.84443972705697
2017-05-31,-95.85678603335215
2017-06-30,-95.86883480914169
2017-07-31,-95.88060005784678
2017-08-31,-95.89209481695913
2017-09-30,-95.90333124488517
2017-10-31,-95.91432069824455
2017-11-30,-95.92507380085503
2017-12-31,-95.93560050545395
2018-01-31,-95.94591014905531
2018-02-28,-95.95601150271408
2018-03-31,-95.96591281636216
2018-04-30,-95.97562185929071
2018-05-31,-95.98514595677607
2018-06-30,-95.99449202328213
2018-07-31,-96.00366659261624
2018-08-31,-96.01267584536757
2018-09-30,-96.02152563391728
2018-10-31,-96.0302215052732
2018-11-30,-96.03876872195286
2018-12-31,-96.04717228111105
2019-01-31,-96.05543693208665
2019-02-28,-96.06356719252254
2019-03-31,-96.07156736319577
2019-04-30,-96.07944154167984
2019-05-31,-96.08719363494782
2019-06-30,-96.09482737101321
2019-07-31,-96.10234630969548
2019-08-31,-96.10975385258806
2019-09-30,-96.11705325229863
2019-10-31,-96.12424762102468
2019-11-30,-96.13133993852065
2019-12-31,-96.13833305950803
2020-01-31,-96.14522972057419
2020-02-29,-96.15203254660209
2020-03-31,-96.15874405676816
2020-04-30,-96.16536667014317
2020-05-31,-96.17190271092684
2020-06-30,-96.17835441334479
2020-07-31,-96.18472392623352
2020-08-31,-96.19101331733694
2020-09-30,-96.19722457733621
2020-10-31,-96.20335962363212
2020-11-30,-96.2094203038983
2020-12-31,-96.21540839942166
2021-01-31,-96.22132562824515
2021-02-28,-96.22717364812675
2021-03-31,-96.2329540593273
2021-04-30,-96.2386684072391
2021-05-31,-96.24431818486607
2021-06-30,-96.24990483516513
2021-07-31,-96.25542975325843
2021-08-31,-96.26089428852453
2021-09-30,-96.26629974657664
2021-10-31,-96.271647391135
2021-11-30,-96.27693844580027
2021-12-31,-96.28217409573392
