indice,Valor
2014-01-01,278.1920246299682
2014-01-02,260.90289054699184
2014-01-03,242.80088599053227
2014-01-04,256.7069397735991
2014-01-05,242.1237001995811
2014-01-06,263.8288895989226
2014-01-07,226.4133660040485
2014-01-08,252.38429718843548
2014-01-09,227.32390807356165
2014-01-10,278.3569523663327
2014-01-11,278.1920246299682
2014-01-12,260.90289054699184
2014-01-13,242.80088599053227
2014-01-14,256.7069397735991
2014-01-15,242.1237001995811
2014-01-16,263.8288895989226
2014-01-17,226.4133660040485
2014-01-18,252.38429718843548
2014-01-19,227.32390807356165
2014-01-20,278.3569523663327
2014-01-21,278.1920246299682
2014-01-22,260.90289054699184
2014-01-23,242.80088599053227
2014-01-24,256.7069397735991
2014-01-25,242.1237001995811
2014-01-26,263.8288895989226
2014-01-27,226.4133660040485
2014-01-28,252.38429718843548
2014-01-29,227.32390807356165
2014-01-30,278.3569523663327
2014-01-31,278.1920246299682
2014-02-01,260.90289054699184
2014-02-02,242.80088599053227
2014-02-03,256.7069397735991
2014-02-04,242.1237001995811
2014-02-05,263.8288895989226
2014-02-06,226.4133660040485
2014-02-07,252.38429718843548
2014-02-08,227.32390807356165
2014-02-09,278.3569523663327
2014-02-10,215.0
2014-02-11,210.0
2014-02-12,214.0
2014-02-13,215.0
2014-02-14,216.0
2014-02-15,213.0
2014-02-16,213.0
2014-02-17,213.0
2014-02-18,211.0
2014-02-19,208.0
2014-02-20,216.0
2014-02-21,211.0
2014-02-22,215.0
2014-02-23,215.0
2014-02-24,214.0
2014-02-25,215.0
2014-02-26,211.0
2014-02-27,210.0
2014-02-28,212.0
2014-03-01,212.0
2014-03-02,214.0
2014-03-03,206.0
2014-03-04,214.0
2014-03-05,210.0
2014-03-06,211.0
2014-03-07,210.0
2014-03-08,216.0
2014-03-09,212.0
2014-03-10,214.0
2014-03-11,210.0
2014-03-12,211.0
2014-03-13,214.0
2014-03-14,209.0
2014-03-15,211.0
2014-03-16,210.0
2014-03-17,211.0
2014-03-18,211.0
2014-03-19,215.0
2014-03-20,216.0
2014-03-21,211.0
2014-03-22,210.0
2014-03-23,208.0
2014-03-24,209.0
2014-03-25,210.0
2014-03-26,211.0
2014-03-27,213.0
2014-03-28,217.0
2014-03-29,211.0
2014-03-30,210.0
2014-03-31,213.0
2014-04-01,209.0
2014-04-02,206.0
2014-04-03,215.0
2014-04-04,212.0
2014-04-05,215.0
2014-04-06,210.0
