indice,Valor
2014-01-01,780.0
2014-01-02,780.0
2014-01-03,780.0
2014-01-04,780.0
2014-01-05,780.0
2014-01-06,780.0
2014-01-07,780.0
2014-01-08,780.0
2014-01-09,780.0
2014-01-10,780.0
2014-01-11,780.0
2014-01-12,780.0
2014-01-13,780.0
2014-01-14,780.0
2014-01-15,780.0
2014-01-16,780.0
2014-01-17,780.0
2014-01-18,780.0
2014-01-19,780.0
2014-01-20,780.0
2014-01-21,780.0
2014-01-22,780.0
2014-01-23,780.0
2014-01-24,780.0
2014-01-25,780.0
2014-01-26,780.0
2014-01-27,780.0
2014-01-28,780.0
2014-01-29,780.0
2014-01-30,780.0
2014-01-31,780.0
2014-02-01,780.0
2014-02-02,780.0
2014-02-03,780.0
2014-02-04,780.0
2014-02-05,780.0
2014-02-06,780.0
2014-02-07,780.0
2014-02-08,780.0
2014-02-09,780.0
2014-02-10,780.0
2014-02-11,780.0
2014-02-12,780.0
2014-02-13,780.0
2014-02-14,780.0
2014-02-15,780.0
2014-02-16,780.0
2014-02-17,780.0
2014-02-18,780.0
2014-02-19,780.0
2014-02-20,780.0
2014-02-21,780.0
2014-02-22,780.0
2014-02-23,780.0
2014-02-24,780.0
2014-02-25,780.0
2014-02-26,780.0
2014-02-27,780.0
2014-02-28,780.0
2014-03-01,780.0
2014-03-02,780.0
2014-03-03,780.0
2014-03-04,780.0
2014-03-05,780.0
2014-03-06,780.0
2014-03-07,780.0
2014-03-08,780.0
2014-03-09,780.0
2014-03-10,780.0
2014-03-11,780.0
2014-03-12,780.0
2014-03-13,780.0
2014-03-14,780.0
2014-03-15,780.0
2014-03-16,780.0
2014-03-17,780.0
2014-03-18,780.0
2014-03-19,780.0
2014-03-20,780.0
2014-03-21,780.0
2014-03-22,780.0
2014-03-23,780.0
2014-03-24,780.0
2014-03-25,780.0
2014-03-26,780.0
2014-03-27,780.0
2014-03-28,780.0
2014-03-29,780.0
2014-03-30,780.0
2014-03-31,780.0
2014-04-01,780.0
2014-04-02,780.0
2014-04-03,780.0
2014-04-04,780.0
2014-04-05,780.0
2014-04-06,780.0
