indice,Valor
2014-01-31,376.8873450604477
2014-02-28,347.9458081216968
2014-03-31,348.4614546514194
2014-04-30,349.78172601519447
2014-05-31,337.2473046899597
2014-06-30,341.77698871164176
2014-07-31,364.8615062872582
2014-08-31,398.5009719297133
2014-09-30,355.5716613217122
2014-10-31,369.1600945579436
2014-11-30,342.442797353723
2014-12-31,414.8516345625586
2015-01-31,334.3022749373027
2015-02-28,324.22683469229366
2015-03-31,364.4307272653649
2015-04-30,364.8532831925943
2015-05-31,412.9961727905829
2015-06-30,353.9676928880429
2015-07-31,346.99227586697594
2015-08-31,356.0367551156536
2015-09-30,294.4039633009507
2015-10-31,357.468299501603
2015-11-30,351.5024078303623
2015-12-31,370.2251927028911
2016-01-31,336.8343419473028
2016-02-29,381.19494261145235
2016-03-31,336.5645067845004
2016-04-30,356.17989044354874
2016-05-31,395.95147911524737
2016-06-30,365.70368439955
2016-07-31,303.55470894831046
2016-08-31,373.4639470450629
2016-09-30,356.31044504139214
2016-10-31,377.4421326151496
2016-11-30,363.1009818803061
2016-12-31,371.4562995261355
2017-01-31,318.66137441038825
2017-02-28,336.21461379555024
2017-03-31,357.3835507737468
2017-04-30,344.6227101736856
2017-05-31,213.0
2017-06-30,212.0
2017-07-31,208.0
2017-08-31,212.0
2017-09-30,206.0
2017-10-31,210.0
2017-11-30,211.0
2017-12-31,212.0
2018-01-31,208.0
2018-02-28,212.0
2018-03-31,209.0
2018-04-30,211.0
2018-05-31,213.0
2018-06-30,214.0
2018-07-31,214.0
2018-08-31,213.0
2018-09-30,209.0
2018-10-31,211.0
2018-11-30,210.0
2018-12-31,208.0
2019-01-31,213.0
2019-02-28,207.0
2019-03-31,211.0
2019-04-30,211.0
2019-05-31,210.0
2019-06-30,214.0
2019-07-31,208.0
2019-08-31,214.0
2019-09-30,212.0
2019-10-31,210.0
2019-11-30,217.0
2019-12-31,213.0
2020-01-31,210.0
2020-02-29,210.0
2020-03-31,212.0
2020-04-30,210.0
2020-05-31,212.0
2020-06-30,210.0
2020-07-31,213.0
2020-08-31,212.0
2020-09-30,211.0
2020-10-31,213.0
2020-11-30,212.0
2020-12-31,213.0
2021-01-31,204.0
2021-02-28,214.0
2021-03-31,214.0
2021-04-30,215.0
2021-05-31,211.0
2021-06-30,215.0
2021-07-31,214.0
2021-08-31,213.0
2021-09-30,212.0
2021-10-31,215.0
2021-11-30,211.0
2021-12-31,212.0
2022-01-31,212.0
2022-02-28,212.0
2022-03-31,209.0
2022-04-30,214.0
2022-05-31,215.0
2022-06-30,210.0
2022-07-31,209.0
2022-08-31,216.0
2022-09-30,213.0
2022-10-31,210.0
2022-11-30,216.0
2022-12-31,214.0
2023-01-31,211.0
2023-02-28,211.0
2023-03-31,211.0
2023-04-30,215.0
2023-05-31,210.0
2023-06-30,214.0
2023-07-31,214.0
2023-08-31,212.0
2023-09-30,210.0
2023-10-31,210.0
2023-11-30,210.0
2023-12-31,210.0
