indice,Valor
2014-01-01,354.5046032975499
2014-01-02,353.633220822566
2014-01-03,307.61656884400213
2014-01-04,370.74700791833703
2014-01-05,354.76831453030485
2014-01-06,348.47584739340823
2014-01-07,324.75298017668945
2014-01-08,341.7118718367577
2014-01-09,364.709830111728
2014-01-10,343.1622226801727
2014-01-11,367.57666064087897
2014-01-12,352.7911791213891
2014-01-13,338.80205521024783
2014-01-14,340.79336992714167
2014-01-15,325.3589114497746
2014-01-16,301.9112724307198
2014-01-17,335.84877685532336
2014-01-18,359.5473447863655
2014-01-19,357.2521597229611
2014-01-20,361.03364396041644
2014-01-21,362.70076995723605
2014-01-22,372.32886089625504
2014-01-23,336.6408408658568
2014-01-24,347.59817512286406
2014-01-25,357.03599355515706
2014-01-26,344.83629668274625
2014-01-27,327.7497910440778
2014-01-28,342.8550091731958
2014-01-29,363.09426384183337
2014-01-30,368.6773833779992
2014-01-31,327.89536318366606
2014-02-01,290.66622549955946
2014-02-02,365.7729980596838
2014-02-03,358.5954678256494
2014-02-04,341.0325840430676
2014-02-05,379.8298903962094
2014-02-06,321.9560039170574
2014-02-07,367.090745500408
2014-02-08,365.146736588862
2014-02-09,344.991064236089
2014-02-10,349.63396069371424
2014-02-11,350.5314507483042
2014-02-12,370.33109398179073
2014-02-13,392.82417684098544
2014-02-14,306.30477689171653
2014-02-15,210.0
2014-02-16,215.0
2014-02-17,213.0
2014-02-18,213.0
2014-02-19,213.0
2014-02-20,212.0
2014-02-21,211.0
2014-02-22,212.0
2014-02-23,212.0
2014-02-24,211.0
2014-02-25,216.0
2014-02-26,209.0
2014-02-27,211.0
2014-02-28,210.0
2014-03-01,210.0
2014-03-02,211.0
2014-03-03,213.0
2014-03-04,211.0
2014-03-05,208.0
2014-03-06,212.0
2014-03-07,212.0
2014-03-08,212.0
2014-03-09,213.0
2014-03-10,207.0
2014-03-11,211.0
2014-03-12,212.0
2014-03-13,209.0
2014-03-14,212.0
2014-03-15,206.0
2014-03-16,210.0
2014-03-17,208.0
2014-03-18,212.0
2014-03-19,216.0
2014-03-20,209.0
2014-03-21,215.0
2014-03-22,210.0
2014-03-23,211.0
2014-03-24,209.0
2014-03-25,209.0
2014-03-26,215.0
2014-03-27,215.0
2014-03-28,213.0
2014-03-29,209.0
2014-03-30,210.0
2014-03-31,212.0
2014-04-01,205.0
2014-04-02,210.0
2014-04-03,212.0
2014-04-04,211.0
2014-04-05,210.0
2014-04-06,210.0
