indice,Valor
2014-01-01,212.0
2014-01-02,214.0
2014-01-03,214.0
2014-01-04,216.0
2014-01-05,214.0
2014-01-06,212.0
2014-01-07,211.0
2014-01-08,210.0
2014-01-09,211.0
2014-01-10,214.0
2014-01-11,213.0
2014-01-12,212.0
2014-01-13,206.0
2014-01-14,215.0
2014-01-15,215.0
2014-01-16,213.0
2014-01-17,213.0
2014-01-18,214.0
2014-01-19,213.0
2014-01-20,216.0
2014-01-21,216.0
2014-01-22,213.0
2014-01-23,214.0
2014-01-24,215.0
2014-01-25,211.0
2014-01-26,211.0
2014-01-27,214.0
2014-01-28,213.0
2014-01-29,214.0
2014-01-30,212.0
2014-01-31,208.0
2014-02-01,213.0
2014-02-02,212.0
2014-02-03,212.0
2014-02-04,214.0
2014-02-05,213.0
2014-02-06,212.0
2014-02-07,209.0
2014-02-08,212.0
2014-02-09,216.0
2014-02-10,245.3888786746951
2014-02-11,242.69174178311584
2014-02-12,268.0213053664683
2014-02-13,265.3920391196084
2014-02-14,276.1611202937362
2014-02-15,210.0242329255579
2014-02-16,230.54316912182048
2014-02-17,279.3690949483757
2014-02-18,280.66036985233524
2014-02-19,230.95575833731482
2014-02-20,295.51001734810194
2014-02-21,253.05600913978617
2014-02-22,255.39699058502987
2014-02-23,225.223748080986
2014-02-24,245.3888786746951
2014-02-25,242.69174178311584
2014-02-26,268.0213053664683
2014-02-27,265.3920391196084
2014-02-28,276.1611202937362
2014-03-01,210.0242329255579
2014-03-02,230.54316912182048
2014-03-03,279.3690949483757
2014-03-04,280.66036985233524
2014-03-05,230.95575833731482
2014-03-06,295.51001734810194
2014-03-07,253.05600913978617
2014-03-08,255.39699058502987
2014-03-09,225.223748080986
2014-03-10,245.3888786746951
2014-03-11,242.69174178311584
2014-03-12,268.0213053664683
2014-03-13,265.3920391196084
2014-03-14,276.1611202937362
2014-03-15,210.0242329255579
2014-03-16,230.54316912182048
2014-03-17,279.3690949483757
2014-03-18,280.66036985233524
2014-03-19,230.95575833731482
2014-03-20,295.51001734810194
2014-03-21,253.05600913978617
2014-03-22,255.39699058502987
2014-03-23,225.223748080986
2014-03-24,245.3888786746951
2014-03-25,242.69174178311584
2014-03-26,268.0213053664683
2014-03-27,265.3920391196084
2014-03-28,276.1611202937362
2014-03-29,210.0242329255579
2014-03-30,230.54316912182048
2014-03-31,279.3690949483757
2014-04-01,280.66036985233524
2014-04-02,230.95575833731482
2014-04-03,295.51001734810194
2014-04-04,253.05600913978617
2014-04-05,255.39699058502987
2014-04-06,225.223748080986
