indice,Valor
2014-01-01,248.43927989874743
2014-01-02,260.7603105909582
2014-01-03,226.762186892475
2014-01-04,257.94589094726723
2014-01-05,213.06380973699737
2014-01-06,266.7275324211073
2014-01-07,217.95454485012712
2014-01-08,257.858676825909
2014-01-09,299.4374741033137
2014-01-10,254.59495341223626
2014-01-11,248.43927989874743
2014-01-12,260.7603105909582
2014-01-13,226.762186892475
2014-01-14,257.94589094726723
2014-01-15,213.06380973699737
2014-01-16,266.7275324211073
2014-01-17,217.95454485012712
2014-01-18,257.858676825909
2014-01-19,299.4374741033137
2014-01-20,254.59495341223626
2014-01-21,248.43927989874743
2014-01-22,260.7603105909582
2014-01-23,226.762186892475
2014-01-24,257.94589094726723
2014-01-25,213.06380973699737
2014-01-26,266.7275324211073
2014-01-27,217.95454485012712
2014-01-28,257.858676825909
2014-01-29,299.4374741033137
2014-01-30,254.59495341223626
2014-01-31,248.43927989874743
2014-02-01,260.7603105909582
2014-02-02,226.762186892475
2014-02-03,257.94589094726723
2014-02-04,213.06380973699737
2014-02-05,266.7275324211073
2014-02-06,217.95454485012712
2014-02-07,257.858676825909
2014-02-08,299.4374741033137
2014-02-09,254.59495341223626
2014-02-10,212.0
2014-02-11,214.0
2014-02-12,210.0
2014-02-13,213.0
2014-02-14,213.0
2014-02-15,214.0
2014-02-16,215.0
2014-02-17,210.0
2014-02-18,212.0
2014-02-19,213.0
2014-02-20,215.0
2014-02-21,214.0
2014-02-22,211.0
2014-02-23,210.0
2014-02-24,210.0
2014-02-25,213.0
2014-02-26,207.0
2014-02-27,212.0
2014-02-28,213.0
2014-03-01,211.0
2014-03-02,209.0
2014-03-03,215.0
2014-03-04,210.0
2014-03-05,211.0
2014-03-06,215.0
2014-03-07,214.0
2014-03-08,210.0
2014-03-09,213.0
2014-03-10,211.0
2014-03-11,213.0
2014-03-12,214.0
2014-03-13,212.0
2014-03-14,207.0
2014-03-15,206.0
2014-03-16,209.0
2014-03-17,208.0
2014-03-18,212.0
2014-03-19,211.0
2014-03-20,212.0
2014-03-21,211.0
2014-03-22,216.0
2014-03-23,206.0
2014-03-24,211.0
2014-03-25,213.0
2014-03-26,210.0
2014-03-27,213.0
2014-03-28,214.0
2014-03-29,215.0
2014-03-30,214.0
2014-03-31,211.0
2014-04-01,209.0
2014-04-02,212.0
2014-04-03,210.0
2014-04-04,206.0
2014-04-05,210.0
2014-04-06,211.0
