indice,Valor
2014-01-31,200.34247516553486
2014-02-28,200.7548298559566
2014-03-31,201.12523216060828
2014-04-30,201.24423024868477
2014-05-31,201.72662087216892
2014-06-30,201.91655968149385
2014-07-31,202.39519844419496
2014-08-31,202.58441940869923
2014-09-30,202.98879866561916
2014-10-31,203.08609702685536
2014-11-30,203.38250953716678
2014-12-31,203.85977975044307
2015-01-31,204.14307894369264
2015-02-28,204.27149288602226
2015-03-31,204.57795567222917
2015-04-30,204.93613690470133
2015-05-31,205.1810592056739
2015-06-30,205.6141212728195
2015-07-31,205.70454644233735
2015-08-31,206.08322971230746
2015-09-30,206.48284051477012
2015-10-31,206.87581249262016
2015-11-30,206.99638120456842
2015-12-31,207.41344800336142
2016-01-31,207.6423698194884
2016-02-29,208.04710094654732
2016-03-31,208.11832582909324
2016-04-30,208.61683880190566
2016-05-31,208.74398959621226
2016-06-30,209.069448652143
2016-07-31,209.39341433615778
2016-08-31,209.63353681414057
2016-09-30,210.19040447665074
2016-10-31,210.30225612287452
2016-11-30,210.783198577857
2016-12-31,210.91003831193876
2017-01-31,211.3320998403318
2017-02-28,211.66671954033404
2017-03-31,211.94208177297722
2017-04-30,212.23811000899724
2017-05-31,213.0
2017-06-30,213.0
2017-07-31,213.0
2017-08-31,212.0
2017-09-30,211.0
2017-10-31,216.0
2017-11-30,213.0
2017-12-31,212.0
2018-01-31,209.0
2018-02-28,213.0
2018-03-31,214.0
2018-04-30,211.0
2018-05-31,214.0
2018-06-30,212.0
2018-07-31,211.0
2018-08-31,215.0
2018-09-30,209.0
2018-10-31,212.0
2018-11-30,213.0
2018-12-31,211.0
2019-01-31,211.0
2019-02-28,210.0
2019-03-31,212.0
2019-04-30,211.0
2019-05-31,212.0
2019-06-30,211.0
2019-07-31,216.0
2019-08-31,209.0
2019-09-30,213.0
2019-10-31,211.0
2019-11-30,208.0
2019-12-31,209.0
2020-01-31,213.0
2020-02-29,214.0
2020-03-31,212.0
2020-04-30,210.0
2020-05-31,212.0
2020-06-30,215.0
2020-07-31,213.0
2020-08-31,212.0
2020-09-30,211.0
2020-10-31,213.0
2020-11-30,212.0
2020-12-31,213.0
2021-01-31,212.0
2021-02-28,213.0
2021-03-31,210.0
2021-04-30,212.0
2021-05-31,213.0
2021-06-30,211.0
2021-07-31,209.0
2021-08-31,213.0
2021-09-30,207.0
2021-10-31,213.0
2021-11-30,212.0
2021-12-31,212.0
2022-01-31,210.0
2022-02-28,210.0
2022-03-31,212.0
2022-04-30,214.0
2022-05-31,213.0
2022-06-30,213.0
2022-07-31,212.0
2022-08-31,209.0
2022-09-30,215.0
2022-10-31,214.0
2022-11-30,213.0
2022-12-31,207.0
2023-01-31,210.0
2023-02-28,214.0
2023-03-31,214.0
2023-04-30,209.0
2023-05-31,213.0
2023-06-30,212.0
2023-07-31,213.0
2023-08-31,213.0
2023-09-30,212.0
2023-10-31,213.0
2023-11-30,209.0
2023-12-31,210.0
