indice,Valor
2014-01-01,146.20686201687866
2014-01-02,142.8709600789087
2014-01-03,139.8476146693277
2014-01-04,137.32030630532438
2014-01-05,135.12465593405756
2014-01-06,133.2703458237673
2014-01-07,131.93007678066152
2014-01-08,130.93380384709783
2014-01-09,130.28877068833478
2014-01-10,130.1144429431829
2014-01-11,130.20442776018646
2014-01-12,130.8860852588106
2014-01-13,131.80677490734075
2014-01-14,133.23233188860308
2014-01-15,135.06115339187554
2014-01-16,137.24697218875244
2014-01-17,139.88204505927925
2014-01-18,142.9214516381831
2014-01-19,146.25966005482184
2014-01-20,150.06828222475767
2014-01-21,154.2261410895913
2014-01-22,158.91712521343592
2014-01-23,163.90487989629207
2014-01-24,169.2176256032187
2014-01-25,175.05153874930187
2014-01-26,181.31343218593025
2014-01-27,187.88322441825233
2014-01-28,194.85864204125525
2014-01-29,202.21739418499135
2014-01-30,210.0199224463099
2014-01-31,218.25580458357447
2014-02-01,226.9263060462346
2014-02-02,235.84524032964006
2014-02-03,245.31393971359614
2014-02-04,255.13294559427476
2014-02-05,265.33907564196437
2014-02-06,275.81106048532735
2014-02-07,286.8948403876109
2014-02-08,298.2290194288578
2014-02-09,310.14714093345907
2014-02-10,216.0
2014-02-11,209.0
2014-02-12,211.0
2014-02-13,211.0
2014-02-14,213.0
2014-02-15,208.0
2014-02-16,217.0
2014-02-17,208.0
2014-02-18,211.0
2014-02-19,215.0
2014-02-20,209.0
2014-02-21,211.0
2014-02-22,210.0
2014-02-23,213.0
2014-02-24,210.0
2014-02-25,209.0
2014-02-26,207.0
2014-02-27,212.0
2014-02-28,211.0
2014-03-01,211.0
2014-03-02,213.0
2014-03-03,208.0
2014-03-04,214.0
2014-03-05,214.0
2014-03-06,212.0
2014-03-07,211.0
2014-03-08,211.0
2014-03-09,212.0
2014-03-10,214.0
2014-03-11,213.0
2014-03-12,212.0
2014-03-13,210.0
2014-03-14,215.0
2014-03-15,209.0
2014-03-16,217.0
2014-03-17,212.0
2014-03-18,210.0
2014-03-19,211.0
2014-03-20,210.0
2014-03-21,211.0
2014-03-22,215.0
2014-03-23,213.0
2014-03-24,214.0
2014-03-25,212.0
2014-03-26,215.0
2014-03-27,210.0
2014-03-28,211.0
2014-03-29,213.0
2014-03-30,213.0
2014-03-31,213.0
2014-04-01,216.0
2014-04-02,212.0
2014-04-03,214.0
2014-04-04,212.0
2014-04-05,215.0
2014-04-06,210.0
