indice,Valor
2014-01-31,8.383967481608193
2014-02-28,9.062136279148817
2014-03-31,10.286097236189516
2014-04-30,11.106851384890836
2014-05-31,12.327358409511621
2014-06-30,14.263321512102113
2014-07-31,15.356288285713335
2014-08-31,17.76402049329395
2014-09-30,19.95174623520302
2014-10-31,20.28344524976328
2014-11-30,22.837765944648396
2014-12-31,26.46908779840492
2015-01-31,28.114664309265677
2015-02-28,32.76006403599589
2015-03-31,35.82499982159254
2015-04-30,40.37642074850414
2015-05-31,42.96027408189717
2015-06-30,47.11408937296605
2015-07-31,52.50300616172148
2015-08-31,54.73681164102194
2015-09-30,65.67771850542293
2015-10-31,67.38483451190443
2015-11-30,78.42719540383457
2015-12-31,88.33755323795984
2016-01-31,91.24191569974047
2016-02-29,104.96101775941847
2016-03-31,110.0617295749192
2016-04-30,132.81716098632444
2016-05-31,141.62163228648265
2016-06-30,159.9710278101777
2016-07-31,180.1649653763347
2016-08-31,196.73378083582153
2016-09-30,217.24859754341568
2016-10-31,227.20741148563087
2016-11-30,263.25305715155866
2016-12-31,286.5112956789454
2017-01-31,322.87489310615933
2017-02-28,347.6502419305359
2017-03-31,389.4080397839998
2017-04-30,443.44354250773245
2017-05-31,469.79704400844975
2017-06-30,534.850455858842
2017-07-31,581.3557948280005
2017-08-31,664.9308695722106
2017-09-30,681.5291927395865
2017-10-31,768.4724865030465
2017-11-30,829.6588746363262
2017-12-31,946.1330902278564
2018-01-31,1001.5468299013271
2018-02-28,1147.1732056472404
2018-03-31,1254.3025567561729
2018-04-30,1441.5560469720256
2018-05-31,1489.9824776422527
2018-06-30,1697.9096763902012
2018-07-31,1846.847771114764
2018-08-31,2076.0082974849875
2018-09-30,2238.6325346888025
2018-10-31,2463.596627078757
2018-11-30,2960.0521005242394
2018-12-31,3175.606950118145
2019-01-31,3446.8088765181346
2019-02-28,3815.571297810311
2019-03-31,4067.7524385008605
2019-04-30,4558.243434743262
2019-05-31,5046.687169725958
2019-06-30,5525.296794700235
2019-07-31,6183.388469796541
2019-08-31,7172.086688335269
2019-09-30,7614.7264348528115
2019-10-31,8862.975892777105
2019-11-30,9178.574950479247
2019-12-31,10668.415256765064
2020-01-31,11163.273962449399
2020-02-29,12306.966341554824
2020-03-31,13519.519932958245
2020-04-30,15525.24440785657
2020-05-31,17516.973176468775
2020-06-30,19035.35171746734
2020-07-31,21718.96076984018
2020-08-31,23528.819566688482
2020-09-30,24716.347143348623
2020-10-31,27937.837503744027
2020-11-30,30045.25884233005
2020-12-31,36137.554122151145
2021-01-31,38865.00446379891
2021-02-28,41945.64858489365
2021-03-31,47086.92409793202
2021-04-30,50767.64700349144
2021-05-31,58681.527345506154
2021-06-30,60652.09652668064
2021-07-31,68261.32369265088
2021-08-31,80087.27509680072
2021-09-30,89011.34733383397
2021-10-31,90482.8157487516
2021-11-30,105019.55218782005
2021-12-31,114822.64808401381
