indice,Valor
2014-01-31,52.31714941340271
2014-02-28,36.499117950453375
2014-03-31,9.539216748619506
2014-04-30,-30.37249662213317
2014-05-31,-83.68004973820753
2014-06-30,-149.90941495898042
2014-07-31,-227.3404395140207
2014-08-31,-312.7143628502093
2014-09-30,-402.0848973945953
2014-10-31,-489.9426085958516
2014-11-30,-569.6697295170524
2014-12-31,-633.595536921517
2015-01-31,-672.4866312876123
2015-02-28,-676.3758781157228
2015-03-31,-633.6884686898499
2015-04-30,-531.9432705007193
2015-05-31,-357.3115297034819
2015-06-30,-94.74546105064914
2015-07-31,271.8699995196933
2015-08-31,760.0656956998359
2015-09-30,1388.3075026514832
2015-10-31,2176.4399531964264
2015-11-30,3145.477191305797
2015-12-31,4317.628378716075
2016-01-31,5716.280843587537
2016-02-29,7366.090656541779
2016-03-31,9292.704968423493
2016-04-30,11523.276346496048
2016-05-31,14085.884808411289
2016-06-30,17010.038446192593
2016-07-31,20326.264095340015
2016-08-31,24066.47706797297
2016-09-30,28263.52698294161
2016-10-31,32951.64931139757
2016-11-30,38166.274913408066
2016-12-31,43944.001737556064
2017-01-31,50322.70954751843
2017-02-28,57341.26587976182
2017-03-31,65039.890086676314
2017-04-30,73460.01423179967
2017-05-31,82644.34519474645
2017-06-30,92636.4307010178
2017-07-31,103481.45397891542
2017-08-31,115225.66573445738
2017-09-30,127916.31346056898
2017-10-31,141602.07819282805
2017-11-30,156332.7024290367
2017-12-31,172159.24295803322
2018-01-31,189133.88894548392
2018-02-28,207310.01750087764
2018-03-31,226742.28550998878
2018-04-30,247486.40649100734
2018-05-31,269599.5078119503
2018-06-30,293139.61118943203
2018-07-31,318166.3431683008
2018-08-31,344740.0473603019
2018-09-30,372922.6554381069
2018-10-31,402777.21805605467
2018-11-30,434367.897933248
2018-12-31,467760.058135181
2019-01-31,503020.2628229144
2019-02-28,540216.45189388
2019-03-31,579417.4754699663
2019-04-30,620693.675809278
2019-05-31,664116.2753296616
2019-06-30,709758.0757469721
2019-07-31,757692.707541675
2019-08-31,807995.2501741254
2019-09-30,860741.907541953
2019-10-31,916010.0141975608
2019-11-30,973878.2945694429
2019-12-31,1034426.4434879571
2020-01-31,1097735.5202608427
2020-02-29,1163887.634034233
2020-03-31,1232966.2504151457
2020-04-30,1305056.096077398
2020-05-31,1380242.6652131563
2020-06-30,1458613.265272948
2020-07-31,1540255.8554167084
2020-08-31,1625260.0758579047
2020-09-30,1713716.3374336537
2020-10-31,1805716.4281550762
2020-11-30,1901353.5357364449
2020-12-31,2000721.6004377126
2021-01-31,2103916.286503567
2021-02-28,2211034.021720383
2021-03-31,2322172.710983323
2021-04-30,2437431.259264029
2021-05-31,2556909.859271925
2021-06-30,2680710.016854448
2021-07-31,2808934.255476898
2021-08-31,2941686.451893813
2021-09-30,3079071.538193408
2021-10-31,3221195.6027010013
2021-11-30,3368166.3229503
2021-12-31,3520092.0615401575
