indice,Valor
2014-01-31,112.0
2014-02-28,126.0
2014-03-31,111.0
2014-04-30,119.0
2014-05-31,109.0
2014-06-30,114.0
2014-07-31,103.0
2014-08-31,128.0
2014-09-30,129.0
2014-10-31,116.0
2014-11-30,116.0
2014-12-31,128.0
2015-01-31,125.0
2015-02-28,127.0
2015-03-31,116.0
2015-04-30,125.0
2015-05-31,128.0
2015-06-30,104.0
2015-07-31,105.0
2015-08-31,103.0
2015-09-30,119.0
2015-10-31,102.0
2015-11-30,116.0
2015-12-31,114.0
2016-01-31,113.0
2016-02-29,126.0
2016-03-31,124.0
2016-04-30,128.0
2016-05-31,107.0
2016-06-30,106.0
2016-07-31,101.0
2016-08-31,115.0
2016-09-30,122.0
2016-10-31,105.0
2016-11-30,118.0
2016-12-31,112.0
2017-01-31,108.0
2017-02-28,125.0
2017-03-31,110.0
2017-04-30,122.0
2017-05-31,102.0
2017-06-30,128.0
2017-07-31,120.0
2017-08-31,116.0
2017-09-30,124.0
2017-10-31,104.0
2017-11-30,122.0
2017-12-31,119.0
2018-01-31,120.0
2018-02-28,126.0
2018-03-31,118.0
2018-04-30,105.0
2018-05-31,114.0
2018-06-30,115.0
2018-07-31,127.0
2018-08-31,114.0
2018-09-30,106.0
2018-10-31,127.0
2018-11-30,100.0
2018-12-31,111.0
2019-01-31,113.0
2019-02-28,119.0
2019-03-31,104.0
2019-04-30,102.0
2019-05-31,102.0
2019-06-30,103.0
2019-07-31,101.0
2019-08-31,100.0
2019-09-30,104.0
2019-10-31,113.0
2019-11-30,122.0
2019-12-31,101.0
2020-01-31,118.0
2020-02-29,105.0
2020-03-31,122.0
2020-04-30,102.0
2020-05-31,116.0
2020-06-30,109.0
2020-07-31,113.0
2020-08-31,119.0
2020-09-30,112.0
2020-10-31,129.0
2020-11-30,124.0
2020-12-31,112.0
2021-01-31,127.0
2021-02-28,115.0
2021-03-31,108.0
2021-04-30,100.0
2021-05-31,101.0
2021-06-30,128.0
2021-07-31,117.0
2021-08-31,108.0
2021-09-30,107.0
2021-10-31,122.0
2021-11-30,121.0
2021-12-31,112.0
2022-01-31,127.0
2022-02-28,122.0
2022-03-31,114.0
2022-04-30,100.0
2022-05-31,122.0
2022-06-30,116.0
2022-07-31,123.0
2022-08-31,106.0
2022-09-30,127.0
2022-10-31,100.0
2022-11-30,112.0
2022-12-31,127.0
2023-01-31,114.0
2023-02-28,107.0
2023-03-31,106.0
2023-04-30,106.0
2023-05-31,115.0
2023-06-30,113.0
2023-07-31,117.0
2023-08-31,127.0
2023-09-30,114.0
2023-10-31,119.0
2023-11-30,107.0
2023-12-31,107.0
