indice,Valor
2014-01-01,128.0
2014-01-02,100.0
2014-01-03,118.0
2014-01-04,110.0
2014-01-05,192.0
2014-01-06,154.0
2014-01-07,132.0
2014-01-08,122.0
2014-01-09,119.0
2014-01-10,193.0
2014-01-11,144.0
2014-01-12,194.0
2014-01-13,123.0
2014-01-14,101.0
2014-01-15,105.0
2014-01-16,172.0
2014-01-17,170.0
2014-01-18,119.0
2014-01-19,126.0
2014-01-20,185.0
2014-01-21,131.0
2014-01-22,101.0
2014-01-23,132.0
2014-01-24,181.0
2014-01-25,147.0
2014-01-26,150.0
2014-01-27,174.0
2014-01-28,157.0
2014-01-29,110.0
2014-01-30,173.0
2014-01-31,157.0
2014-02-01,100.0
2014-02-02,191.0
2014-02-03,133.0
2014-02-04,162.0
2014-02-05,149.0
2014-02-06,109.0
2014-02-07,121.0
2014-02-08,101.0
2014-02-09,124.0
2014-02-10,184.0
2014-02-11,187.0
2014-02-12,161.0
2014-02-13,128.0
2014-02-14,110.0
2014-02-15,152.0
2014-02-16,187.0
2014-02-17,188.0
2014-02-18,155.0
2014-02-19,183.0
2014-02-20,141.0
2014-02-21,120.0
2014-02-22,139.0
2014-02-23,158.0
2014-02-24,167.0
2014-02-25,146.0
2014-02-26,141.0
2014-02-27,122.0
2014-02-28,147.0
2014-03-01,158.0
2014-03-02,163.0
2014-03-03,172.0
2014-03-04,199.0
2014-03-05,118.0
2014-03-06,127.0
2014-03-07,107.0
2014-03-08,192.0
2014-03-09,194.0
2014-03-10,186.0
2014-03-11,167.0
2014-03-12,133.0
2014-03-13,171.0
2014-03-14,116.0
2014-03-15,158.0
2014-03-16,135.0
2014-03-17,199.0
2014-03-18,121.0
2014-03-19,118.0
2014-03-20,191.0
2014-03-21,101.0
2014-03-22,181.0
2014-03-23,156.0
2014-03-24,117.0
2014-03-25,116.0
2014-03-26,109.0
2014-03-27,152.0
2014-03-28,157.0
2014-03-29,183.0
2014-03-30,178.0
2014-03-31,102.0
2014-04-01,100.0
2014-04-02,164.0
2014-04-03,130.0
2014-04-04,121.0
2014-04-05,190.0
2014-04-06,139.0
