indice,Valor
2014-01-01,98
2014-01-02,96
2014-01-03,97
2014-01-04,101
2014-01-05,101
2014-01-06,95
2014-01-07,96
2014-01-08,99
2014-01-09,99
2014-01-10,96
2014-01-11,99
2014-01-12,98
2014-01-13,96
2014-01-14,94
2014-01-15,100
2014-01-16,94
2014-01-17,95
2014-01-18,92
2014-01-19,99
2014-01-20,99
2014-01-21,99
2014-01-22,99
2014-01-23,99
2014-01-24,100
2014-01-25,98
2014-01-26,98
2014-01-27,97
2014-01-28,97
2014-01-29,97
2014-01-30,97
2014-01-31,96
2014-02-01,95
2014-02-02,99
2014-02-03,95
2014-02-04,97
2014-02-05,94
2014-02-06,100
2014-02-07,94
2014-02-08,97
2014-02-09,98
2014-02-10,103
2014-02-11,95
2014-02-12,94
2014-02-13,101
2014-02-14,96
2014-02-15,98
2014-02-16,98
2014-02-17,96
2014-02-18,102
2014-02-19,99
2014-02-20,96
2014-02-21,103
2014-02-22,95
2014-02-23,97
2014-02-24,95
2014-02-25,96
2014-02-26,97
2014-02-27,100
2014-02-28,97
2014-03-01,103
2014-03-02,99
2014-03-03,100
2014-03-04,96
2014-03-05,98
2014-03-06,96
2014-03-07,97
2014-03-08,98
2014-03-09,96
2014-03-10,96
2014-03-11,96
2014-03-12,91
2014-03-13,95
2014-03-14,95
2014-03-15,98
2014-03-16,97
2014-03-17,98
2014-03-18,96
2014-03-19,97
2014-03-20,99
2014-03-21,97
2014-03-22,95
2014-03-23,97
2014-03-24,98
2014-03-25,98
2014-03-26,97
2014-03-27,99
2014-03-28,101
2014-03-29,96
2014-03-30,98
2014-03-31,98
2014-04-01,94
2014-04-02,98
2014-04-03,96
2014-04-04,96
2014-04-05,99
2014-04-06,97
