indice,Valor
2014-01-01,102
2014-01-02,102
2014-01-03,101
2014-01-04,101
2014-01-05,102
2014-01-06,104
2014-01-07,102
2014-01-08,101
2014-01-09,106
2014-01-10,101
2014-01-11,102
2014-01-12,106
2014-01-13,101
2014-01-14,105
2014-01-15,101
2014-01-16,116
2014-01-17,109
2014-01-18,104
2014-01-19,104
2014-01-20,102
2014-01-21,101
2014-01-22,101
2014-01-23,102
2014-01-24,104
2014-01-25,113
2014-01-26,105
2014-01-27,101
2014-01-28,102
2014-01-29,101
2014-01-30,105
2014-01-31,104
2014-02-01,102
2014-02-02,106
2014-02-03,103
2014-02-04,106
2014-02-05,113
2014-02-06,101
2014-02-07,109
2014-02-08,107
2014-02-09,101
2014-02-10,110
2014-02-11,103
2014-02-12,102
2014-02-13,102
2014-02-14,101
2014-02-15,102
2014-02-16,101
2014-02-17,102
2014-02-18,103
2014-02-19,102
2014-02-20,106
2014-02-21,102
2014-02-22,101
2014-02-23,102
2014-02-24,101
2014-02-25,101
2014-02-26,105
2014-02-27,102
2014-02-28,105
2014-03-01,102
2014-03-02,104
2014-03-03,104
2014-03-04,102
2014-03-05,101
2014-03-06,106
2014-03-07,101
2014-03-08,102
2014-03-09,101
2014-03-10,101
2014-03-11,101
2014-03-12,102
2014-03-13,101
2014-03-14,102
2014-03-15,102
2014-03-16,110
2014-03-17,104
2014-03-18,103
2014-03-19,102
2014-03-20,101
2014-03-21,102
2014-03-22,103
2014-03-23,103
2014-03-24,101
2014-03-25,102
2014-03-26,107
2014-03-27,101
2014-03-28,103
2014-03-29,103
2014-03-30,103
2014-03-31,110
2014-04-01,101
2014-04-02,102
2014-04-03,101
2014-04-04,101
2014-04-05,103
2014-04-06,101
