indice,Valor
2014-01-01,152
2014-01-02,154
2014-01-03,155
2014-01-04,149
2014-01-05,151
2014-01-06,150
2014-01-07,153
2014-01-08,152
2014-01-09,148
2014-01-10,153
2014-01-11,155
2014-01-12,151
2014-01-13,149
2014-01-14,150
2014-01-15,147
2014-01-16,149
2014-01-17,149
2014-01-18,151
2014-01-19,149
2014-01-20,150
2014-01-21,151
2014-01-22,149
2014-01-23,152
2014-01-24,151
2014-01-25,150
2014-01-26,155
2014-01-27,151
2014-01-28,156
2014-01-29,150
2014-01-30,148
2014-01-31,150
2014-02-01,154
2014-02-02,155
2014-02-03,151
2014-02-04,153
2014-02-05,149
2014-02-06,152
2014-02-07,156
2014-02-08,153
2014-02-09,149
2014-02-10,154
2014-02-11,151
2014-02-12,155
2014-02-13,151
2014-02-14,149
2014-02-15,154
2014-02-16,152
2014-02-17,151
2014-02-18,148
2014-02-19,150
2014-02-20,151
2014-02-21,146
2014-02-22,150
2014-02-23,150
2014-02-24,151
2014-02-25,150
2014-02-26,150
2014-02-27,151
2014-02-28,150
2014-03-01,153
2014-03-02,151
2014-03-03,148
2014-03-04,147
2014-03-05,150
2014-03-06,158
2014-03-07,150
2014-03-08,153
2014-03-09,153
2014-03-10,149
2014-03-11,151
2014-03-12,148
2014-03-13,153
2014-03-14,151
2014-03-15,147
2014-03-16,152
2014-03-17,148
2014-03-18,153
2014-03-19,152
2014-03-20,148
2014-03-21,148
2014-03-22,150
2014-03-23,151
2014-03-24,146
2014-03-25,149
2014-03-26,149
2014-03-27,151
2014-03-28,153
2014-03-29,149
2014-03-30,156
2014-03-31,150
2014-04-01,155
2014-04-02,151
2014-04-03,149
2014-04-04,150
2014-04-05,152
2014-04-06,152
