indice,A,B,C
2014-01-31,200.56550615187956,183,249.33416631775575
2014-02-28,200.74942238165215,184,250.39794633786636
2014-03-31,201.17214036908075,183,251.03598639500353
2014-04-30,201.25882070372296,183,250.0050433425918
2014-05-31,201.58296388215973,184,249.2546363125367
2014-06-30,202.02643350683937,186,250.76541085485505
2014-07-31,202.3329616102357,182,398.5435852965733
2014-08-31,202.66637619474304,182,400.64973339062607
2014-09-30,202.720784590608,183,401.11246372907726
2014-10-31,203.1950688845914,184,429.09009802177815
2014-11-30,203.58947358298056,184,430.6647859439972
2014-12-31,203.6933125756807,181,430.6626856009351
2015-01-31,203.90887513404692,181,495.04301680201013
2015-02-28,204.4754040232597,185,497.1389368104075
2015-03-31,204.56358160969407,183,496.05512678544255
2015-04-30,204.87101974985907,185,521.1805280370293
2015-05-31,205.1659328057809,185,521.0304459215916
2015-06-30,205.6082469786974,184,520.3228806166777
2015-07-31,205.70080035902666,187,552.5882809941476
2015-08-31,206.03408685886524,183,553.6109522354615
2015-09-30,206.49194189782378,182,552.7614779950001
2015-10-31,206.62854691344276,182,568.6711176690662
2015-11-30,207.1752501417138,182,569.0467944945307
2015-12-31,207.23989094766011,184,569.5446054865167
2016-01-31,207.7717849611329,184,584.6865681803442
2016-02-29,208.0812732612669,182,583.8659241838534
2016-03-31,208.37904908162636,183,585.4937824798681
2016-04-30,208.5158959996084,187,594.2802516889103
2016-05-31,208.94635774221655,185,593.548027333469
2016-06-30,209.14883822941175,182,594.0768859571976
2016-07-31,209.34529694046523,184,601.957964354982
2016-08-31,209.79978974394987,184,601.7117268357869
2016-09-30,210.0572699489398,181,602.9060207866447
2016-10-31,210.48337096453224,184,607.8415354411874
2016-11-30,210.62020162683638,183,608.3993734637319
2016-12-31,210.9955977229432,182,609.1405151230431
2017-01-31,211.3592487224001,184,612.1434088040029
2017-02-28,211.5108798831385,186,613.337540603143
2017-03-31,211.96390816296673,183,612.9988580753087
2017-04-30,212.11472660896194,183,615.6447529308958
2017-05-31,212.50368942205418,180,616.6272535521165
2017-06-30,212.60823077030008,184,615.4319244457046
2017-07-31,212.9094180465149,184,615.9121650197828
2017-08-31,213.3343756875524,184,618.2871188463942
2017-09-30,213.77390299481246,185,617.8782392079108
2017-10-31,213.89307857571973,181,618.3729653742323
2017-11-30,214.11810286862664,182,618.5379637014915
2017-12-31,214.59024143864139,185,619.8643412930339
2018-01-31,214.9047159892252,184,620.3363187072712
2018-02-28,215.21814125020003,181,621.3008150379393
2018-03-31,215.37905896524126,182,621.8050495151559
2018-04-30,215.8405059230835,183,619.9491082501004
2018-05-31,216.16056594756603,182,621.7109377794643
2018-06-30,216.25812967842367,180,622.7474628468941
2018-07-31,216.6748824563407,184,621.3114559899196
2018-08-31,216.95720539864553,184,622.3451988313097
2018-09-30,217.13156136623584,182,622.5335573272474
2018-10-31,217.6867536000768,183,622.4992612511094
2018-11-30,217.9800398750102,182,622.9191754140066
2018-12-31,218.09662179111905,182,623.5334986672498
2019-01-31,218.55600468156388,185,622.737673870747
2019-02-28,218.8190030804137,186,624.4655529084207
2019-03-31,219.02456854676373,182,622.652025047176
2019-04-30,219.42268766945787,183,624.2248031507521
2019-05-31,219.65205857687477,185,625.1090810764897
2019-06-30,220.036699056351,182,624.7062953539389
2019-07-31,220.29681664722372,184,624.1826633979974
2019-08-31,220.63781651538883,188,624.9320515881805
2019-09-30,220.84125525798154,186,623.8934942071866
2019-10-31,221.133580796135,181,625.0866979409496
2019-11-30,221.59318882333903,183,624.5811835576233
2019-12-31,221.68208533847337,180,625.3142888050666
2020-01-31,221.94640622775663,187,624.4420911373898
2020-02-29,222.4972552302416,185,624.3010164996931
2020-03-31,222.79888522550436,181,624.9289942577481
2020-04-30,222.8389732562383,185,624.108610072817
2020-05-31,223.27952497958188,184,625.5335908311247
2020-06-30,223.6031341989003,185,625.1826066740266
2020-07-31,223.93065633600395,182,625.5249608218679
2020-08-31,224.1578681241309,181,624.9171757625579
2020-09-30,224.4290909191865,181,623.7395899034422
2020-10-31,224.8311548875759,183,625.1109650861895
2020-11-30,225.07451611363962,181,626.169021042563
2020-12-31,225.4790584234567,184,624.9739669436848
2021-01-31,225.64146441706234,185,625.6716686843589
2021-02-28,226.02670737133332,184,624.4623098369727
2021-03-31,226.2314024055374,182,624.3414184398753
2021-04-30,226.55388706056493,187,624.8935161894822
2021-05-31,226.81189441823,181,624.8861133005059
