,Valor
2000-01-31,125.91277512223306
2000-02-29,125.52927513483664
2000-03-31,124.70966230603271
2000-04-30,124.4473242715598
2000-05-31,125.85225958540124
2000-06-30,125.6950882759067
2000-07-31,123.84123385841427
2000-08-31,125.80205695854957
2000-09-30,126.24851261451288
2000-10-31,125.93270770432233
2000-11-30,124.94820995284695
2000-12-31,124.8174704902341
2001-01-31,125.42885774396142
2001-02-28,125.44294520882852
2001-03-31,125.0557303266749
2001-04-30,124.14085717990254
2001-05-31,124.30948711934741
2001-06-30,125.59340748208743
2001-07-31,124.53043423484965
2001-08-31,124.65166561842445
2001-09-30,126.05996745910124
2001-10-31,124.4654154571809
2001-11-30,124.69701520268289
2001-12-31,124.83402288542298
2002-01-31,188.028254064213
2002-02-28,188.29645946311328
2002-03-31,187.05872555955145
2002-04-30,187.41939999978203
2002-05-31,186.80626055785473
2002-06-30,188.03882184364448
2002-07-31,187.6404111172315
2002-08-31,187.09700004129917
2002-09-30,190.21390080506546
2002-10-31,188.56371384883988
2002-11-30,187.24947256114223
2002-12-31,187.96236158717343
2003-01-31,206.49104520609703
2003-02-28,206.75086148699702
2003-03-31,206.58378055285567
2003-04-30,206.98729582594723
2003-05-31,204.95332295866436
2003-06-30,207.1378929168061
2003-07-31,204.77711032017777
2003-08-31,205.25848286808008
2003-09-30,207.21123858629733
2003-10-31,205.9175634486893
2003-11-30,206.35298769655193
2003-12-31,205.50802156270285
2004-01-31,225.58599016979792
2004-02-29,224.50524270274673
2004-03-31,224.2092622812383
2004-04-30,225.56443315667497
2004-05-31,225.48211745998992
2004-06-30,225.0999641211436
2004-07-31,222.8554953856497
2004-08-31,225.61780301614823
2004-09-30,224.18217642925063
2004-10-31,225.1859378364633
2004-11-30,223.5854924604411
2004-12-31,225.2199608966749
2005-01-31,234.02586246703714
2005-02-28,233.92031606965895
2005-03-31,234.91771810836093
2005-04-30,234.6350261947971
2005-05-31,233.8351883313788
2005-06-30,233.88281465882997
2005-07-31,231.9275489299429
2005-08-31,232.74494468012375
2005-09-30,232.2330336941174
2005-10-31,233.57580782539364
2005-11-30,232.49073443875724
2005-12-31,232.21076103714546
2006-01-31,240.38334529179542
2006-02-28,239.4854810799105
2006-03-31,240.3607599595984
2006-04-30,240.9193856968639
2006-05-31,239.63680054405725
2006-06-30,240.95248599646152
2006-07-31,239.08615575523226
2006-08-31,238.60947053578406
2006-09-30,239.51424508838534
2006-10-31,238.67024876844272
2006-11-30,239.45518867256965
2006-12-31,239.11027523517157
2007-01-31,243.73716501827556
2007-02-28,243.2376659783695
2007-03-31,243.33971895436446
2007-04-30,243.90582867063208
2007-05-31,243.85245938887925
2007-06-30,243.09297090863396
2007-07-31,241.85456880344563
2007-08-31,243.59313696004344
2007-09-30,244.89038105891572
2007-10-31,243.41985885689797
2007-11-30,245.7429997803726
2007-12-31,243.39308755445006
2008-01-31,246.07184884159727
2008-02-29,245.9930446630862
2008-03-31,246.4994233151662
2008-04-30,247.10830667668046
2008-05-31,246.6017377137463
2008-06-30,247.55313961137034
2008-07-31,246.20457383055978
2008-08-31,245.63848636083884
2008-09-30,247.25150129648938
2008-10-31,245.4359631022105
2008-11-30,246.97696772302604
2008-12-31,246.45509726440588
2009-01-31,248.4530309237634
2009-02-28,247.34007442392218
