,Valor
2000-01-31,123.75262695223371
2000-02-29,124.0493067161542
2000-03-31,125.19084495669108
2000-04-30,124.56070716079888
2000-05-31,125.39373956119454
2000-06-30,124.92281394404756
2000-07-31,125.05191658016157
2000-08-31,125.48768787423298
2000-09-30,125.10446892017279
2000-10-31,125.50010913965671
2000-11-30,125.29560897195988
2000-12-31,122.48738925609723
2001-01-31,125.14355170746573
2001-02-28,125.31929523923367
2001-03-31,125.44287656112118
2001-04-30,124.74039973929828
2001-05-31,125.7748313818182
2001-06-30,124.52495933404111
2001-07-31,125.34135330446179
2001-08-31,125.62916552698924
2001-09-30,124.98930878422509
2001-10-31,124.07624785987736
2001-11-30,124.35639851382726
2001-12-31,124.04330388349298
2002-01-31,187.9842709575621
2002-02-28,187.2578574168521
2002-03-31,186.51673034835713
2002-04-30,187.0449103028432
2002-05-31,188.39451462005002
2002-06-30,187.43175877190907
2002-07-31,187.23159134237778
2002-08-31,187.79274025036764
2002-09-30,188.18340379816865
2002-10-31,186.88143230574394
2002-11-30,186.19511049961437
2002-12-31,186.59975642374047
2003-01-31,206.41426271624866
2003-02-28,206.50383071572247
2003-03-31,205.7660495225901
2003-04-30,205.98615474220367
2003-05-31,205.61115617719744
2003-06-30,206.23276737715608
2003-07-31,207.5714590335916
2003-08-31,204.8410193904477
2003-09-30,205.8250408991557
2003-10-31,206.16769131210813
2003-11-30,205.1701206917127
2003-12-31,205.84746405790395
2004-01-31,225.08315440256797
2004-02-29,224.43304593353457
2004-03-31,224.73422997297672
2004-04-30,225.47685136538854
2004-05-31,223.5546194557903
2004-06-30,223.6634958192053
2004-07-31,223.99664961991735
2004-08-31,224.05323929156938
2004-09-30,224.54829610011154
2004-10-31,224.5151631129056
2004-11-30,224.654391784692
2004-12-31,225.00391635540032
2005-01-31,233.7736393571
2005-02-28,233.58538298673318
2005-03-31,233.96503309938674
2005-04-30,233.30186667688494
2005-05-31,233.68424877319507
2005-06-30,234.2582666848181
2005-07-31,235.05984708858213
2005-08-31,233.0485464849145
2005-09-30,232.77033794796137
2005-10-31,232.9122097239268
2005-11-30,233.1570131841982
2005-12-31,232.41434186326475
2006-01-31,239.95985336138355
2006-02-28,239.81077949681938
2006-03-31,238.87238175629014
2006-04-30,238.8713843366881
2006-05-31,241.80170486545632
2006-06-30,240.88387507924412
2006-07-31,240.70308146782918
2006-08-31,239.40224422776316
2006-09-30,240.1230890408038
2006-10-31,239.4568555761203
2006-11-30,238.9812092508706
2006-12-31,238.69608733430533
2007-01-31,242.5697226988754
2007-02-28,244.41271922436948
2007-03-31,243.28987446043243
2007-04-30,243.73753719607495
