,Valor
2000-01-31,125.46215582683197
2000-02-29,125.61217189079647
2000-03-31,187.7660309363684
2000-04-30,205.00227705602828
2000-05-31,223.7871624208703
2000-06-30,234.54423710037648
2000-07-31,241.97293082089692
2000-08-31,245.34814884192514
2000-09-30,244.77285367905876
2000-10-31,249.328910301817
2000-11-30,248.64862761114372
2000-12-31,249.2177611491157
2001-01-31,249.60480810136573
2001-02-28,249.16301722309905
2001-03-31,249.60795625256299
2001-04-30,249.74407212229798
2001-05-31,250.0737686670988
2001-06-30,250.40414577935218
2001-07-31,250.68096025184096
2001-08-31,248.84636936003542
2001-09-30,249.59536633225258
2001-10-31,248.88666195218624
2001-11-30,248.72658822262963
2001-12-31,247.81561819525297
2002-01-31,249.91607352355408
2002-02-28,249.2865732621411
2002-03-31,249.93540378447767
2002-04-30,250.6454051384
2002-05-31,250.43407164626154
2002-06-30,249.63157710137955
2002-07-31,249.1406883842335
2002-08-31,249.7654007401522
2002-09-30,249.28359877113726
2002-10-31,249.55128909555714
2002-11-30,248.28997141412083
2002-12-31,248.4824873649949
2003-01-31,249.0754039454693
2003-02-28,250.05260344117346
2003-03-31,249.53151116073334
2003-04-30,247.60409841248304
2003-05-31,249.61667077313524
2003-06-30,250.14920194758116
2003-07-31,250.9106235373201
2003-08-31,250.2064738725953
2003-09-30,249.78500288352052
2003-10-31,250.09557829917603
2003-11-30,249.60868660550904
2003-12-31,250.51119072346086
2004-01-31,249.1838381575823
2004-02-29,249.7101837791436
2004-03-31,250.10104560263653
2004-04-30,250.84661322217374
2004-05-31,250.45337107283822
2004-06-30,251.09154800630964
2004-07-31,250.43156693601006
2004-08-31,250.85300445866102
2004-09-30,248.49934346080377
2004-10-31,249.8512772353722
2004-11-30,249.76673333338974
2004-12-31,249.91833979214223
2005-01-31,249.64881880741993
2005-02-28,249.73929180406918
2005-03-31,250.42269912868343
2005-04-30,250.19384472329477
2005-05-31,250.6081677649327
2005-06-30,249.6041215209209
2005-07-31,250.55808633305728
2005-08-31,250.81503097678768
2005-09-30,249.82249310980984
2005-10-31,249.23882386284515
2005-11-30,249.2050805348166
2005-12-31,250.0201321144054
2006-01-31,250.34835909009996
2006-02-28,248.85111147598528
2006-03-31,250.24257166597894
2006-04-30,249.9976958966423
2006-05-31,249.48874764938125
2006-06-30,249.10685224948787
2006-07-31,248.33667293516768
2006-08-31,248.71353634012854
2006-09-30,248.49756835418245
2006-10-31,248.82954927179992
2006-11-30,249.28253734900017
2006-12-31,248.19776989931145
2007-01-31,248.1937657278885
2007-02-28,250.31257536222734
2007-03-31,250.1330501831665
2007-04-30,249.68966747891858
2007-05-31,249.58564578589568
2007-06-30,250.01157625802753
2007-07-31,249.135607608211
