,Valor
2000-01-31,125.2908145959653
2000-02-29,124.30355106203511
2000-03-31,186.38300402987156
2000-04-30,205.48081900846756
2000-05-31,223.00534980053501
2000-06-30,231.94575614072383
2000-07-31,238.1540367383024
2000-08-31,242.79581685752942
2000-09-30,244.7491980531384
2000-10-31,247.0052897120375
2000-11-30,248.24727267720948
2000-12-31,249.6954977141252
2001-01-31,250.05963823314983
2001-02-28,250.3190688289098
2001-03-31,249.68036649923107
2001-04-30,250.70189179926257
2001-05-31,249.89197164148965
2001-06-30,250.06465230122646
2001-07-31,249.87989767605924
2001-08-31,248.8957534091368
2001-09-30,250.15665809407486
2001-10-31,249.94783849047082
2001-11-30,251.05343828444205
2001-12-31,250.36817309677264
2002-01-31,249.78062233957772
2002-02-28,249.90173550812366
2002-03-31,251.84628928591357
2002-04-30,249.01918154313145
2002-05-31,249.66590371891294
2002-06-30,250.14927379164155
2002-07-31,250.14904922587337
2002-08-31,250.26852051969877
2002-09-30,248.51776385125282
2002-10-31,250.0457873954496
2002-11-30,249.23222622371497
2002-12-31,250.09021036118946
2003-01-31,250.1026605844243
2003-02-28,251.00881549217638
2003-03-31,251.10046053912555
2003-04-30,250.43143219892931
2003-05-31,249.50884184747352
2003-06-30,248.73641584596106
2003-07-31,249.9112125923468
2003-08-31,249.70773251937845
2003-09-30,250.50226701661018
2003-10-31,250.79181855395106
2003-11-30,251.34643845599624
2003-12-31,250.77423056378743
2004-01-31,250.3470569557891
2004-02-29,249.55557291592535
2004-03-31,249.57502036271256
2004-04-30,249.25586936397232
2004-05-31,251.04168696245335
2004-06-30,251.31690077405395
2004-07-31,250.35376924263332
2004-08-31,251.2573812453425
2004-09-30,249.5329692395425
2004-10-31,248.59980447759403
2004-11-30,248.70584041691606
2004-12-31,250.3824385453105
2005-01-31,249.09873005867848
2005-02-28,251.01814185722495
2005-03-31,249.69605389476735
2005-04-30,250.31056584322994
2005-05-31,249.74544048781698
2005-06-30,250.65706420463985
2005-07-31,250.49043584153029
2005-08-31,248.5176042246112
2005-09-30,251.12604945741725
2005-10-31,249.41229396972545
2005-11-30,250.51912189947004
2005-12-31,249.82240060066638
2006-01-31,249.94947351977194
2006-02-28,250.59360035405123
2006-03-31,250.2316087696936
2006-04-30,250.59572669284205
2006-05-31,249.97000077099887
2006-06-30,250.54561243762387
