,Valor
2000-01-31,124.24112215782775
2000-02-29,124.77565794070482
2000-03-31,125.36258999333683
2000-04-30,124.59953262195934
2000-05-31,125.8201685018366
2000-06-30,126.10920610630544
2000-07-31,124.01762765597161
2000-08-31,124.86801012101498
2000-09-30,124.8697881551386
2000-10-31,124.72838534110069
2000-11-30,124.03130706634585
2000-12-31,124.61653764405962
2001-01-31,125.51974597158996
2001-02-28,125.71486329984178
2001-03-31,124.29238840909979
2001-04-30,125.62492659793014
2001-05-31,123.71940717490419
2001-06-30,125.30581305337236
2001-07-31,124.08904459676744
2001-08-31,123.57567640926167
2001-09-30,124.78492512538702
2001-10-31,125.05493419939174
2001-11-30,124.58198478136283
2001-12-31,124.07302686061485
2002-01-31,188.94776254090777
2002-02-28,189.4596135276568
2002-03-31,186.6450426851019
2002-04-30,189.25540980633502
2002-05-31,184.5418081103541
2002-06-30,189.46824756058913
2002-07-31,184.57787267400553
2002-08-31,185.1817171850013
2002-09-30,186.26776260351286
2002-10-31,188.0925052058496
2002-11-30,186.97027487409
2002-12-31,185.1459872136607
2003-01-31,207.33606826544562
2003-02-28,207.80780236924062
2003-03-31,206.86590419533877
2003-04-30,209.24136065234242
2003-05-31,202.0100333164124
2003-06-30,209.46246360294015
2003-07-31,204.8378946718531
2003-08-31,205.18018942588995
2003-09-30,205.040795267117
2003-10-31,207.21032518662253
2003-11-30,207.2909824354749
2003-12-31,204.1848039502711
2004-01-31,223.9435426220326
2004-02-29,224.56530233535227
2004-03-31,225.20056331037785
2004-04-30,227.0052099772298
2004-05-31,219.87261199995666
2004-06-30,225.90751036753548
2004-07-31,225.65575455483898
2004-08-31,223.92548658343227
2004-09-30,224.39805549136227
2004-10-31,225.05550755948968
2004-11-30,226.19518540429718
2004-12-31,223.47564141857745
2005-01-31,235.4249801702708
2005-02-28,233.89300238431616
2005-03-31,234.0002889208734
2005-04-30,234.0539703120386
2005-05-31,230.49314999588918
2005-06-30,235.18165278938525
2005-07-31,234.15519203992596
2005-08-31,234.54513086213373
2005-09-30,234.40380079374776
2005-10-31,234.8816137342932
