,Valor
2000-01-31,124.69437893044854
2000-02-29,127.31487281243892
2000-03-31,125.25030645016083
2000-04-30,125.25173484485148
2000-05-31,125.59642327712275
2000-06-30,124.05580671417643
2000-07-31,124.66216769015891
2000-08-31,124.7940816783192
2000-09-30,124.96562947803135
2000-10-31,125.22018256646972
2000-11-30,125.4840200776735
2000-12-31,125.54957696235277
2001-01-31,124.44021602737286
2001-02-28,125.3814855790403
2001-03-31,124.12514518665658
2001-04-30,125.26881769632068
2001-05-31,124.56306720154852
2001-06-30,123.41061571953153
2001-07-31,126.39383837542924
2001-08-31,123.80571155706271
2001-09-30,124.76415401708257
2001-10-31,124.14120492991036
2001-11-30,126.05079672758026
2001-12-31,125.24163625530862
2002-01-31,186.48551855213606
2002-02-28,188.5511447663979
2002-03-31,184.77931038376914
2002-04-30,187.15668021922377
2002-05-31,186.5936324812111
2002-06-30,184.07028100060185
2002-07-31,188.59531955871822
2002-08-31,185.32577357156495
2002-09-30,186.99878824767734
2002-10-31,184.79087833623072
2002-11-30,189.50125179107314
2002-12-31,187.92666625365698
2003-01-31,204.95515036479947
2003-02-28,206.5933962226981
2003-03-31,204.6704739823737
2003-04-30,205.42679653166724
2003-05-31,206.40851524075487
2003-06-30,203.15237638957538
2003-07-31,205.9629932880213
2003-08-31,206.66757656919648
2003-09-30,207.2072512718092
2003-10-31,202.23919644358008
2003-11-30,207.51953783015801
2003-12-31,205.8473015409349
2004-01-31,222.01674694241802
2004-02-29,224.96032718367758
2004-03-31,224.08046663630455
2004-04-30,224.40959207735605
2004-05-31,226.09562248156382
2004-06-30,221.53487439130086
2004-07-31,226.0886097698841
2004-08-31,225.08819028989353
2004-09-30,226.31012547396952
2004-10-31,221.41328280691604
2004-11-30,224.5942338972181
2004-12-31,223.0478486854353
2005-01-31,232.68660373528084
2005-02-28,233.9062757474258
2005-03-31,231.943944349624
2005-04-30,234.46944464881665
2005-05-31,233.8043951030989
2005-06-30,232.46230843603738
2005-07-31,234.6391374514475
2005-08-31,232.33368148619707
2005-09-30,233.83430694830454
2005-10-31,233.4353449284908
2005-11-30,233.82609606687222
2005-12-31,231.7040777911164
2006-01-31,239.29829684118036
2006-02-28,238.54623449923656
2006-03-31,239.7030181781376
2006-04-30,241.4415781386777
2006-05-31,237.04770464663653
2006-06-30,239.19725087584283
2006-07-31,240.10455376428584
2006-08-31,240.39243048470587
2006-09-30,240.3047030296227
2006-10-31,239.4868674781717
2006-11-30,241.16549248925529
2006-12-31,238.92984918570332
2007-01-31,243.75154556162826
2007-02-28,239.66391842241876
2007-03-31,244.04556402006395
2007-04-30,242.17526299239415
2007-05-31,240.8739662202257
2007-06-30,243.37915844873078
2007-07-31,242.8948461475881
2007-08-31,243.6064625269867
2007-09-30,244.77734606521315
2007-10-31,241.58799840253735
2007-11-30,244.0590985883553
2007-12-31,245.18578165256903
2008-01-31,249.45317723428374
2008-02-29,242.21903492173269
2008-03-31,246.47694040878088
2008-04-30,243.91120560293527
2008-05-31,245.02169846800973
2008-06-30,245.7551969484022
2008-07-31,245.4878482574823
2008-08-31,245.2288313138887
2008-09-30,247.00244328981742
2008-10-31,245.34643206524004
2008-11-30,247.19850915191373
2008-12-31,250.05699545347397
2009-01-31,248.8346803849523
2009-02-28,246.62601346395732
2009-03-31,247.33840909173145
2009-04-30,247.50555785683662
2009-05-31,246.1886823557409
2009-06-30,245.99201302886343
2009-07-31,246.24524856058514
2009-08-31,247.26263124785035
2009-09-30,248.74717510827978
2009-10-31,248.36673893647907
2009-11-30,249.16637236657144
2009-12-31,250.82993651183298
2010-01-31,246.92676659809698
2010-02-28,249.89842364475683
2010-03-31,249.01746094312216
2010-04-30,250.69281170242937
2010-05-31,246.25500425811836
2010-06-30,245.8595640931358
2010-07-31,245.91484904123354
2010-08-31,247.37442304495542
2010-09-30,250.51738644626278
2010-10-31,250.8301405931691
2010-11-30,250.86173413646165
2010-12-31,249.76546491353199
2011-01-31,247.95381194848525
2011-02-28,249.98237587168163
2011-03-31,249.46230742691864
2011-04-30,250.50002577275603
2011-05-31,246.12634615416403
2011-06-30,247.23596873027142
2011-07-31,247.70544565342672
2011-08-31,249.15784794339348
2011-09-30,251.10475975493625
2011-10-31,252.6308438391309
2011-11-30,246.99609250752098
2011-12-31,249.65614875936961
2012-01-31,251.45380865186888
2012-02-29,247.6676074972941
2012-03-31,250.783994804845
2012-04-30,249.66419212361393
2012-05-31,248.06008111284723
2012-06-30,248.68056979067427
2012-07-31,248.5440517144831
2012-08-31,249.0638612115151
2012-09-30,250.81529641281767
2012-10-31,252.25934095874004
2012-11-30,247.7648045260318
2012-12-31,249.03461634753543
2013-01-31,251.45542603327416
2013-02-28,248.707093158777
2013-03-31,252.43210573139174
2013-04-30,248.9803375412823
2013-05-31,247.1404435253202
2013-06-30,248.99786782712363
2013-07-31,248.87165980389938
2013-08-31,250.2876677091752
2013-09-30,250.27936044261563
2013-10-31,250.60345361378856
2013-11-30,251.49860088367606
2013-12-31,250.75013421635904
2014-01-31,250.30462131190717
2014-02-28,249.12425621689027
2014-03-31,252.0893968618475
2014-04-30,249.02497410932574
2014-05-31,247.126355020377
2014-06-30,250.27046218575433
2014-07-31,248.28543817753572
2014-08-31,250.72668702186948
2014-09-30,248.27250394437405
2014-10-31,250.5034882606637
2014-11-30,253.6592286703374
2014-12-31,252.1875758202679
2015-01-31,248.68859914552766
2015-02-28,249.46670783509816
2015-03-31,251.73715357409512
2015-04-30,248.6633177990627
2015-05-31,248.71342152965946
2015-06-30,250.9434105432644
2015-07-31,247.6771430423806
2015-08-31,251.07205166090614
2015-09-30,247.57979702504667
2015-10-31,251.37093757787684
2015-11-30,252.47185173487907
2015-12-31,251.84937667671605
2016-01-31,249.02553710121222
2016-02-29,250.52544255646043
2016-03-31,252.05554771473186
2016-04-30,248.19334534720159
2016-05-31,250.33523713154577
2016-06-30,250.51875711957618
2016-07-31,247.62047216241356
2016-08-31,251.72346179555916
2016-09-30,247.24436161362453
2016-10-31,249.88602577240175
2016-11-30,251.01979744955293
2016-12-31,251.03108892323905
2017-01-31,250.17596772877513
2017-02-28,251.1796036556451
2017-03-31,251.19449187766494
2017-04-30,248.2016278501013
2017-05-31,250.80616654991618
2017-06-30,249.6345026197164
2017-07-31,247.66806126923603
2017-08-31,249.80158414719244
2017-09-30,246.55067131843572
2017-10-31,251.018528409612
2017-11-30,248.6040136123315
2017-12-31,250.75560723601828
2018-01-31,250.46684561139176
2018-02-28,250.22606524262832
2018-03-31,251.68659441276725
2018-04-30,249.42993517183353
2018-05-31,249.06363306619411
2018-06-30,249.83204007290797
2018-07-31,249.5460968058661
2018-08-31,249.83411217120565
2018-09-30,247.15506899297432
2018-10-31,250.8505657091207
2018-11-30,247.99225044720063
2018-12-31,253.0320173755444
2019-01-31,249.78906590258737
2019-02-28,249.3426980878158
2019-03-31,250.78635102478313
2019-04-30,249.6856461785851
2019-05-31,249.74830772717215
2019-06-30,251.23518480634522
2019-07-31,250.47973565456414
2019-08-31,252.64670663000086
2019-09-30,249.0501546299322
2019-10-31,248.61268226637125
2019-11-30,249.01314516958817
2019-12-31,252.23631073636
2020-01-31,247.2026961606909
2020-02-29,249.72427399385268
2020-03-31,249.15740277638469
2020-04-30,250.03577959357537
2020-05-31,247.82200579297984
2020-06-30,252.84643734714462
2020-07-31,250.15914560851164
2020-08-31,253.1055173235558
2020-09-30,248.49895555610348
2020-10-31,246.99977944034296
2020-11-30,247.80181855851833
2020-12-31,250.3550271289037
2021-01-31,248.31952301216305
2021-02-28,245.85374547692012
2021-03-31,247.7752241679651
2021-04-30,250.43508798704417
2021-05-31,246.2924486522359
2021-06-30,252.67269638343663
2021-07-31,248.29876195533058
2021-08-31,253.49811485342752
2021-09-30,249.65028723646392
2021-10-31,249.71899404200153
2021-11-30,247.02192966432966
2021-12-31,251.02969593995036
2022-01-31,250.38371616880497
2022-02-28,246.02749419090748
2022-03-31,248.31904428819294
2022-04-30,251.42549410170537
2022-05-31,246.68326147497925
2022-06-30,251.36942735977777
2022-07-31,248.30681527637012
2022-08-31,252.52180621436966
2022-09-30,250.03351034124125
2022-10-31,250.35977509397486
2022-11-30,245.4350126296594
2022-12-31,252.10749996314246
2023-01-31,249.88679535954913
2023-02-28,247.48111117094155
2023-03-31,249.77239039196485
2023-04-30,248.6527178255167
2023-05-31,247.43631863541813
2023-06-30,251.29339275094517
2023-07-31,248.65554216149638
2023-08-31,250.82770198757046
2023-09-30,249.45159483411084
