,Valor
2000-01-31,123.87940624542753
2000-02-29,126.58213211259046
2000-03-31,191.71042116303286
2000-04-30,210.29126514128671
2000-05-31,227.7408219346678
2000-06-30,234.856896057254
2000-07-31,237.71605550129865
2000-08-31,243.47326007887315
2000-09-30,245.78159903407496
2000-10-31,248.660212315681
2000-11-30,251.45733711916483
2000-12-31,251.11440486454353
2001-01-31,250.63982769445582
2001-02-28,249.85487143732294
2001-03-31,249.61214132407082
2001-04-30,249.83039782099422
2001-05-31,248.9216516437042
2001-06-30,250.39189701352072
2001-07-31,251.35610161067441
2001-08-31,251.1364035629509
2001-09-30,250.7139541104682
2001-10-31,249.59879763259073
2001-11-30,248.73650588438272
2001-12-31,249.74383006168287
2002-01-31,250.29585942797345
2002-02-28,249.80202397367478
2002-03-31,248.86465674129943
2002-04-30,248.78299392344792
2002-05-31,248.9234054961143
2002-06-30,247.97846230673954
2002-07-31,248.7725868649637
2002-08-31,247.76026665921515
2002-09-30,249.85710757472256
2002-10-31,250.999664575509
2002-11-30,250.6830229069062
2002-12-31,250.4313725039193
2003-01-31,248.69543860682774
2003-02-28,247.28020043993547
2003-03-31,246.87098083481936
2003-04-30,247.7267391632929
2003-05-31,248.74740181309815
2003-06-30,250.18234455113745
2003-07-31,249.90468798668735
2003-08-31,248.5188917753472
2003-09-30,248.22213012495865
2003-10-31,247.7608710056667
2003-11-30,246.85009785926007
2003-12-31,248.11750365151212
2004-01-31,250.49100596078733
2004-02-29,250.31155515089918
2004-03-31,249.6608846634776
2004-04-30,247.6874337671501
2004-05-31,247.92971862547643
2004-06-30,249.04467976219553
2004-07-31,250.3682886038689
2004-08-31,250.56517343631091
2004-09-30,252.86591632453042
2004-10-31,252.8361298123763
2004-11-30,250.63771090936754
2004-12-31,249.55468540095504
2005-01-31,248.77150172580247
2005-02-28,247.1558249126279
2005-03-31,250.44189958740222
2005-04-30,252.2839672834107
2005-05-31,251.01337028833817
2005-06-30,251.4319779713462
2005-07-31,249.66264242331707
2005-08-31,247.6906963908826
2005-09-30,250.69484408170484
2005-10-31,250.2379574346363
2005-11-30,248.50456638370932
2005-12-31,249.2567055464178
2006-01-31,248.95312553782495
2006-02-28,249.4493532676342
2006-03-31,249.37407072688117
2006-04-30,247.29805600663798
2006-05-31,247.94021342262417
2006-06-30,249.43984779893276
2006-07-31,250.8565224729741
2006-08-31,249.4356508045858
2006-09-30,249.66902435162797
2006-10-31,252.48076462074425
2006-11-30,254.25277810384648
2006-12-31,252.31999423240995
2007-01-31,251.21153636284967
2007-02-28,249.05791066706288
2007-03-31,250.6809095225016
2007-04-30,252.88026802042782
2007-05-31,250.2545453134999
2007-06-30,248.81198266658777
2007-07-31,248.020403850176
2007-08-31,248.23416826701413
2007-09-30,248.5649579431186
2007-10-31,249.29425677262398
2007-11-30,253.0362610148697
2007-12-31,254.01068064727505
2008-01-31,251.52690146539928
2008-02-29,250.69128098540304
2008-03-31,251.26803972285953
2008-04-30,251.44163753383185
2008-05-31,252.02212646465998
2008-06-30,251.18559809986198
2008-07-31,249.49833251292642
2008-08-31,249.73478520718157
2008-09-30,248.58201607940558
