,Valor
2000-01-31,125.96564660026377
2000-02-29,125.24036956709364
2000-03-31,125.04788153250895
2000-04-30,124.53795167993576
2000-05-31,124.03263592492766
2000-06-30,124.72470843691396
2000-07-31,125.54186927673632
2000-08-31,124.82716182832594
2000-09-30,124.65791188401884
2000-10-31,124.53830515686536
2000-11-30,125.90431044972824
2000-12-31,124.83471206903131
2001-01-31,126.35871449216525
2001-02-28,126.0094665211425
2001-03-31,124.90150399499754
2001-04-30,123.58686042081729
2001-05-31,124.75426008106524
2001-06-30,125.0483341821621
2001-07-31,125.75341964481274
2001-08-31,125.5294980341144
2001-09-30,124.72214252002155
2001-10-31,125.11521770906714
2001-11-30,126.16295237968345
2001-12-31,125.08002553905712
2002-01-31,125.8671604305205
2002-02-28,126.06713283092108
2002-03-31,126.32369787963272
2002-04-30,124.42336101818138
2002-05-31,127.42736351644298
2002-06-30,124.228124501906
2002-07-31,124.57347459313253
2002-08-31,126.83679045476885
2002-09-30,125.58337842877495
2002-10-31,125.9629847643037
2002-11-30,126.61933625953881
2002-12-31,124.97322207163421
2003-01-31,126.68798367720262
2003-02-28,125.5680750926181
2003-03-31,127.40316844188068
2003-04-30,124.71517972432365
2003-05-31,125.72466604919009
2003-06-30,123.78386384612631
2003-07-31,125.25649269791768
2003-08-31,125.9971553636278
2003-09-30,125.51536751161386
2003-10-31,125.72750224396877
2003-11-30,127.15866465691606
2003-12-31,124.00313404778133
2004-01-31,124.79128455234654
2004-02-29,126.43885590010531
2004-03-31,126.01535594330446
2004-04-30,124.00409994597524
2004-05-31,124.5706643658171
2004-06-30,125.82817250182079
2004-07-31,125.38214796887891
2004-08-31,124.2631173132851
2004-09-30,124.04714596206719
2004-10-31,126.1801562389984
2004-11-30,122.58835356450582
2004-12-31,124.66818533442682
2005-01-31,120.96110557445678
2005-02-28,126.09374781931338
2005-03-31,125.21860410049725
2005-04-30,124.75641825402306
2005-05-31,124.80280633170185
2005-06-30,124.24217077115917
2005-07-31,122.97435662628327
2005-08-31,124.13825676939226
2005-09-30,123.86698465209523
2005-10-31,124.97548034043335
2005-11-30,122.669784182425
2005-12-31,126.08319775221996
2006-01-31,121.21336010400422
2006-02-28,124.43291074647146
2006-03-31,124.91284213156074
2006-04-30,123.89377459064046
2006-05-31,124.37759520196829
2006-06-30,124.37844459191608
2006-07-31,123.10761257497283
2006-08-31,125.5936502896156
2006-09-30,126.35797465710657
2006-10-31,126.36872260004806
2006-11-30,125.62198219319052
2006-12-31,126.81599969515051
2007-01-31,124.15123107995187
2007-02-28,124.62474322345157
2007-03-31,126.72441962703996
2007-04-30,124.94653174498588
2007-05-31,126.16745809433448
2007-06-30,125.29273601673054
2007-07-31,123.1866850824732
2007-08-31,126.64830613506552
2007-09-30,127.6345382857927
2007-10-31,125.23254468876091
2007-11-30,125.72483613288993
2007-12-31,125.98324223391036
2008-01-31,122.30962809654932
2008-02-29,126.00683838907761
2008-03-31,126.16776477008264
2008-04-30,124.27264360233094
2008-05-31,123.59191792433998
2008-06-30,124.51177370236165
2008-07-31,124.01355893568766
2008-08-31,126.07238821218499
