,Valor
2000-01-31,125.11624653163052
2000-02-29,123.56640942630189
2000-03-31,125.53699025634211
2000-04-30,126.60452852265378
2000-05-31,124.99948196145817
2000-06-30,125.36398454066615
2000-07-31,123.90611967167143
2000-08-31,126.28289575312745
2000-09-30,124.69176509354403
2000-10-31,125.34808591165873
2000-11-30,125.21530210308136
2000-12-31,125.47347312909402
2001-01-31,124.1247869453469
2001-02-28,122.94026739499857
2001-03-31,127.04880935345393
2001-04-30,127.68646804566305
2001-05-31,124.70875010454837
2001-06-30,126.35944011001635
2001-07-31,123.44124262306948
2001-08-31,127.57671834540638
2001-09-30,124.4129856071931
2001-10-31,124.06199640662699
2001-11-30,124.66987306288152
2001-12-31,124.96785732154252
2002-01-31,124.11176215540834
2002-02-28,125.13912580884318
2002-03-31,125.38820357312692
2002-04-30,126.00520326840255
2002-05-31,126.79465241592936
2002-06-30,127.07421120462607
2002-07-31,126.79610745775946
2002-08-31,127.0189506591637
2002-09-30,125.63781936122224
2002-10-31,122.47912347077778
2002-11-30,123.47253430124849
2002-12-31,123.47866530308843
2003-01-31,124.85647601626745
2003-02-28,125.70289368870192
2003-03-31,123.81620416838493
2003-04-30,124.61761829550981
2003-05-31,128.39151060673984
2003-06-30,125.35196804005469
2003-07-31,128.1871131470643
2003-08-31,125.46342419193199
2003-09-30,127.0379941450952
2003-10-31,124.03359594635835
2003-11-30,125.46710334345954
2003-12-31,124.18709628087711
2004-01-31,123.2751477561338
2004-02-29,125.75619486286838
2004-03-31,125.69871232516037
2004-04-30,123.08250927324734
2004-05-31,126.74530326940167
2004-06-30,122.9346916642873
2004-07-31,126.19407382638475
2004-08-31,123.69246830807467
2004-09-30,127.02508845532913
2004-10-31,124.1109152785888
2004-11-30,127.05360740136614
2004-12-31,125.32513507199057
2005-01-31,123.73503226357245
2005-02-28,126.10743366030839
2005-03-31,125.21096697718461
2005-04-30,121.90290437875447
2005-05-31,126.43079047994537
2005-06-30,123.67707865096752
2005-07-31,125.55159678716393
2005-08-31,124.94247131344142
2005-09-30,126.2042978954191
2005-10-31,125.23081879824257
2005-11-30,126.10037894525927
2005-12-31,124.82880018338176
2006-01-31,123.62913171741651
2006-02-28,125.03327861925003
2006-03-31,126.14601753878182
2006-04-30,121.81217558580803
2006-05-31,125.53125220304723
2006-06-30,123.96108938151826
2006-07-31,126.22384613283653
2006-08-31,124.34208821067813
2006-09-30,125.22899790129202
2006-10-31,126.52651114790665
2006-11-30,125.53282136039621
2006-12-31,123.96010053028971
2007-01-31,124.18543239736071
2007-02-28,123.46762536230102
2007-03-31,126.51738880850434
2007-04-30,125.87232429246747
2007-05-31,127.29444027120547
2007-06-30,123.70698236804039
2007-07-31,125.7803505290118
2007-08-31,123.45336211805781
2007-09-30,124.23442741015485
2007-10-31,124.93278789826111
2007-11-30,123.91280951498288
2007-12-31,125.56692834348483
2008-01-31,124.99703636921149
2008-02-29,125.3115539234657
2008-03-31,126.76253390190328
2008-04-30,127.51568190294915
2008-05-31,126.4183043327793
2008-06-30,125.2628224554822
2008-07-31,124.42609928274037
2008-08-31,124.98385925235678
2008-09-30,125.43298463344239
2008-10-31,124.65052120240745
2008-11-30,123.97078404050849
2008-12-31,126.27913531691318
2009-01-31,124.21713417224352
2009-02-28,123.50145074968925
2009-03-31,124.90785168029255
2009-04-30,126.90556496611195
2009-05-31,125.81556639245717
2009-06-30,125.59012830248932
2009-07-31,126.34264029129913
2009-08-31,125.65843077182909
2009-09-30,128.41835058343062
2009-10-31,124.83348996814811
2009-11-30,123.50905607221469
2009-12-31,125.66986802010618
2010-01-31,121.95021422359706
2010-02-28,121.2140976881675
2010-03-31,125.34091423698719
2010-04-30,127.34645792874144
2010-05-31,124.96343798193314
2010-06-30,124.5705422617169
2010-07-31,127.08785996157063
2010-08-31,126.07636426838117
2010-09-30,126.63829992421071
2010-10-31,126.14598185565649
2010-11-30,125.8739670798785
2010-12-31,124.71238377663174
2011-01-31,122.50778350117828
2011-02-28,122.69931078362511
2011-03-31,126.01811471095635
2011-04-30,128.1678662824053
2011-05-31,123.4233203826038
2011-06-30,124.43360122133515
2011-07-31,126.45954058703974
2011-08-31,126.43968635348638
2011-09-30,125.78724753219565
2011-10-31,127.38036671462172
2011-11-30,125.88206502918692
2011-12-31,124.27172502780279
2012-01-31,125.75297457069865
2012-02-29,122.96560526055691
2012-03-31,125.93447100096368
2012-04-30,126.09522334455305
2012-05-31,123.895572134189
2012-06-30,124.8341473872608
2012-07-31,124.93130624739825
2012-08-31,122.30227449173393
2012-09-30,124.81929572658166
2012-10-31,125.26254930548176
2012-11-30,124.20266404642481
2012-12-31,124.65587024660957
2013-01-31,126.57895482244115
2013-02-28,122.21475611905447
2013-03-31,123.2654067519946
2013-04-30,126.1389314480658
2013-05-31,125.04157352284989
2013-06-30,124.60544820209982
2013-07-31,124.89221179613999
2013-08-31,121.71451708725508
2013-09-30,125.37919605319911
2013-10-31,124.5904487427098
2013-11-30,125.90652454487191
2013-12-31,124.7010196332592
2014-01-31,122.22019012285192
2014-02-28,123.41069135579664
2014-03-31,123.69676061427545
2014-04-30,126.01631402266642
2014-05-31,124.38684136358357
2014-06-30,124.30518444389912
2014-07-31,123.67584774415796
2014-08-31,126.28422662933457
2014-09-30,124.73225299747129
2014-10-31,126.52703804620413
2014-11-30,125.67354233239561
2014-12-31,125.29972946154813
