,Valor
2000-01-31,125.45608116000918
2000-02-29,124.72056297706928
2000-03-31,123.59808869776849
2000-04-30,123.78148397510411
2000-05-31,122.54388086119134
2000-06-30,122.50195787746347
2000-07-31,123.95137449213526
2000-08-31,125.80257567891223
2000-09-30,125.17648634112211
2000-10-31,124.75313786939054
2000-11-30,125.69928132384246
2000-12-31,126.20835474737366
2001-01-31,124.2453153128097
2001-02-28,124.56945501125773
2001-03-31,124.40030710690024
2001-04-30,122.72208803254375
2001-05-31,122.06437720319714
2001-06-30,125.20124322245229
2001-07-31,125.31262360387669
2001-08-31,124.2655401974256
2001-09-30,124.78476564908613
2001-10-31,127.33641577647356
2001-11-30,125.68119547703986
2001-12-31,124.98472996352865
2002-01-31,126.17630920412932
2002-02-28,125.66433311949517
2002-03-31,125.35262544991842
2002-04-30,126.2408351422239
2002-05-31,126.03493584564067
2002-06-30,125.35985393550372
2002-07-31,125.06280714852495
2002-08-31,124.73493503583973
2002-09-30,125.26257812551982
2002-10-31,125.43581163157461
2002-11-30,124.99997627394801
2002-12-31,126.31802294318497
2003-01-31,124.95234607192117
2003-02-28,122.81074512681663
2003-03-31,125.41322269648214
2003-04-30,125.46494209815313
2003-05-31,122.60746000548154
2003-06-30,124.73303065694996
2003-07-31,126.70039326537487
2003-08-31,126.36839600542653
2003-09-30,125.6582916224033
2003-10-31,124.18801326145484
2003-11-30,121.9123190441539
2003-12-31,121.84872670257575
2004-01-31,123.94016317813411
2004-02-29,126.46015556932073
2004-03-31,125.93563262316876
2004-04-30,123.7501781473787
2004-05-31,124.67576430581214
2004-06-30,125.79517814206142
2004-07-31,126.04894201968595
2004-08-31,126.80491670870168
2004-09-30,125.79735735810166
2004-10-31,125.40608788107753
2004-11-30,125.06923311576335
2004-12-31,124.13573129294824
2005-01-31,126.12880431761083
2005-02-28,126.77765494356697
2005-03-31,124.51251821224821
2005-04-30,124.07264654879286
2005-05-31,125.79716984567048
2005-06-30,125.0837200548584
2005-07-31,124.51574446974878
2005-08-31,125.9514073935115
2005-09-30,125.42014137192939
2005-10-31,124.45219898685897
2005-11-30,126.28586844198664
2005-12-31,125.15692089995134
2006-01-31,124.04155847892784
2006-02-28,123.91584190521144
2006-03-31,124.66216066967372
2006-04-30,124.54679887809564
2006-05-31,124.61945904880146
2006-06-30,124.54099155745448
2006-07-31,124.20769097494431
2006-08-31,126.014339971062
2006-09-30,126.52590198581775
2006-10-31,125.14091207715312
2006-11-30,126.29471412069752
2006-12-31,125.72736601511268
2007-01-31,122.90456148065495
2007-02-28,122.4360608896847
2007-03-31,124.42521073140377
2007-04-30,125.80525471555607
2007-05-31,126.51289329776678
2007-06-30,125.53137043459016
2007-07-31,124.70421398993342
2007-08-31,125.21878753902298
2007-09-30,123.65235524654469
2007-10-31,123.01703133864743
2007-11-30,124.97927543841999
2007-12-31,123.76691084571951
2008-01-31,124.05386338093281
2008-02-29,125.42319408239669
2008-03-31,125.68038725368226
2008-04-30,124.14565064437406
2008-05-31,125.79725993945746
2008-06-30,123.79020187923064
2008-07-31,123.83096042440569
2008-08-31,125.84266198372832
2008-09-30,125.35478986044224
2008-10-31,126.30663696112707
2008-11-30,128.76324473212338
2008-12-31,126.76148516907922
2009-01-31,126.06129068110582
2009-02-28,126.34315636321352
2009-03-31,124.60339524452185
2009-04-30,126.60079195828423
2009-05-31,125.7216192663197
2009-06-30,125.11195759316779
2009-07-31,124.74691407337545
2009-08-31,124.93608789850224
2009-09-30,126.633108019642
2009-10-31,124.420022101448
2009-11-30,125.09532332413616
2009-12-31,125.78782254752404
2010-01-31,123.66057647554679
2010-02-28,122.63536812037657
2010-03-31,124.7951345751945
2010-04-30,126.68466236287259
2010-05-31,127.52141338106604
2010-06-30,126.93303336622925
2010-07-31,124.63889688007129
2010-08-31,124.35826971827208
2010-09-30,123.5496349782416
2010-10-31,124.6769646403859
2010-11-30,126.05550194649547
2010-12-31,126.56683755641043
2011-01-31,126.50290164247102
2011-02-28,125.29587700383847
2011-03-31,124.78012298807829
2011-04-30,122.73595825652825
2011-05-31,124.18230154852994
2011-06-30,124.3899610851263
2011-07-31,125.70194392594465
2011-08-31,125.80040875051787
2011-09-30,126.12580538945042
2011-10-31,126.81765492658366
2011-11-30,126.622736176798
2011-12-31,126.440516257769
2012-01-31,127.13486612749534
2012-02-29,127.39366804732028
2012-03-31,126.0225734694557
2012-04-30,124.24559661855128
2012-05-31,124.58485411903455
2012-06-30,124.78166608788058
2012-07-31,124.23340848981374
2012-08-31,124.94706110349517
2012-09-30,126.24751392164592
2012-10-31,125.67223087453618
2012-11-30,125.30213097925106
2012-12-31,125.29790523179012
2013-01-31,124.3244507342373
2013-02-28,123.83261515977887
2013-03-31,123.00388034106665
2013-04-30,123.23359484997594
2013-05-31,123.14639289275611
2013-06-30,122.75362017860665
2013-07-31,123.96321592893942
2013-08-31,126.70432606167304
2013-09-30,125.0361562626633
2013-10-31,124.41363796657527
2013-11-30,124.86412142946666
2013-12-31,125.85139173365012
2014-01-31,126.598485812138
2014-02-28,124.82905517258578
2014-03-31,122.40383428423466
2014-04-30,121.91772547308037
2014-05-31,123.25288514667334
2014-06-30,124.7617610411184
2014-07-31,124.62066101818642
2014-08-31,124.35386826862545
2014-09-30,123.76575054922841
2014-10-31,124.83640841151048
2014-11-30,122.73918152023302
2014-12-31,122.17594344022092
2015-01-31,123.29146680947007
2015-02-28,122.75176912990612
2015-03-31,124.11559691961287
2015-04-30,124.2721551610177
2015-05-31,123.3222933734333
2015-06-30,123.40681476045754
2015-07-31,124.20865543523847
2015-08-31,122.15351300966383
2015-09-30,123.10476066400548
2015-10-31,125.21078258080026
2015-11-30,125.76552553917357
2015-12-31,126.3777712070405
2016-01-31,125.98222655674824
2016-02-29,124.67668946450748
2016-03-31,124.67362650008519
2016-04-30,125.75638328474173
2016-05-31,125.1330423666998
2016-06-30,123.7542853878322
2016-07-31,123.71033911771696
2016-08-31,122.58361288543846
2016-09-30,123.90380682135574
2016-10-31,123.13212479072698
2016-11-30,122.98470870297271
2016-12-31,123.18546471334824
2017-01-31,125.75173027612875
2017-02-28,125.16584995054066
2017-03-31,124.93936598728291
2017-04-30,124.73369761510641
2017-05-31,125.22577118709845
2017-06-30,124.03276003310351
2017-07-31,122.50210351898264
2017-08-31,125.17482352960138
2017-09-30,128.12730868893973
2017-10-31,126.89447842067831
2017-11-30,124.3706801153308
2017-12-31,125.45973127712128
2018-01-31,126.83441554335138
2018-02-28,126.99623515415716
2018-03-31,126.25637237359948
2018-04-30,126.35309649742754
2018-05-31,124.85459553795306
2018-06-30,124.68810779273859
2018-07-31,125.21190862789686
2018-08-31,124.27717613047011
2018-09-30,124.03110615905328
2018-10-31,125.2732525662377
2018-11-30,124.26958584172316
2018-12-31,123.53264591474843
2019-01-31,124.5890473757559
2019-02-28,126.74550820952462
2019-03-31,124.25848960958885
2019-04-30,123.5606472154356
2019-05-31,123.99042257703236
2019-06-30,123.42283069161469
2019-07-31,122.6899405505996
2019-08-31,122.84070519531232
2019-09-30,126.29107121220753
2019-10-31,125.35722794594139
2019-11-30,123.93117422135998
2019-12-31,126.29248999665178
2020-01-31,126.213004325191
2020-02-29,124.78581757819056
2020-03-31,124.33505900893051
2020-04-30,123.50087130830987
2020-05-31,124.09884789767672
2020-06-30,124.94547545135647
2020-07-31,126.62421917356586
2020-08-31,125.16627953711651
2020-09-30,123.29684278163603
2020-10-31,124.56692656822217
2020-11-30,123.75353555737091
2020-12-31,123.30059936003737
2021-01-31,123.60438517000782
2021-02-28,124.1037241602727
2021-03-31,124.23047476608839
2021-04-30,123.67828097967693
2021-05-31,123.3696791942979
2021-06-30,122.94980171324308
2021-07-31,125.63553740845336
2021-08-31,127.19507852717526
2021-09-30,125.1454194185247
2021-10-31,123.78830364378835
2021-11-30,123.04909772168885
2021-12-31,124.69748069779192
2022-01-31,124.64774070627116
2022-02-28,124.32275351471873
2022-03-31,125.72415730889034
2022-04-30,125.66189933550521
2022-05-31,122.59760472874194
2022-06-30,124.3642665326877
2022-07-31,126.16879377823888
2022-08-31,127.27850242456688
2022-09-30,129.51170488226347
2022-10-31,126.66816742921121
2022-11-30,123.41598429112813
2022-12-31,122.11379562782798
2023-01-31,124.87384340894545
2023-02-28,124.61072256188434
2023-03-31,125.88167018431498
2023-04-30,125.9322773237801
2023-05-31,127.22508759498571
2023-06-30,126.45310814054214
2023-07-31,123.66860538132883
2023-08-31,127.38306633252421
2023-09-30,128.23730697514694
2023-10-31,126.60661752483414
2023-11-30,126.27981797929932
2023-12-31,124.51095881499639
2024-01-31,124.84497169920002
2024-02-29,124.77661669595248
2024-03-31,123.30739686968946
2024-04-30,125.49385220558523
2024-05-31,125.83648122200968
2024-06-30,124.22924803041694
2024-07-31,123.83791684189318
2024-08-31,122.62276922580664
2024-09-30,125.65645249304748
2024-10-31,125.39942668406505
2024-11-30,125.17159682982789
2024-12-31,123.28855206666996
2025-01-31,121.26026813597444
2025-02-28,123.30417050577016
2025-03-31,125.57668701304567
2025-04-30,124.17974203861876
2025-05-31,123.21850925184846
2025-06-30,125.89468315069811
2025-07-31,124.8754316035302
2025-08-31,125.02909046164284
2025-09-30,125.43846438495774
2025-10-31,124.66219880564654
2025-11-30,125.01959309398379
2025-12-31,124.53742801096915
2026-01-31,123.65941717111131
2026-02-28,123.1712484169633
2026-03-31,124.96797346738549
2026-04-30,126.26086521236459
2026-05-31,126.16417031554217
2026-06-30,126.84979889122027
2026-07-31,128.12536691622796
2026-08-31,125.73434294746302
2026-09-30,123.86234146479087
2026-10-31,126.36736603168919
2026-11-30,125.19020552488968
2026-12-31,123.5313754274665
2027-01-31,123.54724034914666
2027-02-28,123.56711288864096
2027-03-31,124.73098289458046
2027-04-30,124.45319205630787
2027-05-31,124.24886536609246
2027-06-30,125.30778567760052
2027-07-31,125.12797427763707
2027-08-31,123.26155427726268
2027-09-30,123.70019837124197
2027-10-31,123.1567035085328
2027-11-30,124.97590750390573
2027-12-31,127.2520093356801
2028-01-31,125.20396047558701
2028-02-29,123.18141800727827
2028-03-31,123.66690476320315
2028-04-30,122.94623662053405
2028-05-31,122.3133790192824
2028-06-30,123.53098688042267
2028-07-31,125.50433026853324
2028-08-31,126.30375151407304
2028-09-30,127.03908902599753
2028-10-31,127.95301294400744
2028-11-30,129.05870961118697
2028-12-31,128.3332134404301
2029-01-31,126.25379364658822
2029-02-28,124.56484138141285
2029-03-31,123.93009111947018
2029-04-30,125.33198912156372
2029-05-31,125.40151286851778
2029-06-30,125.24669321490123
2029-07-31,123.47066853159447
2029-08-31,125.49884646814604
2029-09-30,127.34252389890152
2029-10-31,124.99895281494149
2029-11-30,123.95426321263646
2029-12-31,126.46866880499488
