indice,Valor
2000-01-31,6.795641207305863
2000-02-29,4.782145444542228
2000-03-31,3.542080507851161
2000-04-30,2.8356377234158447
2000-05-31,2.190560034345609
2000-06-30,1.870364344286425
2000-07-31,1.5343884741814209
2000-08-31,1.0629775915855955
2000-09-30,0.8183879072773911
2000-10-31,0.6468103343280882
2000-11-30,0.5440694762897129
2000-12-31,0.424503069253354
2001-01-31,0.3290271837338582
2001-02-28,0.24604450581401377
2001-03-31,0.20300955306041146
2001-04-30,0.14066424631131427
2001-05-31,0.1080070533970293
2001-06-30,0.0847069216806139
2001-07-31,0.07727179554855167
2001-08-31,0.056225121285889974
2001-09-30,0.04077269193728838
2001-10-31,0.03601814399903864
2001-11-30,0.02800473102334471
2001-12-31,0.01835722724823751
2002-01-31,0.01452613501699435
2002-02-28,0.013470950701756813
2002-03-31,0.009139617718057786
2002-04-30,0.006827866634322196
2002-05-31,0.006054448671773849
2002-06-30,0.004250191961796969
2002-07-31,0.003401519177609134
2002-08-31,0.002560111107940748
2002-09-30,0.0023183123733642556
2002-10-31,0.001543192094075486
2002-11-30,0.0013127986622225494
2002-12-31,0.0010924293977094398
2003-01-31,0.0008052636892298839
2003-02-28,0.0006083214390113839
2003-03-31,0.000458523397853937
2003-04-30,0.00035443313026385355
2003-05-31,0.00026618343986517485
2003-06-30,0.00022857272494024408
2003-07-31,0.00017675946323090477
2003-08-31,0.00014984679433760242
2003-09-30,9.678668470399046e-05
2003-10-31,7.869315371694709e-05
2003-11-30,6.245604386105698e-05
2003-12-31,5.292921795734799e-05
2004-01-31,4.305640386351964e-05
2004-02-29,2.8231599085564612e-05
2004-03-31,2.3104555917087674e-05
2004-04-30,1.8049114841551907e-05
2004-05-31,1.5235803979570626e-05
2004-06-30,1.1636261927712889e-05
2004-07-31,8.617083169696894e-06
2004-08-31,6.970916435774921e-06
2004-09-30,5.025881543597956e-06
2004-10-31,4.510656893808221e-06
2004-11-30,3.4099844772975147e-06
2004-12-31,2.69756357790292e-06
2005-01-31,1.844706956405232e-06
2005-02-28,1.630329235492545e-06
2005-03-31,1.287306559823833e-06
2005-04-30,8.567724636388902e-07
2005-05-31,7.191290559342524e-07
2005-06-30,6.038503331057192e-07
2005-07-31,4.5764655541626203e-07
2005-08-31,3.221836301667512e-07
2005-09-30,2.828867021723677e-07
2005-10-31,2.046493026297042e-07
2005-11-30,1.704746132462659e-07
2005-12-31,1.1491686536045124e-07
2006-01-31,9.513820578326875e-08
2006-02-28,7.110954507379921e-08
2006-03-31,5.988657822213655e-08
2006-04-30,4.473418461592788e-08
2006-05-31,3.523016174817908e-08
2006-06-30,3.024892762985133e-08
2006-07-31,2.0236277876868113e-08
2006-08-31,1.5678826926180452e-08
2006-09-30,1.2433569309216177e-08
2006-10-31,9.62378043672041e-09
2006-11-30,7.278327890216103e-09
2006-12-31,6.440761916339679e-09
2007-01-31,5.074250440017656e-09
2007-02-28,3.6058820190209435e-09
2007-03-31,2.885259204283525e-09
2007-04-30,2.0695200111431793e-09
2007-05-31,1.6811782025865642e-09
2007-06-30,1.2540497308259389e-09
2007-07-31,1.1708840013953112e-09
2007-08-31,7.896078954472707e-10
2007-09-30,7.074134366598243e-10
2007-10-31,5.365145717658248e-10
2007-11-30,4.33199473560785e-10
2007-12-31,3.0887556830106355e-10
2008-01-31,2.576665535411489e-10
2008-02-29,2.0471917940718999e-10
2008-03-31,1.4421755578565538e-10
2008-04-30,1.2207803170176702e-10
2008-05-31,9.329581988747271e-11
2008-06-30,7.348836585811365e-11
2008-07-31,5.147186459139742e-11
2008-08-31,4.166797479769698e-11
2008-09-30,3.20562001171995e-11
2008-10-31,2.488073053076844e-11
2008-11-30,1.8304370371864214e-11
2008-12-31,1.6519104862086986e-11
2009-01-31,1.0830230909372109e-11
2009-02-28,8.883635084817325e-12
2009-03-31,7.681177058116854e-12
2009-04-30,6.041598187875376e-12
2009-05-31,4.313535184585763e-12
2009-06-30,3.77637268067107e-12
2009-07-31,2.8002863053658635e-12
2009-08-31,1.9592076929946086e-12
2009-09-30,1.7421833619922033e-12
2009-10-31,1.2355571908005676e-12
2009-11-30,1.0798322920221487e-12
2009-12-31,7.920575831540023e-13
2010-01-31,6.265908436465094e-13
2010-02-28,4.455505784112697e-13
2010-03-31,3.2960990998111315e-13
2010-04-30,2.954625970888993e-13
2010-05-31,2.0761626013937006e-13
2010-06-30,1.76167751501998e-13
2010-07-31,1.4497575286234204e-13
2010-08-31,9.613105962569282e-14
2010-09-30,8.154115287478026e-14
2010-10-31,6.126328406641004e-14
2010-11-30,5.072418984007837e-14
2010-12-31,4.0334841328175984e-14
2011-01-31,2.8529921396171425e-14
2011-02-28,2.3993425495783348e-14
2011-03-31,1.8636740227110025e-14
2011-04-30,1.4846705515070403e-14
2011-05-31,1.173554097826748e-14
2011-06-30,8.994495254835698e-15
2011-07-31,6.780485549869119e-15
2011-08-31,4.926099611998886e-15
2011-09-30,4.10888356078672e-15
2011-10-31,2.957682471759441e-15
2011-11-30,2.4785512711212066e-15
2011-12-31,1.906657522124214e-15
2012-01-31,1.553593134482055e-15
2012-02-29,1.1632666325198437e-15
2012-03-31,9.857741803846907e-16
2012-04-30,6.531044704297839e-16
2012-05-31,5.816550323087354e-16
2012-06-30,4.020256345356073e-16
2012-07-31,3.2276148707414973e-16
2012-08-31,2.423325079132726e-16
2012-09-30,2.0369910476698866e-16
2012-10-31,1.513413510848273e-16
2012-11-30,1.1248470334198437e-16
2012-12-31,9.62273630713438e-17
2013-01-31,6.99467285732271e-17
2013-02-28,5.606776991621322e-17
2013-03-31,4.309391505331558e-17
2013-04-30,3.6965458577835666e-17
2013-05-31,2.6981758189699035e-17
2013-06-30,2.1145288693724872e-17
2013-07-31,1.6490421988999857e-17
2013-08-31,1.3354256354943648e-17
2013-09-30,1.0883929691636037e-17
2013-10-31,7.056334525110146e-18
2013-11-30,6.5153109628461516e-18
2013-12-31,4.6476289274215576e-18
2014-01-31,3.974268886480787e-18
2014-02-28,2.861479801234873e-18
2014-03-31,2.053488939444534e-18
2014-04-30,1.6124568486682137e-18
2014-05-31,1.2227453256164093e-18
2014-06-30,1.0046641458876261e-18
2014-07-31,7.493884332054697e-19
2014-08-31,6.252633990957437e-19
2014-09-30,5.048590966915804e-19
2014-10-31,3.512868712076976e-19
2014-11-30,3.0088822776131296e-19
2014-12-31,2.4766290015042545e-19
2015-01-31,1.9183399364491267e-19
2015-02-28,1.2913606341052201e-19
2015-03-31,1.2091636482078813e-19
2015-04-30,9.021292506684444e-20
2015-05-31,6.14642013966693e-20
2015-06-30,5.473693495239792e-20
2015-07-31,4.236113257160969e-20
2015-08-31,3.122285705570221e-20
2015-09-30,2.315166874819461e-20
2015-10-31,2.100195333810296e-20
2015-11-30,1.528054520421078e-20
2015-12-31,1.2027429454663645e-20
2016-01-31,9.206713074188842e-21
2016-02-29,7.726350565536183e-21
2016-03-31,5.510355639896734e-21
2016-04-30,4.2033214957566676e-21
2016-05-31,3.1609021834966858e-21
2016-06-30,2.7580670609107863e-21
2016-07-31,2.014754257761046e-21
2016-08-31,1.694539795808657e-21
2016-09-30,1.2528467231359604e-21
2016-10-31,9.847844241004351e-22
2016-11-30,6.945965447053837e-22
2016-12-31,6.103839232849004e-22
2017-01-31,4.613771611605954e-22
2017-02-28,3.839234566404747e-22
2017-03-31,2.7827333225958597e-22
2017-04-30,1.9367189777559634e-22
2017-05-31,1.7532623839610116e-22
2017-06-30,1.3971656653528316e-22
2017-07-31,9.300026518693108e-23
2017-08-31,7.664993011051034e-23
2017-09-30,6.453124470459557e-23
2017-10-31,4.5554788069011215e-23
2017-11-30,3.676376198427016e-23
2017-12-31,2.6455261800034654e-23
2018-01-31,2.4269057738589173e-23
2018-02-28,1.730455085613156e-23
2018-03-31,1.417855300677143e-23
2018-04-30,1.047813586978295e-23
2018-05-31,8.229687163687054e-24
2018-06-30,7.10163403086842e-24
2018-07-31,5.177740512370654e-24
2018-08-31,3.534612610367692e-24
2018-09-30,2.863468387534406e-24
2018-10-31,2.286002496410518e-24
2018-11-30,1.669517384179529e-24
2018-12-31,1.3809901438487373e-24
2019-01-31,1.0859551916655993e-24
2019-02-28,9.406510347780721e-25
2019-03-31,7.2847974199684015e-25
2019-04-30,5.552773219746406e-25
2019-05-31,4.476398848097844e-25
2019-06-30,3.221891459858544e-25
2019-07-31,2.422185982934037e-25
2019-08-31,1.8670765536816031e-25
2019-09-30,1.598107469174745e-25
2019-10-31,1.084696230933398e-25
2019-11-30,9.232342884677311e-26
2019-12-31,6.960118976703191e-26
2020-01-31,5.738153323364617e-26
2020-02-29,4.426460249533029e-26
2020-03-31,3.473759009250083e-26
2020-04-30,2.8818783505450904e-26
2020-05-31,1.89122547722879e-26
2020-06-30,1.6262643871851682e-26
2020-07-31,1.3631140636971614e-26
2020-08-31,9.965999243367944e-27
2020-09-30,7.395775794917696e-27
2020-10-31,6.067238527822695e-27
2020-11-30,4.894854263438269e-27
2020-12-31,3.858116737190775e-27
2021-01-31,3.0445933047084503e-27
2021-02-28,2.318863820780704e-27
2021-03-31,1.6261928831060215e-27
2021-04-30,1.1941764624978282e-27
