indice,Valor
2000-01-31,8.33617645828208
2000-02-29,9.650655306822934
2000-03-31,10.819015942751202
2000-04-30,11.60026306800825
2000-05-31,12.719077507675525
2000-06-30,14.852565508497563
2000-07-31,16.032057853665844
2000-08-31,16.881769480237743
2000-09-30,19.83509914221197
2000-10-31,21.888816076213768
2000-11-30,23.586061799916227
2000-12-31,26.638406914967952
2001-01-31,27.959555091660064
2001-02-28,32.06128009703539
2001-03-31,35.26082836003583
2001-04-30,38.92435183321327
2001-05-31,40.567448345388016
2001-06-30,47.89618602641192
2001-07-31,53.49056229447914
2001-08-31,57.10192697866822
2001-09-30,65.66921696682923
2001-10-31,67.84719706669087
2001-11-30,75.81678798132091
2001-12-31,89.76315135070716
2002-01-31,91.94003312585896
2002-02-28,100.29824965180106
2002-03-31,118.12111046417877
2002-04-30,126.76640100958465
2002-05-31,135.83939109943515
2002-06-30,157.81329777733143
2002-07-31,164.54296608598702
2002-08-31,193.33161492556397
2002-09-30,210.79091789693564
2002-10-31,236.3783244991967
2002-11-30,246.0806404546814
2002-12-31,280.21017917445147
2003-01-31,310.05973442488926
2003-02-28,332.7168940594836
2003-03-31,369.56567401179086
2003-04-30,404.9471527349626
2003-05-31,490.9778521184592
2003-06-30,534.1954625533297
2003-07-31,572.837043495773
2003-08-31,649.8587003374685
2003-09-30,702.1895866469855
2003-10-31,811.699273929412
2003-11-30,826.024998914466
2003-12-31,986.5292173566825
2004-01-31,1095.0406201666638
2004-02-29,1146.1762339171412
2004-03-31,1214.2809532875556
2004-04-30,1369.6252209964364
2004-05-31,1519.0045141314993
2004-06-30,1802.240533003402
2004-07-31,1814.3621555824625
2004-08-31,2168.165779625654
2004-09-30,2423.739267145537
2004-10-31,2579.411732884372
2004-11-30,2923.1296200134298
2004-12-31,3288.571342476425
2005-01-31,3438.8251944623776
2005-02-28,3712.510970585517
2005-03-31,4241.264583988417
2005-04-30,4544.909356859217
2005-05-31,5020.25490111919
2005-06-30,5608.794212372874
2005-07-31,6202.423335935621
2005-08-31,6885.2708775987685
2005-09-30,7400.226308749049
2005-10-31,8605.067347936694
2005-11-30,9556.146739667776
2005-12-31,10015.533312817239
2006-01-31,11747.340234902264
2006-02-28,12115.31568768258
2006-03-31,14059.94735718672
2006-04-30,15893.971573523779
2006-05-31,17833.452330277174
2006-06-30,19152.408745310328
2006-07-31,21343.687654138517
2006-08-31,23720.7489812715
2006-09-30,25211.457168483714
2006-10-31,28374.3295244913
2006-11-30,31216.10461790441
2006-12-31,33137.55271001079
2007-01-31,37351.90576513077
2007-02-28,41906.43052184868
2007-03-31,46078.45221902037
2007-04-30,51645.701287717624
2007-05-31,54691.59600309609
2007-06-30,64179.84983776088
2007-07-31,71794.07000124463
2007-08-31,77775.70886986128
2007-09-30,88575.46811479668
2007-10-31,93680.19857857925
